run_id,direction,device_view,source_view,maxstep_ns,waveform_rows,hold_edge_50pct_ns,nonlinear_convergence_failures,waveform_time_monotonic_non_decreasing,waveform_end_ns,t_acq_gen_0p5lsb_ns,t_acq_gen_0p25lsb_ns,t_acq_gen_0p1lsb_ns,t_acq_pad_0p25lsb_ns,t_acq_tg_0p25lsb_ns,final_error_gen_v,final_error_pad_v,final_error_tg_v
PREV_METHOD_XYCE_FS_DOWN__PEX__ESD_RC__MSTEP_0P25NS,FS_DOWN,pex,esd_rc,0.25,2188,500.2999999999999,0,True,520.0,136.00399615183218,151.82992485345244,172.84523617923028,146.9082321707724,134.45194615129023,-3.2135845007275066e-07,-2.6938950015154006e-07,-1.768345999630938e-07
PREV_METHOD_XYCE_FS_DOWN__PEX__ZERO_OHM__MSTEP_0P25NS,FS_DOWN,pex,zero_ohm,0.25,2190,500.2999999999999,0,True,520.0,68.38061601639222,76.45225514182593,87.26604612591686,76.45225514182593,76.45225514182593,-1.8571239979170429e-07,-1.8571239979170429e-07,-1.8571239979170429e-07
PREV_METHOD_XYCE_FS_DOWN__SCHEMATIC__ESD_RC__MSTEP_0P25NS,FS_DOWN,schematic,esd_rc,0.25,2188,500.2999999999999,0,True,520.0,120.39010549687143,134.33542390392904,152.89210583451245,129.45988379157154,116.31177589827402,1.4293199956938452e-08,9.763199915191478e-09,3.0029999598113477e-09
PREV_METHOD_XYCE_FS_DOWN__SCHEMATIC__ZERO_OHM__MSTEP_0P25NS,FS_DOWN,schematic,zero_ohm,0.25,2189,500.2999999999999,0,True,520.0,55.17030793726163,61.763311692997966,70.59639892670413,61.763311692997966,61.763311692997966,2.8009998764844113e-09,2.8009998764844113e-09,2.8009998764844113e-09
PREV_METHOD_XYCE_FS_UP__PEX__ESD_RC__MSTEP_0P125NS,FS_UP,pex,esd_rc,0.125,4260,500.2999999999999,0,True,520.0,136.0007896990786,151.83635140454382,172.86779642428584,146.91480172003486,134.4612868916789,3.251264000248e-07,2.7297740012866e-07,1.7975820021387534e-07
PREV_METHOD_XYCE_FS_UP__PEX__ESD_RC__MSTEP_0P25NS,FS_UP,pex,esd_rc,0.25,2188,500.2999999999999,0,True,520.0,135.9969935315362,151.83229969843242,172.863325852386,146.91093230694068,134.4577398990686,3.1270835010310805e-07,2.6224570004451664e-07,1.7255480000422097e-07
PREV_METHOD_XYCE_FS_UP__PEX__ESD_RC__MSTEP_0P5NS,FS_UP,pex,esd_rc,0.5,1155,500.2999999999999,0,True,520.0,135.9822832434541,151.8165279091385,172.8450033875437,146.89542316345444,134.44357173340924,3.1074750006521157e-07,2.6108705009075805e-07,1.720577000874357e-07
PREV_METHOD_XYCE_FS_UP__PEX__ZERO_OHM__MSTEP_0P25NS,FS_UP,pex,zero_ohm,0.25,2190,500.2999999999999,0,True,520.0,68.45304412612433,76.55095152131676,87.40174920359519,76.55095152131676,76.55095152131676,1.774439497559399e-07,1.774439497559399e-07,1.774439497559399e-07
PREV_METHOD_XYCE_FS_UP__SCHEMATIC__ESD_RC__MSTEP_0P25NS,FS_UP,schematic,esd_rc,0.25,2188,500.2999999999999,0,True,520.0,120.39010549538625,134.33542390475597,152.8921058550904,129.4598837713894,116.3117758664915,-1.42951002146674e-08,-9.758449714958317e-09,-2.9997497819067576e-09
PREV_METHOD_XYCE_FS_UP__SCHEMATIC__ZERO_OHM__MSTEP_0P25NS,FS_UP,schematic,zero_ohm,0.25,2189,500.2999999999999,0,True,520.0,55.17030793726163,61.763311693280606,70.59639892670413,61.763311693280606,61.763311693280606,-2.8009998764844113e-09,-2.8009998764844113e-09,-2.8009998764844113e-09
