pin,direction,use,side,def_shape_count,gds_label_count,matched_shape_count,status
GND,INOUT,GROUND,WEST,6,6,6,PASS
VDD,INOUT,POWER,WEST,6,6,6,PASS
CLKS_PU,OUTPUT,SIGNAL,WEST,1,1,1,PASS
CLKS_PD,OUTPUT,SIGNAL,WEST,1,1,1,PASS
CLKS,INPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_CS[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_SL[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_IE[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_OE[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PU[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PD[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_OUT[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PDRV0[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PDRV1[7],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_IN[7],INPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_CS[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_SL[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_IE[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_OE[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PU[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PD[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_OUT[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PDRV0[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_PDRV1[6],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_IN[6],INPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_CS[5],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_SL[5],OUTPUT,SIGNAL,WEST,1,1,1,PASS
DOUT_IE[5],OUTPUT,SIGNAL,WEST,1,1,1,PASS
