"role","source_absolute_path","bundle_relative_path","size_bytes","source_sha256","bundle_sha256","exact_copy_pass"
"top_schematic","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\SAR_ADC_TOP_FIXED.sch","xschem/SAR_ADC_TOP_FIXED.sch","3752","04f8ffe6b0624cf8dbec3405f0cde5bbebc3000304c467cd46179fd5f8addc71","04f8ffe6b0624cf8dbec3405f0cde5bbebc3000304c467cd46179fd5f8addc71","True"
"top_symbol","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\A44_SAR_ADC_TOP_FIXED.sym","xschem/A44_SAR_ADC_TOP_FIXED.sym","1390","0df74804ce8f8072022dd2c7b9faec716ba4241a2f7812e1e1eb75294c031658","0df74804ce8f8072022dd2c7b9faec716ba4241a2f7812e1e1eb75294c031658","True"
"cdac_schematic","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\CDAC.sch","xschem/CDAC.sch","12170","1a6e64de5aac177fead165d0909c0ac6bd5bec25921db54894a21b91a3b01de6","1a6e64de5aac177fead165d0909c0ac6bd5bec25921db54894a21b91a3b01de6","True"
"cdac_symbol","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\A44_CDAC.sym","xschem/A44_CDAC.sym","1163","298fa32b7a04b60cae50f3999fcd2b01cc8dfd442b5031e108bb26b268793610","298fa32b7a04b60cae50f3999fcd2b01cc8dfd442b5031e108bb26b268793610","True"
"switch_schematic","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\SWITCH_BOOT_SP.sch","xschem/SWITCH_BOOT_SP.sch","7925","4049b886e976ed1e8b0afd8c5b8a349a7c287cd335a4ffe6cb064897fd7227fd","4049b886e976ed1e8b0afd8c5b8a349a7c287cd335a4ffe6cb064897fd7227fd","True"
"switch_symbol","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\A44_SWITCH_BOOT_SP.sym","xschem/A44_SWITCH_BOOT_SP.sym","879","efb864a4d610f61630507d1c76896422c76e0a7ef0d142847ae7f1a0eb105e8a","efb864a4d610f61630507d1c76896422c76e0a7ef0d142847ae7f1a0eb105e8a","True"
"current_resized_comparator_schematic","D:\PICO\A44_CURRENT_RESIZING_SIMULATION_CIRCUIT_FILES_20260728_R3\sources\08_current_resized_xschem\Comparator_StrongARM.sch","xschem/Comparator_StrongARM.sch","9342","20e713782714df7d063eef39b79e82f492775cf2fc71beb8895e871b7deeec5a","20e713782714df7d063eef39b79e82f492775cf2fc71beb8895e871b7deeec5a","True"
"current_resized_comparator_symbol","D:\PICO\A44_CURRENT_RESIZING_SIMULATION_CIRCUIT_FILES_20260728_R3\sources\08_current_resized_xschem\A44_Comparator_StrongARM.sym","xschem/A44_Comparator_StrongARM.sym","1278","36ea29c9789f2221cf798bb270ebaea509ba9249c717107de825a549e64975a7","36ea29c9789f2221cf798bb270ebaea509ba9249c717107de825a549e64975a7","True"
"sar_logic_symbol","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\A44_SAR_LOGIC_ACTUAL_RTL_REPAIR.sym","xschem/A44_SAR_LOGIC_ACTUAL_RTL_REPAIR.sym","1620","bac415a04de0840d1b2a5dd7ee9276a46155b93f48daeda26061a41c000f081a","bac415a04de0840d1b2a5dd7ee9276a46155b93f48daeda26061a41c000f081a","True"
"xschem_configuration","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\xschemrc","xschem/xschemrc","160","52296681d15582a28f27b54643f5258c8cb9967818cd4abe1d99be16091aecba","52296681d15582a28f27b54643f5258c8cb9967818cd4abe1d99be16091aecba","True"
"canonical_sar_logic_rtl","D:\PICO\A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1\01_MC200_TT_LOW_W4\source_snapshot\timing\sar_logic_async_core_RTL.sv","rtl/sar_logic_async_core_RTL.sv","7383","be43ce73959afb150e9987401eccf6aecb38c8e29d4ad5b780525b6b5e90afb9","be43ce73959afb150e9987401eccf6aecb38c8e29d4ad5b780525b6b5e90afb9","True"
"top_spice_netlist","D:\PICO\_A44_C3_ENV1_PROJECT_RESTORE_TEST_20260723\engineering\analog\SAR_CURRENT\netlists\accepted\core\SAR_ADC_TOP_FIXED.spice","spice/SAR_ADC_TOP_FIXED.spice","876","275faef84fe26cd85b6ecb62bd0a7c1db050f186b07fb109dc650d82e52843cd","275faef84fe26cd85b6ecb62bd0a7c1db050f186b07fb109dc650d82e52843cd","True"
"cdac_spice_subckt","D:\PICO\A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1\01_MC200_TT_LOW_W4\netlists\core\subckts\CDAC_native_extracted.subckt.spice","spice/subckts/CDAC_native_extracted.subckt.spice","4365","6e98da540b1c765b0dcec4d1e10399142dc37b7f1c21960d289a83f07ec10ada","6e98da540b1c765b0dcec4d1e10399142dc37b7f1c21960d289a83f07ec10ada","True"
"current_resized_comparator_spice_subckt","D:\PICO\A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1\01_MC200_TT_LOW_W4\netlists\core\subckts\Comparator_StrongARM_extracted.subckt.spice","spice/subckts/Comparator_StrongARM_extracted.subckt.spice","3906","53f26155df31b8d1f50dd1bc99a17a6530de29233c11faabe63906debd1b5b49","53f26155df31b8d1f50dd1bc99a17a6530de29233c11faabe63906debd1b5b49","True"
