utc,monotonic_s,ngspice_process_count,ngspice_thread_count,ngspice_rss_kb,mem_available_kb,swap_used_kb,process_detail,invocation,phase
2026-07-28T03:57:19.974218+00:00,892209.580843793,0,0,0,14422960,1640,,smoke_1785211109,smoke
2026-07-28T03:57:20.975295+00:00,892210.581929248,3,12,74768,14414928,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:21.976211+00:00,892211.58284377,3,12,86636,14407116,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:22.977454+00:00,892212.584087306,3,12,98332,14389044,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:23.978617+00:00,892213.585251172,3,12,109512,14372772,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:24.979731+00:00,892214.586363399,3,12,121208,14359024,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:25.980797+00:00,892215.587431292,3,12,132904,14351256,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:26.981932+00:00,892216.588565971,3,12,144084,14332828,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:27.983125+00:00,892217.589761286,3,12,155952,14324980,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:28.984169+00:00,892218.590803207,3,12,166960,14308780,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
2026-07-28T03:57:29.985204+00:00,892219.591837708,3,12,178312,14308780,1640,204677:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204678:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0|204679:4:/foss/tools/bin/ngspice -b -o /foss/designs/A44_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_PVT_FULLSTATIC_20260728_R1/0,smoke_1785211109,smoke
