job_id,mismatch_seed,noise_mode,band,early_frame,same_phase_frame,early_code,same_phase_code,code_equal,classification,used_as_first_conversion_gate
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,1,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,1,ON,LOW,1,65,240,239,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,1,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,1,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,2,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,2,ON,LOW,1,65,239,239,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,2,ON,LOW,2,66,203,204,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,2,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,3,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,3,ON,LOW,1,65,241,241,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,3,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,3,ON,LOW,3,67,135,135,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,4,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,4,ON,LOW,1,65,231,239,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,4,ON,LOW,2,66,196,204,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,4,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4,5,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4,5,ON,LOW,1,65,239,239,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4,5,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4,5,ON,LOW,3,67,133,134,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S006_LOW_W4,6,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
