mismatch_seed,band,historical_method_id,new_method_id,historical_w0_snr_db,historical_w0_sndr_db,historical_w0_enob_raw,new_w4_snr_db,new_w4_sndr_db,new_w4_enob_raw,delta_sndr_db,historical_w0_code_exact,historical_w0_different_frame_count,historical_w0_different_frames,historical_hard_dynamic_pass,new_w4_hard_dynamic_pass
1,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.64751403750985,48.01213435571317,7.683078796630096,48.384116580412666,47.82997749341585,7.652820181630541,-0.18215686229731887,False,11,21/23/26/34/35/42/43/44/52/54/55,True,True
2,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,45.57828300774726,44.4999247561066,7.0996552751007656,49.927783434803494,48.80305306865988,7.814460642634532,4.303128312553277,False,64,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,False,True
3,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.35983381424316,47.68955498872475,7.629494184173548,48.75008370513845,48.12627281290286,7.702038673239679,0.43671782417811045,False,64,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,True,True
4,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.203676679212386,47.29442044871674,7.563857217394808,49.97740433368149,48.49416643274425,7.763150570223298,1.1997459840275084,False,19,1/2/3/7/8/12/15/17/21/22/23/25/26/32/33/35/39/53/62,True,True
5,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.288071589736596,48.05113635149563,7.689557533471035,48.91366271310565,48.130382748417276,7.702721386780279,0.07924639692164703,False,20,2/4/11/15/16/17/21/22/23/25/26/32/35/36/40/42/46/51/58/60,True,True
6,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.813248375994654,48.227639902258815,7.718877060175884,48.984058232228634,48.23085848900625,7.719411709137252,0.0032185867474368024,False,20,0/2/6/7/27/30/31/32/34/37/42/43/45/47/48/50/56/57/59/63,True,True
7,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.686708203198855,48.76761968954432,7.808574699259855,50.39290692044399,49.02989556599458,7.852142120597107,0.2622758764502606,False,43,0/1/3/4/7/8/10/12/14/15/16/17/19/20/21/22/23/24/25/26/28/30/33/34/35/36/39/40/42/43/44/47/48/49/50/51/52/53/55/56/57/58/60,True,True
8,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.20606187980363,46.91810484742337,7.501346320169996,49.41771650785657,49.02695648583743,7.8516539013018996,2.108851638414059,False,64,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,True,True
9,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.31129813338867,48.102056463293835,7.698016023802963,47.83309389444396,47.350552897739036,7.573181544474924,-0.751503565554799,False,19,1/4/8/14/23/28/30/35/38/39/40/41/42/43/44/48/51/57/62,True,True
10,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.02108940770265,48.37981076006837,7.744154611307039,49.151372000484706,48.550580971205406,7.7725217560141875,0.1707702111370395,False,5,2/16/22/32/60,True,True
11,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.947706510825995,47.84120620254207,7.654685415704663,48.915302505388134,47.81178757734409,7.649798600887724,-0.029418625197976667,False,63,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/60/61/62/63,True,True
12,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,45.731037772426184,44.68925797855931,7.13110597650487,49.65695861005219,49.47658013329912,7.926342214833742,4.787322154739812,False,64,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,False,True
13,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.541285302270744,48.84989235708596,7.822241255329895,49.815939315550814,49.07205233381859,7.8591449059499325,0.22215997673262677,False,2,30/48,True,True
14,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.49531115135528,48.47260027442114,7.7595681518972,50.838267879232504,49.091388862621756,7.8623569539238805,0.6187885882006157,False,63,0/1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,True,True
15,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,26.8825204734201,26.301880483731296,4.07672433284573,49.07745504497254,48.20419992864845,7.714983376851903,21.902319444917154,False,27,0/1/4/6/8/11/14/19/21/22/23/26/28/30/36/43/44/48/49/51/52/53/55/56/57/58/63,False,True
16,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.010705155169305,47.6925252582365,7.6299875844246685,49.36844354949371,48.698513490742826,7.797095264242995,1.0059882325063256,False,33,0/1/8/9/10/14/16/17/19/21/27/28/33/34/35/36/37/39/42/43/44/47/48/49/50/51/52/54/56/57/60/61/62,True,True
17,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.02622752007686,47.390917006944164,7.579886546004015,49.36594868392196,48.35662824272296,7.74030369480448,0.965711235778798,False,38,0/2/5/6/9/10/13/14/15/16/18/19/20/22/25/27/28/29/30/31/32/34/36/37/38/39/41/44/45/46/47/48/49/50/59/60/61/62,True,True
18,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,32.51048699266908,31.952911263878555,5.01543376476388,48.17155330373617,47.21558465151983,7.550761570019906,15.262673387641279,False,16,0/10/14/17/18/21/22/23/28/35/38/39/43/47/54/57,False,True
19,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,32.92995644765377,32.26118839709247,5.066642590879147,47.835955518000475,47.343423584267626,7.571997273134158,15.082235187175158,False,24,1/2/3/5/11/12/13/15/16/17/20/25/26/27/31/32/36/46/51/53/55/58/60/62,False,True
20,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,50.55272988715865,48.566243003007955,7.775123422426572,48.57461987023417,47.46510750128101,7.592210548385551,-1.1011355017269437,False,2,44/54,True,True
21,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,44.487548378671505,43.74131729432385,6.973640746565424,49.09430128696289,48.38348553412083,7.744765038890504,4.64216823979698,False,63,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,False,True
22,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,47.77601990302722,46.96870496058062,7.509751654581499,48.19309320168127,47.487992329302116,7.59601201483424,0.5192873687214998,False,5,4/13/46/54/61,True,True
23,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,48.167585544045075,47.59797126792914,7.614280941516469,50.78101462734785,49.2035740179784,7.880992361790432,1.6056027500492576,False,47,1/2/3/4/5/7/8/10/11/12/13/15/16/17/19/20/21/22/23/24/25/26/28/29/30/31/32/33/34/36/38/40/41/42/44/46/47/50/51/53/54/57/58/59/60/61/62,True,True
24,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.77629669399441,48.291536722254385,7.729491149876145,50.42633346150062,48.19363108951591,7.7132277557335405,-0.09790563273847397,False,24,0/2/5/8/14/16/18/23/27/30/32/34/37/41/43/45/47/50/52/54/57/59/61/63,True,True
25,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,49.131811718063815,48.35865283654229,7.740640006070149,49.76172517304768,48.94077736787601,7.837338433201996,0.5821245313337187,False,56,0/1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20/21/22/23/24/25/26/27/29/31/32/33/34/35/36/38/39/40/41/42/44/46/48/49/50/51/52/53/54/55/56/58/59/60/61/62/63,True,True
26,LOW,FAST64_STARTUP_INCLUSIVE_W0,FAST64_SS_W4,42.27117242141796,41.592761227329774,6.616737745403618,48.96297691766335,48.169668530891016,7.709247264267612,6.576907303561242,False,64,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,False,True
