job_id,phase,role,category,mismatch_seed,noise_mode,noise_seed,band,pvt,warmup_frames,total_frames,retained_frame_start,retained_frame_end,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,returncode,elapsed_s,overall_status,completed_utc
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,1,ON,100001,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,75.99852665804792,PASS_FAST64_COMPLETE,2026-07-28T04:00:11.220653+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,2,ON,100002,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,76.60408090101555,PASS_FAST64_COMPLETE,2026-07-28T04:00:11.821495+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,3,ON,100003,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,74.89143347297795,PASS_FAST64_COMPLETE,2026-07-28T04:00:10.120754+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,4,ON,100004,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,74.89260025997646,PASS_FAST64_COMPLETE,2026-07-28T04:00:10.121669+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,5,ON,100005,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,78.38984915602487,PASS_FAST64_COMPLETE,2026-07-28T04:01:28.527926+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S006_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,6,ON,100006,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,78.78825919399969,PASS_FAST64_COMPLETE,2026-07-28T04:01:28.928293+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S007_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,7,ON,100007,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.0921123099979,PASS_FAST64_COMPLETE,2026-07-28T04:01:28.327770+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S008_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,8,ON,100008,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.38828885706607,PASS_FAST64_COMPLETE,2026-07-28T04:01:29.232451+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S009_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,9,ON,100009,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,81.83538200391922,PASS_FAST64_COMPLETE,2026-07-28T04:02:50.180153+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S010_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,10,ON,100010,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,81.83671781397425,PASS_FAST64_COMPLETE,2026-07-28T04:02:50.382785+00:00
