category,mismatch_seed,noise_seed,repeat_index,frame_index,ideal_vid_v,commanded_vid_v,code,valid,invalid_v,timeout_v,complete_time_s,measurement_stem,measurement_maxstep_ps,measurement_solver_profile
MC200_MAIN,1,100001,,0,1.2827920356296627,1.2827642395654932,224,True,0.0,0.0,3.75485e-07,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,1,1.4848272767569515,1.4847728581698183,240,True,0.0,0.0,8.7548e-07,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,2,1.0127819771128357,1.0128098982242102,204,True,0.0,0.0,1.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,3,0.08095483381425314,0.08091612070784752,134,True,0.0,0.0,1.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,4,-0.887624111535514,-0.8874809752386567,61,True,0.0,0.0,2.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,5,-1.4532402675617817,-1.4532218318760444,18,True,0.0,0.0,2.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,6,-1.359115724610322,-1.3591341312788658,25,True,0.0,0.0,3.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,7,-0.6479810573451181,-0.6478507479575234,79,True,0.0,0.0,3.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,8,0.35732346279269056,0.3573234287428174,155,True,0.0,0.0,4.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,9,1.200410601286161,1.200446423702894,218,True,0.0,0.0,4.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,10,1.4985364234506107,1.4984437125959578,240,True,0.0,0.0,5.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,11,1.1163580388581014,1.1163011122335333,212,True,0.0,0.0,5.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,12,0.22737644401506385,0.22730304133747228,145,True,0.0,0.0,6.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,13,-0.7648293027139206,-0.7649389442597956,70,True,0.0,0.0,6.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,14,-1.40981853608705,-1.4098152872896281,21,True,0.0,0.0,7.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,15,-1.4147796287657606,-1.4146179983546536,21,True,0.0,0.0,7.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,16,-0.7774603483941246,-0.7774342475124628,69,True,0.0,0.0,8.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,17,0.21280967599837608,0.21279075457169827,144,True,0.0,0.0,8.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,18,1.106468556641088,1.1064611136092575,211,True,0.0,0.0,9.37548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,19,1.4978138452031033,1.497722968272729,240,True,0.0,0.0,9.87548e-06,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,20,1.2091829624257837,1.2091726639388387,219,True,0.0,0.0,1.03755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,21,0.3716082947633996,0.37151807792451175,156,True,0.0,0.0,1.08755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,22,-0.6346687696089611,-0.6347052596268696,80,True,0.0,0.0,1.13755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,23,-1.3528194814245906,-1.3526691312184733,26,True,0.0,0.0,1.18755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,24,-1.4568184316989683,-1.4569497902177082,18,True,0.0,0.0,1.23755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,25,-0.8994522712850329,-0.8994606648638924,60,True,0.0,0.0,1.28755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,26,0.0662464156905973,0.06618571332838652,133,True,0.0,0.0,1.33755e-05,fast64_s001_n100001_main,100.0,DEFAULT
