target_id,mismatch_seed,band,reference,frame_index,current_code,reference_code,delta_code
S001_NEAR_NYQUIST,1,NEAR_NYQUIST,V7_MC200,0,238,254,-16
S008_NEAR_NYQUIST,8,NEAR_NYQUIST,V7_MC200,0,235,251,-16
S011_LOW,11,LOW,V7_MC200,1,236,252,-16
S016_LOW,16,LOW,EARLY_MC200,55,230,229,1
S021_LOW,21,LOW,V7_MC200,0,226,242,-16
S022_LOW,22,LOW,V7_MC200,0,226,242,-16
S026_NEAR_NYQUIST,26,NEAR_NYQUIST,V7_MC200,0,241,255,-14
S036_LOW,36,LOW,EARLY_MC200,1,237,253,-16
S036_LOW,36,LOW,V7_MC200,1,237,253,-16
S047_LOW,47,LOW,EARLY_MC200,53,98,97,1
S052_NEAR_NYQUIST,52,NEAR_NYQUIST,V7_MC200,0,238,254,-16
S070_LOW,70,LOW,EARLY_MC200,0,225,242,-17
S073_LOW,73,LOW,EARLY_MC200,43,43,42,1
S074_NEAR_NYQUIST,74,NEAR_NYQUIST,V7_MC200,0,238,206,32
S090_LOW,90,LOW,EARLY_MC200,27,202,201,1
S095_LOW,95,LOW,EARLY_MC200,0,226,242,-16
S096_LOW,96,LOW,EARLY_MC200,0,224,192,32
S096_LOW,96,LOW,EARLY_MC200,1,239,207,32
S098_LOW,98,LOW,V7_MC200,1,238,254,-16
S100_LOW,100,LOW,V7_MC200,1,238,254,-16
S101_LOW,101,LOW,EARLY_MC200,62,89,88,1
S110_LOW,110,LOW,EARLY_MC200,11,211,212,-1
S115_LOW,115,LOW,EARLY_MC200,36,193,191,2
S116_LOW,116,LOW,EARLY_MC200,25,61,64,-3
S118_LOW,118,LOW,EARLY_MC200,1,238,254,-16
S123_LOW,123,LOW,V7_MC200,0,224,240,-16
S129_LOW,129,LOW,V7_MC200,1,238,254,-16
S132_NEAR_NYQUIST,132,NEAR_NYQUIST,V7_MC200,0,237,253,-16
S135_LOW,135,LOW,EARLY_MC200,0,226,242,-16
S139_NEAR_NYQUIST,139,NEAR_NYQUIST,V7_MC200,0,236,252,-16
S143_LOW,143,LOW,EARLY_MC200,51,15,14,1
S147_LOW,147,LOW,EARLY_MC200,13,70,71,-1
S160_LOW,160,LOW,EARLY_MC200,46,230,229,1
S162_LOW,162,LOW,EARLY_MC200,35,121,122,-1
S173_LOW,173,LOW,EARLY_MC200,26,131,130,1
S175_LOW,175,LOW,V7_MC200,0,226,242,-16
S179_LOW,179,LOW,EARLY_MC200,1,236,252,-16
S180_LOW,180,LOW,EARLY_MC200,0,226,243,-17
S181_LOW,181,LOW,EARLY_MC200,34,50,51,-1
S183_LOW,183,LOW,EARLY_MC200,36,194,191,3
S188_LOW,188,LOW,EARLY_MC200,22,81,82,-1
S188_LOW,188,LOW,EARLY_MC200,60,17,18,-1
S193_LOW,193,LOW,EARLY_MC200,44,111,112,-1
S199_LOW,199,LOW,V7_MC200,0,224,240,-16
