target_id,mismatch_seed,band,target_frame,v7_formal_code,r1_replay_code,fixed50_rerun_code,matches_v7_formal,matches_r1_replay,r1_50ps_25ps_match,r1_numeric_stability
S074_NEAR_NYQUIST,74,NEAR_NYQUIST,0,206,238,238,False,True,True,STABLE_50PS_25PS
S052_NEAR_NYQUIST,52,NEAR_NYQUIST,0,254,238,238,False,True,True,STABLE_50PS_25PS
S001_NEAR_NYQUIST,1,NEAR_NYQUIST,0,254,238,238,False,True,True,STABLE_50PS_25PS
S008_NEAR_NYQUIST,8,NEAR_NYQUIST,0,251,235,235,False,True,True,STABLE_50PS_25PS
S139_NEAR_NYQUIST,139,NEAR_NYQUIST,0,252,236,236,False,True,True,STABLE_50PS_25PS
S132_NEAR_NYQUIST,132,NEAR_NYQUIST,0,253,237,237,False,True,True,STABLE_50PS_25PS
S026_NEAR_NYQUIST,26,NEAR_NYQUIST,0,255,241,241,False,True,True,STABLE_50PS_25PS
S123_LOW,123,LOW,0,240,224,224,False,True,True,STABLE_50PS_25PS
S021_LOW,21,LOW,0,242,226,226,False,True,True,STABLE_50PS_25PS
S175_LOW,175,LOW,0,242,226,226,False,True,True,STABLE_50PS_25PS
S022_LOW,22,LOW,0,242,226,226,False,True,True,STABLE_50PS_25PS
S199_LOW,199,LOW,0,240,224,224,False,True,True,STABLE_50PS_25PS
S011_LOW,11,LOW,1,252,236,236,False,True,True,STABLE_50PS_25PS
S036_LOW,36,LOW,1,253,237,237,False,True,True,STABLE_50PS_25PS
S098_LOW,98,LOW,1,254,238,238,False,True,True,STABLE_50PS_25PS
S129_LOW,129,LOW,1,254,238,238,False,True,True,STABLE_50PS_25PS
S100_LOW,100,LOW,1,254,238,238,False,True,True,STABLE_50PS_25PS
