mismatch_seed,band,current_state,baseline_state,state_match,hard_pass_match,mismatch_checksum_match,noise_checksum_match,code_checksum_match,delta_sndr_db,delta_snr_db,delta_enob_bit
1,LOW,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
1,NEAR_NYQUIST,VALID_PASS,VALID_FAIL,False,False,True,True,False,16.381362206782768,16.84226431060022,2.7211565127546136
21,LOW,VALID_FAIL,VALID_FAIL,True,True,True,True,False,11.869441099694576,12.101135058268753,1.9716679567598971
21,NEAR_NYQUIST,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
44,LOW,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
44,NEAR_NYQUIST,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
48,LOW,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
48,NEAR_NYQUIST,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
64,LOW,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
64,NEAR_NYQUIST,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
115,LOW,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
115,NEAR_NYQUIST,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
129,LOW,VALID_PASS,VALID_FAIL,False,False,True,True,False,16.02888089917697,16.46085848236124,2.6626048005277365
129,NEAR_NYQUIST,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
166,LOW,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
166,NEAR_NYQUIST,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
170,LOW,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
170,NEAR_NYQUIST,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
183,LOW,VALID_PASS,VALID_PASS,True,True,True,True,True,0.0,0.0,0.0
183,NEAR_NYQUIST,VALID_FAIL,VALID_FAIL,True,True,True,True,True,0.0,0.0,0.0
