mismatch_seed,noise_seed,band,nfft,bin,fin_hz,maxstep_ps,solver_profile,execution_mode,compact_code_checksum_sha256,state,hard_dynamic_pass,snr_budget_pass,preferred_nominal_pass,snr_db,sndr_db,enob_raw,sfdr_dbc,thd_db,mismatch_checksum_sha256,noise_draw_checksum_sha256
1,100001,LOW,64,7,218750.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,8cd4a6797de4ad159c651863c14c11a63783539eca361a203cca377e8200719a,VALID_PASS,True,True,True,48.64751403750985,48.01213435571317,7.683078796630096,55.923969962231475,-56.67346156158462,46ecd0a5648d88974bdfa2ff91550ecf1eda3cd91504a20350fa677b20b6e420,812f1a7933dceb73b5642e657b8f7fd2dc9dc27b170ebd56c12d240ccdee9b6d
1,100001,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,a4c95905ad50ed93298fcc899dd9403e2127a25bd75905199d95f164d2cf6de5,VALID_PASS,True,True,True,49.741017665466714,48.67516919975111,7.793217475041714,57.42726140022434,-55.29808814838973,46ecd0a5648d88974bdfa2ff91550ecf1eda3cd91504a20350fa677b20b6e420,812f1a7933dceb73b5642e657b8f7fd2dc9dc27b170ebd56c12d240ccdee9b6d
2,100002,LOW,64,7,218750.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,0f41220687728bc54cc049e05d994a73291eb272d939dff201f089d718b3685a,VALID_FAIL,False,False,False,45.57828300774726,44.4999247561066,7.0996552751007656,53.81088082441653,-51.078165495126875,7a16a78409eac597885a9b24441039d365792f43a1e553ed97db2bdd7d5ba5bf,61972ea84845cd14941cac277745c959d0689267f80f22c5ffdf58ecc56376d1
2,100002,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,559af9407142bff0994620f4762f74b3dc403fd62ed99cbd67a3bd34cf5b6b53,VALID_FAIL,False,False,False,46.576356413151004,45.74773515456724,7.306932749928113,55.86028924221392,-53.34974274445745,7a16a78409eac597885a9b24441039d365792f43a1e553ed97db2bdd7d5ba5bf,61972ea84845cd14941cac277745c959d0689267f80f22c5ffdf58ecc56376d1
3,100003,LOW,64,7,218750.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,b2fb4d3c4cdb2eb760810d12d9ae764bb556029a824ee7f21264a668584e74bf,VALID_PASS,True,True,False,48.35983381424316,47.68955498872475,7.629494184173548,56.43855163344011,-56.13567299083095,74d62364abce6e0d5993d4932718a585eaa950076bb66d07f1ebc5b5b4377f00,5daa207aa94b783299d55e4022acacb284bd93a157a0da5b90e155731e5c204e
3,100003,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,33cb0c3fa41fd7e36148419da5c5bfdef2a6a6d3009088ecd4cf5b02f5353a85,VALID_PASS,True,True,True,48.73975619674986,48.20842449587638,7.71568513220538,55.77551719388361,-57.5955679728424,74d62364abce6e0d5993d4932718a585eaa950076bb66d07f1ebc5b5b4377f00,5daa207aa94b783299d55e4022acacb284bd93a157a0da5b90e155731e5c204e
47,100047,LOW,64,7,218750.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,57bb79c88e495b45c08001bc78df659e39b4d00fd249bc27ea8471a6faa63a6f,VALID_PASS,True,False,False,47.99165978683902,47.8182688551281,7.650875225104337,55.76372873602848,-61.89225519393145,4b79e529f5ea4d8e31db266aff52e1f39b05f591058048c74d3591d81bb9b8ee,a99e0e6b132a39c6ea8c4859781b2464e2d46953035175d0acf88e3ec06c08cf
47,100047,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,1b8f85f3f43c25f0e0f4698efe2f73f874093d638aaca5a99d9a850abd21699d,VALID_FAIL,False,False,False,26.67028355729225,26.06239238989683,4.0369422574579445,39.69037028577616,-34.902378008066684,4b79e529f5ea4d8e31db266aff52e1f39b05f591058048c74d3591d81bb9b8ee,a99e0e6b132a39c6ea8c4859781b2464e2d46953035175d0acf88e3ec06c08cf
53,100053,LOW,64,7,218750.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,14b74a0828d07ac08dbfd23e68588b47619f5328af92b0e4ff1182279e6db257,VALID_FAIL,False,False,False,23.556306059036398,23.29699685264964,3.577574228014891,34.906323636043325,-35.66567010807952,e52e0a1c4f31e1b19f5f77d0a9d6ba9fe4d91376f6b320fa3e060e638ccc827c,c2f303c0ecd35d70e3317ef58ce9c0bb86b47822789f49d575a49cda096fdf14
53,100053,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,SEPARATE_PROCESS_FALLBACK,e07e5e415d6027249a1b13d415c96d480a3eb2a62dfdfb2bb5c70c3ef0d41355,VALID_PASS,True,True,True,48.861783173409805,48.59747639681983,7.780311693823893,60.17646813880114,-60.885719711181764,e52e0a1c4f31e1b19f5f77d0a9d6ba9fe4d91376f6b320fa3e060e638ccc827c,c2f303c0ecd35d70e3317ef58ce9c0bb86b47822789f49d575a49cda096fdf14
