metric,value,unit,status
start_guard,11.168000000000012,ns,PASS
cmpck_high_width_1,13.89,ns,PASS
valid_adv_to_cmpck_fall_1,12.975999999999997,ns,PASS
valid_rst_fall_to_next_cmpck_rise_1,11.069000000000004,ns,PASS
cmpck_high_width_2,13.877999999999988,ns,PASS
valid_adv_to_cmpck_fall_2,13.053999999999979,ns,PASS
valid_rst_fall_to_next_cmpck_rise_2,11.068999999999978,ns,PASS
cmpck_high_width_3,13.891000000000002,ns,PASS
valid_adv_to_cmpck_fall_3,12.976999999999999,ns,PASS
valid_rst_fall_to_next_cmpck_rise_3,11.069000000000004,ns,PASS
cmpck_high_width_4,13.890999999999975,ns,PASS
valid_adv_to_cmpck_fall_4,12.976999999999999,ns,PASS
valid_rst_fall_to_next_cmpck_rise_4,11.069000000000004,ns,PASS
cmpck_high_width_5,13.878000000000014,ns,PASS
valid_adv_to_cmpck_fall_5,13.053000000000004,ns,PASS
valid_rst_fall_to_next_cmpck_rise_5,11.068000000000003,ns,PASS
cmpck_high_width_6,13.878999999999989,ns,PASS
valid_adv_to_cmpck_fall_6,13.053999999999979,ns,PASS
valid_rst_fall_to_next_cmpck_rise_6,11.068999999999978,ns,PASS
cmpck_high_width_7,13.891999999999976,ns,PASS
valid_adv_to_cmpck_fall_7,12.977999999999998,ns,PASS
valid_rst_fall_to_next_cmpck_rise_7,11.069000000000031,ns,PASS
cmpck_high_width_8,13.878000000000014,ns,PASS
valid_adv_to_cmpck_fall_8,13.054000000000032,ns,PASS
conversion_time_to_eoc_capture,199.17200000000003,ns,PASS
minimum_frame_margin,175.928,ns,PASS
eoc_to_capture_delay,7.878000000000039,ns,PASS
dctrln7_b2_crossing,144.08800000000002,ns_abs,PASS
dctrln6_b2_crossing,169.338,ns_abs,PASS
dctrlp5_b2_crossing,194.885,ns_abs,PASS
dctrlp4_b2_crossing,220.35199999999998,ns_abs,PASS
dctrln3_b2_crossing,245.712,ns_abs,PASS
dctrln2_b2_crossing,271.151,ns_abs,PASS
dctrlp1_b2_crossing,296.7,ns_abs,PASS
