seed_order,seed_group,process_section,mim_section,vdd_v,temp_c,aperture_ns,band,bin,cached,codes_all_checksum,codes_retained_checksum,completed_utc,deck,delta_enob_raw,delta_sfdr_dbc,delta_sndr_db,delta_snr_db,delta_thd_db,duplicate_frame_count,elapsed_s,fin_hz,first_conversion_code,first_conversion_deterministic_pair_pass,first_conversion_protocol_pass,first_conversion_status,historical_replay_method_id,input_vpp_diff,invalid_count,job_id,log,max_conversion_time_ns,maxstep_ns,mean_conversion_time_ns,method_id,mismatch_checksum,mismatch_seed,missing_frame_count,nfft,noise_full_checksum,noise_mode,noise_prefix_checksum_0_63,noise_seed,overall_status,peak_rss_kb,phase,phase_rad,protocol_clean,pvt,retained_frame_end,retained_frame_start,returncode,role,same_phase_reference_code,simulation_aborted,startup_pair_mismatch_count,state,steady_state_clipping_count,steady_state_enob_raw,steady_state_hard_dynamic_pass,steady_state_hd2_dbc,steady_state_hd3_dbc,steady_state_method_id,steady_state_parseval_pass,steady_state_preferred_pass,steady_state_sfdr_dbc,steady_state_sndr_db,steady_state_snr_budget_pass,steady_state_snr_db,steady_state_thd_db,timed_out,timeout_count,total_frames,valid_frame_count,w0_replay_codes_checksum,w0_replay_enob_raw,w0_replay_sfdr_dbc,w0_replay_sndr_db,w0_replay_snr_db,w0_replay_thd_db,warmup_frames
1,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,c1f2572e6f55b6e6103580ab212181df6c640e767f447ef4f1fa89d351e307ba,9aab379466b9d284b9989d9cbf11def35a1c955bc72cc40c26ff630b47977926,2026-07-28T05:24:41.257831+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s044_low_w4.spice,-0.04334929083804706,1.6032896931279979,-0.2609627308450442,0.19608776935825034,2.5021135544227278,0,103.20518739998806,218750.0,226,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s044_low_w4.log,325.5000000000034,0.05,325.49688235294184,FAST64_V2_FIRST_CONVERSION_SEPARATED,bd8f468dc79eb35b437943275f6634b635ba84c01b70b7d2934421b2aa0f3227,44,0,64,298ddc3a1e0cf8cd7146a7c83c203ac3cd765ace6bf4117ac05c781d6ad1ed59,ON,cd3cd754ce17c573a473c44a29d2bbcbbe71eac6db0725a8c9a7da0d4b29bfe7,100044,PASS_FAST64_COMPLETE,269920,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,225,False,1,COMPLETE,0,7.86774065640328,True,-60.3815545074667,-74.2925973686589,FAST64_SS_W4,True,True,58.80232761739808,49.12379875154774,True,50.17989886206937,-55.781945547378804,False,0,68,68,ba1e7189ec48d7dbeb36cc3a449402e13bcdc45b92ca8a75459752b5cde84702,7.911089947241327,57.19903792427008,49.38476148239278,49.98381109271112,-58.28405910180153,4
2,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,aeda2284b030989179b8cb0ba5dfbdb4deefd176459c8ca3262fa94a204a5bbd,eb1ed1809fc628c85e215aaf5fe0419af6b1747f4956f5c7bd1c070797a5cb3f,2026-07-28T05:24:43.869185+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s026_low_w4.spice,0.0681691958060977,-1.528109221700035,0.41037855875270424,0.5240147654540763,0.20583397918014157,0,105.8242175540654,218750.0,225,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s026_low_w4.log,325.51000000000073,0.05,325.5001470588242,FAST64_V2_FIRST_CONVERSION_SEPARATED,884ab2a37208e7334283d06c280a1fe521805c821790a613ca76d462becf41e7,26,0,64,c042480eeeb2914d98eef586e1096668ec6b5497cd6381306fea83da3ff3ef34,ON,3c7bd715af2bb066f17b48154918af223969ad4c32719480f99ac6d2ebe3e509,100026,PASS_FAST64_COMPLETE,270196,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,226,False,2,COMPLETE,0,7.709247264267612,True,-62.09962390308392,-65.79055600027394,FAST64_SS_W4,True,True,55.65410489485522,48.169668530891016,True,48.96297691766335,-55.943709122570965,False,0,68,68,00447bf7f1e14002ba1b9f6c0da0f05aaa27cb031b51d9b7714489cebb3d5aa1,7.641078068461514,57.18221411655526,47.75928997213831,48.43896215220927,-56.14954310175111,4
3,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,1780b7f0728380149ae85f1939fd5002e8853d8f46b1f08f3e3185505be8c4c1,9ad8b10e8ae55f5d688b4e5b9b8aaa9a4406f78a52682a3b2038fdf2af1ca099,2026-07-28T05:24:41.759129+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s065_low_w4.spice,-0.028772348289940908,0.28591963034347856,-0.1732095367054427,-0.0988917002462415,0.48144177193393034,0,103.709190397989,218750.0,226,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s065_low_w4.log,325.51000000000033,0.05,325.49970588235357,FAST64_V2_FIRST_CONVERSION_SEPARATED,81b31c359477d6abf8df0ec0340bf4080968961be407641af0758e6803b040c8,65,0,64,c55e23c286f41769614a041a5a31f28d7c73215cb8db984ef6bca06ef3b6cbb7,ON,da917894f97e8f61ba4a722dda79d8b27163134f689bcc966030a9df5917c3ea,100065,FAIL_STEADY_STATE_DYNAMIC,270068,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,226,False,1,COMPLETE_WITH_FAIL,0,7.493939850876304,False,-60.91029668421975,-56.938330172129234,FAST64_SS_W4,True,False,54.12081424979209,46.873517902275346,False,47.84927162467322,-53.83670504636464,False,0,68,68,c7c38e996e46cd8992714c9bdd3a5a4e20423b724b8aae5e6d34a4970a7af21f,7.522712199166245,53.83489461944861,47.04672743898079,47.94816332491946,-54.31814681829857,4
4,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,ad468138bc6178eed2006ba9879e92d37f35364baafcdb2ac1f68cbd9b09c72b,b8f0dd45f4edbba8e8251d28a13ef92b266a134bf2c210c7c37a4dcb098921af,2026-07-28T05:24:44.165485+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s021_low_w4.spice,0.010469057378866609,0.35949647979371235,0.06302372542077705,0.10272873175276942,0.16727847883100821,0,106.11857058899477,218750.0,224,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s021_low_w4.log,325.5100000000001,0.05,325.4994117647065,FAST64_V2_FIRST_CONVERSION_SEPARATED,8e2ce428bc6ec7642e3cf477d3ef4257982882036266f2ce54eab7c02bde7ede,21,0,64,c735e91bf1b8501c24f6215d646ff1c1c3b0ffddc35e0f9a1e8fa4bc2798756f,ON,be2731deaece657010eec3c584e06e624e9ed55bef323f71c34c78041dfe741e,100021,PASS_FAST64_COMPLETE,270232,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,225,False,1,COMPLETE,0,7.744765038890504,True,-82.8410844540879,-63.21070917640284,FAST64_SS_W4,True,True,55.738465276769205,48.38348553412083,True,49.09430128696289,-56.594319658047674,False,0,68,68,29a6e5ae981fb49341f608552998a56bab32f19e6ca4c150ac6681b77bcd48b6,7.734295981511638,55.37896879697549,48.32046180870005,48.99157255521012,-56.76159813687868,4
5,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,da201b7572761a6628f5e2c89f76f58f148ea8e82eb8b0cb0e6b922737366101,3f47a0e474a3f1aa222eef453a5fae4a84edc2a20ec86c1a695b68f4e05f0193,2026-07-28T05:25:54.543076+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s036_low_w4.spice,0.04900683620738544,-0.13771283516960864,0.29502115396846307,0.7308174523856508,1.4756449387889603,0,73.26747597905342,218750.0,223,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s036_low_w4.log,325.51000000000073,0.05,325.49895588235364,FAST64_V2_FIRST_CONVERSION_SEPARATED,fe79c7091e4a2e3e63ca6ba67a5e53c4539b925fa8c66d30fd23da298f59d366,36,0,64,2c46d1c2c9fb993f480c03cf7f7d9b002a9a668fc7c76dd98b010686be5c5826,ON,6edf2a825197a0a5fb43cc24efd2c788b873d42667c003d03bd8f6af54b702d2,100036,PASS_FAST64_COMPLETE,270100,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,223,False,1,COMPLETE,0,7.695996048810855,True,-63.06095438082643,-60.30112682792186,FAST64_SS_W4,True,True,56.89856052132853,48.08989621384134,True,49.279963118306966,-54.293479754987416,False,0,68,68,1534eedbe8d653a15e8d0917682c47a54030064068460ee8ccd716af4f01e4b0,7.6469892126034695,57.036273356498135,47.79487505987288,48.549145665921316,-55.76912469377638,4
6,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,474b7dd9e2907d56c6a5ed2b267ef70d67d867ad8e603da3c645d3d238576322,6d5ff0b9ea95fc1c1f93f933436ba87efa97d2016817efe60945dfe52fa23a6d,2026-07-28T05:25:54.955332+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s002_low_w4.spice,2.7808416807273737,12.119798181715538,16.740666917978785,17.358888065222303,-13.575497989435114,0,73.17980490694754,218750.0,240,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s002_low_w4.log,325.51000000000073,0.05,325.4987058823536,FAST64_V2_FIRST_CONVERSION_SEPARATED,7a16a78409eac597885a9b24441039d365792f43a1e553ed97db2bdd7d5ba5bf,2,0,64,81470343d1192baaa9bf2a97ce98b2a376fdf73bf3cb512351392c2fec2eb4c5,ON,61972ea84845cd14941cac277745c959d0689267f80f22c5ffdf58ecc56376d1,100002,PASS_FAST64_COMPLETE,270292,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,224,False,2,COMPLETE,0,7.814460642634532,True,-69.39045912045552,-61.612773985835474,FAST64_SS_W4,True,True,57.19620524148137,48.80305306865988,True,49.927783434803494,-55.22064721575966,False,0,68,68,29b25d9c7b350fc1efa4648cb8eaa0c354881bbe25e972d53dde15f7efffb627,5.033618961907158,45.076407059765835,32.06238615068109,32.56889536958119,-41.64514922632455,4
7,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,f4624a619800cdb2ce09323c349d8f2a7778a305d50ff41fa795088f133e35a2,24db95f8f28e96d6db0849eae22022e7255e7eeed71d288e0fb11bb0960d6def,2026-07-28T05:25:55.844204+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s012_low_w4.spice,-2.6645352591003757e-15,-1.7053025658242404e-13,-1.4210854715202004e-14,-2.1316282072803006e-14,-7.105427357601002e-14,0,71.95851692697033,218750.0,226,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s012_low_w4.log,325.51000000000073,0.05,325.5002500000006,FAST64_V2_FIRST_CONVERSION_SEPARATED,f2c5cbaafc1bea185cc330de88650a8ec788f8d6b7a019ed80952489810825cc,12,0,64,0515584f3f5f7f97738387f570af68f6b560a49c4651fc5a230d44c655573dce,ON,629a06ea1a89be65b5ebf41d0cc1dab07944f5729f47693095ca0fed5708f487,100012,PASS_FAST64_COMPLETE,270320,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,226,False,0,COMPLETE,0,7.926342214833742,True,-67.39650650482633,-73.57833449752799,FAST64_SS_W4,True,True,58.46311776830167,49.47658013329912,True,49.65695861005219,-63.38245318052324,False,0,68,68,7d7b2985644ac98dd262dc3d7443fc3e329095180b2522011d0218fc81b1d54e,7.926342214833745,58.46311776830184,49.47658013329914,49.656958610052214,-63.38245318052317,4
8,DEEP_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,7fc0dc4408a780855acf1a726da9eab5ee75cc1f89fb282724076b7c82a8d819,f6707a23d0c2101fd6262fa50e282fd887ed16ac75baf4fc39db30bae76f189a,2026-07-28T05:25:56.259990+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s182_low_w4.spice,7.105427357601002e-15,4.263256414560601e-14,4.263256414560601e-14,4.973799150320701e-14,-9.237055564881302e-14,0,72.07846722309478,218750.0,226,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s182_low_w4.log,325.51000000000073,0.05,325.4989117647065,FAST64_V2_FIRST_CONVERSION_SEPARATED,b8e806b86641e41cb8455d2d025085977914317a0b1b1986a4bec1eb85217434,182,0,64,9807c1c5196ed9ebb2f921745f41ec2f6af6d6c4633b82accb4f8a0779225ad2,ON,349f53ff64c4d493ef97b4242dee3ec78a4f588f710b7f25c9b3bc713230f7b3,100182,PASS_FAST64_COMPLETE,270064,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,226,False,0,COMPLETE,0,8.004038187048138,True,-71.18364422934496,-59.67220654132419,FAST64_SS_W4,True,True,59.67220654132419,49.94430988602979,True,50.85519654315752,-57.17499547127245,False,0,68,68,9c1f5fb20b1a4717037453d5a2734b0e795418e37fd9549b7c116cc7b8c42fe4,8.004038187048131,59.67220654132415,49.94430988602975,50.85519654315747,-57.17499547127236,4
9,MIDDLE_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,58209d1d81b2f3cdaa6723bd5c875e9a87594301f72edfccefb309bca0a36236,9a6d59ba3f51a5dd60d79017197feb1f9fb1c945a258071b4f21a559a0cbcaf2,2026-07-28T05:27:10.157648+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s086_low_w4.spice,-0.04632250171067831,-0.584425273139054,-0.2788614602982875,-0.16163990375663673,1.6925040043614175,0,75.59170215402264,218750.0,222,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s086_low_w4.log,325.5100000000001,0.05,325.4990294117654,FAST64_V2_FIRST_CONVERSION_SEPARATED,3944ead95fc5ccce91b42548832827437b602e57f938ca92e3c3ff3265c48e39,86,0,64,f16cfeab36c50594e14ffb888218bf6e6a1a8a3e8dbc8f6b8bc30afe5409797e,ON,a4efd1684f9bcf9e8f375a09d8113a2be810adedfca4d52c1f4028cccced26b3,100086,PASS_FAST64_COMPLETE,270204,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,221,False,1,COMPLETE,0,7.786019353921431,True,-69.13124808789146,-64.1139670831658,FAST64_SS_W4,True,True,57.75387289224031,48.63183651060701,True,49.039722769855814,-59.10663593605897,False,0,68,68,b730a1e0de3cb92c214ff67b44aa81d428af215feef9c8854e60187e70f2c94f,7.83234185563211,58.33829816537936,48.9106979709053,49.20136267361245,-60.79913994042039,4
10,MIDDLE_TAIL,typical,mimcap_typical,3.3,27,480.0,LOW,7,False,c260d9c350845b08a026e342f35d4ef7ad4e401d1660f1105201bf01d7ede748,84b723c7e66a322e69fa15829325216826925e71104e80a3b2634459a8d728f2,2026-07-28T05:27:09.355713+00:00,jobs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s080_low_w4.spice,6.217248937900877e-15,0.0,3.552713678800501e-14,3.552713678800501e-14,-3.552713678800501e-14,0,74.38379184098449,218750.0,225,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,logs/fast64_v2/p4_pvt_tt_mc20_low/pvt3_tt_3p3_27c_cmp_xm5_xm6_w8p2524_xm7_xm11_w16p8587_s080_low_w4.log,325.5099999999999,0.05,325.4996176470595,FAST64_V2_FIRST_CONVERSION_SEPARATED,98bf6811f0983709e42c521b12eabf3c4370143e3bce9ca70e30a570736c09f8,80,0,64,c6c3d1d0e2aa516f7f1885e2adffbda26fbf2456a6400f41aadc3421e2ba2382,ON,9828f59e4da38d6a31ff187012e1dd951d294ce8c68a022d8e2a56e725677800,100080,PASS_FAST64_COMPLETE,269868,P4_PVT_TT_MC20_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,225,False,0,COMPLETE,0,7.748842792938397,True,-68.41970313473881,-59.585246383687654,FAST64_SS_W4,True,True,57.026024934947294,48.408033613489145,True,49.33652361350254,-55.564081550903175,False,0,68,68,dd470d4b6031e9ba1ed90b6ab0e9cc863b2e2ed8208a4e7fbab1fce7d191a955,7.748842792938391,57.026024934947294,48.40803361348911,49.33652361350251,-55.56408155090314,4
