point_id,target,role,vid_v,variant,label,frames_per_point,conditioning_codes,formal_code,all_frames_valid,formal_valid,formal_bits,formal_complete_v,formal_invalid_v,formal_timeout_v,formal_complete_time_s,formal_stable_margin_ns,sampled_diff_v,input_diff_v,job
t003_low,3,low,-1.682931927057702,CURRENT,full_transition_expand0,2,2,2,True,True,00000010,3.6,0.0,0.0,8.75482e-07,104.51799999999999,-1.68292,-1.68292,current_full_transition_expand0_f2_sh000
t003_high,3,high,-1.6630100520577018,CURRENT,full_transition_expand0,2,3,3,True,True,00000011,3.6,0.0,0.0,1.87548e-06,104.52000000000014,-1.663,-1.663,current_full_transition_expand0_f2_sh000
t004_low,4,low,-1.6696768212506155,CURRENT,full_transition_expand0,2,3,3,True,True,00000011,3.6,0.0,0.0,2.87548e-06,104.51999999999973,-1.66967,-1.66967,current_full_transition_expand0_f2_sh000
t004_high,4,high,-1.6497549462506154,CURRENT,full_transition_expand0,2,4,4,True,True,00000100,3.6,0.0,0.0,3.87548e-06,104.52000000000014,-1.64974,-1.64974,current_full_transition_expand0_f2_sh000
t005_low,5,low,-1.6564217154435288,CURRENT,full_transition_expand0,2,4,4,True,True,00000100,3.6,0.0,0.0,4.87548e-06,104.52000000000099,-1.65641,-1.65641,current_full_transition_expand0_f2_sh000
t005_high,5,high,-1.6364998404435287,CURRENT,full_transition_expand0,2,5,5,True,True,00000101,3.6,0.0,0.0,5.87548e-06,104.52000000000014,-1.63649,-1.63649,current_full_transition_expand0_f2_sh000
t006_low,6,low,-1.6431666096364421,CURRENT,full_transition_expand0,2,5,5,True,True,00000101,3.6,0.0,0.0,6.87548e-06,104.52000000000014,-1.64316,-1.64316,current_full_transition_expand0_f2_sh000
t006_high,6,high,-1.623244734636442,CURRENT,full_transition_expand0,2,6,6,True,True,00000110,3.6,0.0,0.0,7.87548e-06,104.52000000000014,-1.62323,-1.62323,current_full_transition_expand0_f2_sh000
t007_low,7,low,-1.6299115038293555,CURRENT,full_transition_expand0,2,6,6,True,True,00000110,3.6,0.0,0.0,8.87548e-06,104.52000000000014,-1.6299,-1.6299,current_full_transition_expand0_f2_sh000
t007_high,7,high,-1.6099896288293554,CURRENT,full_transition_expand0,2,7,7,True,True,00000111,3.6,0.0,0.0,9.87548e-06,104.52000000000014,-1.60998,-1.60998,current_full_transition_expand0_f2_sh000
t008_low,8,low,-1.616656398022269,CURRENT,full_transition_expand0,2,7,7,True,True,00000111,3.6,0.0,0.0,1.08755e-05,104.50000000000044,-1.61665,-1.61665,current_full_transition_expand0_f2_sh000
t008_high,8,high,-1.596734523022269,CURRENT,full_transition_expand0,2,8,8,True,True,00001000,3.6,0.0,0.0,1.18755e-05,104.50000000000044,-1.59672,-1.59672,current_full_transition_expand0_f2_sh000
t009_low,9,low,-1.6034012922151823,CURRENT,full_transition_expand0,2,8,8,True,True,00001000,3.6,0.0,0.0,1.28755e-05,104.49999999999875,-1.60339,-1.60339,current_full_transition_expand0_f2_sh000
t009_high,9,high,-1.5834794172151823,CURRENT,full_transition_expand0,2,9,9,True,True,00001001,3.6,0.0,0.0,1.38755e-05,104.50000000000044,-1.58347,-1.58347,current_full_transition_expand0_f2_sh000
t010_low,10,low,-1.5901461864080957,CURRENT,full_transition_expand0,2,9,9,True,True,00001001,3.6,0.0,0.0,1.48755e-05,104.50000000000044,-1.59014,-1.59014,current_full_transition_expand0_f2_sh000
t010_high,10,high,-1.5702243114080956,CURRENT,full_transition_expand0,2,10,10,True,True,00001010,3.6,0.0,0.0,1.58755e-05,104.49999999999875,-1.57021,-1.57021,current_full_transition_expand0_f2_sh000
t011_low,11,low,-1.576891080601009,CURRENT,full_transition_expand0,2,10,10,True,True,00001010,3.6,0.0,0.0,1.68755e-05,104.49999999999535,-1.57688,-1.57688,current_full_transition_expand0_f2_sh000
t011_high,11,high,-1.556969205601009,CURRENT,full_transition_expand0,2,11,11,True,True,00001011,3.6,0.0,0.0,1.78755e-05,104.49999999999875,-1.55696,-1.55696,current_full_transition_expand0_f2_sh000
t012_low,12,low,-1.5636359747939224,CURRENT,full_transition_expand0,2,11,11,True,True,00001011,3.6,0.0,0.0,1.88755e-05,104.49999999999875,-1.56363,-1.56363,current_full_transition_expand0_f2_sh000
t012_high,12,high,-1.5437140997939223,CURRENT,full_transition_expand0,2,12,12,True,True,00001100,3.6,0.0,0.0,1.98755e-05,104.49999999999875,-1.5437,-1.5437,current_full_transition_expand0_f2_sh000
t013_low,13,low,-1.550380868986836,CURRENT,full_transition_expand0,2,12,12,True,True,00001100,3.6,0.0,0.0,2.08755e-05,104.49999999999875,-1.55037,-1.55037,current_full_transition_expand0_f2_sh000
t013_high,13,high,-1.5304589939868358,CURRENT,full_transition_expand0,2,13,13,True,True,00001101,3.6,0.0,0.0,2.18755e-05,104.49999999999535,-1.53045,-1.53045,current_full_transition_expand0_f2_sh000
t014_low,14,low,-1.5371257631797492,CURRENT,full_transition_expand0,2,13,13,True,True,00001101,3.6,0.0,0.0,2.28755e-05,104.49999999999535,-1.53712,-1.53712,current_full_transition_expand0_f2_sh000
t014_high,14,high,-1.5172038881797492,CURRENT,full_transition_expand0,2,14,14,True,True,00001110,3.6,0.0,0.0,2.38755e-05,104.49999999999875,-1.51719,-1.51719,current_full_transition_expand0_f2_sh000
t015_low,15,low,-1.5238706573726626,CURRENT,full_transition_expand0,2,14,14,True,True,00001110,3.6,0.0,0.0,2.48755e-05,104.49999999999875,-1.52386,-1.52386,current_full_transition_expand0_f2_sh000
t015_high,15,high,-1.5039487823726625,CURRENT,full_transition_expand0,2,15,15,True,True,00001111,3.6,0.0,0.0,2.58755e-05,104.49999999999875,-1.50394,-1.50394,current_full_transition_expand0_f2_sh000
t017_low,17,low,-1.4973604457584895,CURRENT,full_transition_expand0,2,16,16,True,True,00010000,3.6,0.0,0.0,2.68755e-05,104.49999999999875,-1.49735,-1.49735,current_full_transition_expand0_f2_sh000
t017_high,17,high,-1.4774385707584894,CURRENT,full_transition_expand0,2,17,17,True,True,00010001,3.6,0.0,0.0,2.78755e-05,104.49999999999535,-1.47743,-1.47743,current_full_transition_expand0_f2_sh000
t018_low,18,low,-1.4841053399514028,CURRENT,full_transition_expand0,2,17,17,True,True,00010001,3.6,0.0,0.0,2.88755e-05,104.49999999999535,-1.4841,-1.4841,current_full_transition_expand0_f2_sh000
t018_high,18,high,-1.4641834649514027,CURRENT,full_transition_expand0,2,18,18,True,True,00010010,3.6,0.0,0.0,2.98755e-05,104.49999999999875,-1.46417,-1.46417,current_full_transition_expand0_f2_sh000
t019_low,19,low,-1.4708502341443161,CURRENT,full_transition_expand0,2,18,18,True,True,00010010,3.6,0.0,0.0,3.08755e-05,104.49999999999875,-1.47084,-1.47084,current_full_transition_expand0_f2_sh000
t019_high,19,high,-1.450928359144316,CURRENT,full_transition_expand0,2,19,19,True,True,00010011,3.6,0.0,0.0,3.18755e-05,104.49999999999197,-1.45092,-1.45092,current_full_transition_expand0_f2_sh000
t020_low,20,low,-1.4575951283372295,CURRENT,full_transition_expand0,2,19,19,True,True,00010011,3.6,0.0,0.0,8.75482e-07,104.51799999999999,-1.45759,-1.45759,current_full_transition_expand0_f2_sh001
t020_high,20,high,-1.4376732533372294,CURRENT,full_transition_expand0,2,20,20,True,True,00010100,3.6,0.0,0.0,1.87548e-06,104.52000000000014,-1.43766,-1.43766,current_full_transition_expand0_f2_sh001
t021_low,21,low,-1.4443400225301428,CURRENT,full_transition_expand0,2,20,20,True,True,00010100,3.6,0.0,0.0,2.87548e-06,104.51999999999973,-1.44433,-1.44433,current_full_transition_expand0_f2_sh001
t021_high,21,high,-1.4244181475301427,CURRENT,full_transition_expand0,2,21,21,True,True,00010101,3.6,0.0,0.0,3.87548e-06,104.52000000000014,-1.42441,-1.42441,current_full_transition_expand0_f2_sh001
t022_low,22,low,-1.4310849167230562,CURRENT,full_transition_expand0,2,21,21,True,True,00010101,3.6,0.0,0.0,4.87548e-06,104.52000000000099,-1.43107,-1.43107,current_full_transition_expand0_f2_sh001
t022_high,22,high,-1.411163041723056,CURRENT,full_transition_expand0,2,22,22,True,True,00010110,3.6,0.0,0.0,5.87548e-06,104.52000000000014,-1.41115,-1.41115,current_full_transition_expand0_f2_sh001
t023_low,23,low,-1.4178298109159697,CURRENT,full_transition_expand0,2,22,22,True,True,00010110,3.6,0.0,0.0,6.87548e-06,104.52000000000014,-1.41782,-1.41782,current_full_transition_expand0_f2_sh001
