variant,mismatch_seed,target_transition,lower_v,upper_v,transition_v,lower_code,upper_code,final_bracket_width_lsb,center_v,expansion_half_width_lsb,bisection_rounds,frames_per_point,maxstep_ps,status,reason
CURRENT,44,1,-1.6995849609375002,-1.6993774414062504,-1.6994812011718752,0.0,1.0,0.01562499999998997,-1.68671875,2.0,8.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,2,-1.6862260953647885,-1.686070455716351,-1.6861482755405697,1.0,2.0,0.011718749999996657,-1.6862260953647885,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,3,-1.672659710260827,-1.6725040706123893,-1.672581890436608,2,3,0.011718750000013375,-1.6729709895577018,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,4,-1.6597158837506154,-1.659560244102178,-1.6596380639263968,3,4,0.011718749999996657,-1.6597158837506154,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,5,-1.6463051382950913,-1.6461494986466536,-1.6462273184708724,4,5,0.011718750000013375,-1.6464607779435287,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,6,-1.6330500324880046,-1.632894392839567,-1.6329722126637858,5,6,0.011718750000013375,-1.633205672136442,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,7,-1.6193280077356054,-1.619172368087168,-1.6192501879113865,6,7,0.011718749999996657,-1.6199505663293554,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,8,-1.6068511001707064,-1.606695460522269,-1.6067732803464878,7,8,0.011718749999996657,-1.606695460522269,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,9,-1.5935959943636198,-1.5934403547151823,-1.5935181745394011,8,9,0.011718749999996657,-1.5934403547151823,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,10,-1.5801852489080956,-1.5800296092596582,-1.5801074290838768,9,10,0.011718749999996657,-1.5801852489080956,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,11,-1.566618863804134,-1.5664632241556964,-1.5665410439799152,10,11,0.011718750000013375,-1.566930143101009,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,12,-1.5536750372939223,-1.5535193976454849,-1.5535972174697035,11,12,0.011718749999996657,-1.5536750372939223,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,13,-1.5402642918383984,-1.5401086521899607,-1.5401864720141796,12,13,0.011718750000013375,-1.5404199314868359,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,14,-1.5270091860313117,-1.526853546382874,-1.526931366207093,13,14,0.011718750000013375,-1.5271648256797492,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,15,-1.5132871612789125,-1.513131521630475,-1.5132093414546937,14,15,0.011718749999996657,-1.5139097198726625,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,16,-1.501277172659326,-1.5011215330108885,-1.501199352835107,15.0,16.0,0.011718749999996657,-1.5006546140655759,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,17,-1.487555147906927,-1.4873995082584894,-1.4874773280827083,16,17,0.011718749999996657,-1.4873995082584894,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,18,-1.4743000420998402,-1.4741444024514028,-1.4742222222756216,17,18,0.011718749999996657,-1.4741444024514028,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,19,-1.4607336569958786,-1.4605780173474412,-1.46065583717166,18,19,0.011718749999996657,-1.460889296644316,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,20,-1.4476341908372294,-1.447478551188792,-1.4475563710130106,19,20,0.011718749999996657,-1.4476341908372294,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,21,-1.4343790850301428,-1.4342234453817053,-1.434301265205924,20,21,0.011718749999996657,-1.4343790850301428,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,22,-1.4209683395746187,-1.4208126999261812,-1.4208905197504,21,22,0.011718749999996657,-1.421123979223056,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,23,-1.407401954470657,-1.4072463148222196,-1.4073241346464385,22,23,0.011718749999996657,-1.4078688734159697,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,24,-1.3947694072573205,-1.394613767608883,-1.3946915874331016,23,24,0.011718749999996657,-1.394613767608883,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,25,-1.3815143014502338,-1.3813586618017963,-1.381436481626015,24,25,0.011718749999996657,-1.3813586618017963,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,26,-1.3682591956431474,-1.36810355599471,-1.3681813758189287,25,26,0.011718749999996657,-1.36810355599471,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,27,-1.3546928105391858,-1.3545371708907483,-1.3546149907149672,26,27,0.011718749999996657,-1.3548484501876232,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,28,-1.3415933443805366,-1.3414377047320991,-1.3415155245563177,27,28,0.011718749999996657,-1.3415933443805366,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,29,-1.32833823857345,-1.3281825989250124,-1.328260418749231,28,29,0.011718749999996657,-1.32833823857345,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,30,-1.3149274931179258,-1.3147718534694883,-1.3148496732937072,29,30,0.011718749999996657,-1.3150831327663632,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,31,-1.301361108013964,-1.3012054683655265,-1.3012832881897451,30.0,31.0,0.011718749999996657,-1.3018280269592766,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,32,-1.289506759042815,-1.2893511193943776,-1.2894289392185962,31.0,32.0,0.011718749999996657,-1.2885729211521901,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,33,-1.2750065360482283,-1.2748508963997909,-1.2749287162240095,32.0,33.0,0.011718749999996657,-1.2753178153451035,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,34,-1.2615957905927042,-1.2614401509442668,-1.2615179707684856,33,34,0.011718749999996657,-1.2620627095380168,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,35,-1.2480294054887429,-1.2478737658403052,-1.247951585664524,34,35,0.011718750000013375,-1.2488076037309304,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,36,-1.2349299393300937,-1.2347742996816562,-1.234852119505875,35,36,0.011718749999996657,-1.2355524979238437,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,37,-1.221674833523007,-1.2215191938745695,-1.2215970136987884,36,37,0.011718749999996657,-1.222297392116757,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,38,-1.2082640880674829,-1.2081084484190452,-1.208186268243264,37,38,0.011718750000013375,-1.2090422863096704,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,39,-1.194697702963521,-1.1945420633150836,-1.1946198831393025,38,39,0.011718749999996657,-1.1957871805025837,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,40,-1.1820651557501844,-1.181909516101747,-1.1819873359259656,39,40,0.011718749999996657,-1.182532074695497,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,41,-1.1689656895915355,-1.168810049943098,-1.1688878697673166,40,41,0.011718749999996657,-1.1692769688884106,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,42,-1.1555549441360113,-1.1553993044875739,-1.1554771243117927,41,42,0.011718749999996657,-1.156021863081324,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,43,-1.1419885590320498,-1.1418329193836123,-1.1419107392078311,42,43,0.011718749999996657,-1.1427667572742373,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,44,-1.1290447325218382,-1.1288890928734008,-1.1289669126976194,43,44,0.011718749999996657,-1.1295116514671508,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,45,-1.1156339870663141,-1.1154783474178767,-1.1155561672420955,44,45,0.011718749999996657,-1.1162565456600642,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,46,-1.10222324161079,-1.1020676019623523,-1.1021454217865712,45,46,0.011718750000013375,-1.1030014398529775,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,47,-1.0886568565068282,-1.0885012168583907,-1.0885790366826096,46,47,0.011718749999996657,-1.0897463340458908,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,48,-1.0766468678872416,-1.0764912282388042,-1.076569048063023,47.0,48.0,0.011718749999996657,-1.0764912282388042,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,49,-1.0629248431348426,-1.062769203486405,-1.0628470233106238,48,49,0.011718750000013375,-1.0632361224317175,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,50,-1.049669737327756,-1.0495140976793182,-1.049591917503537,49,50,0.011718750000013375,-1.0499810166246308,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,51,-1.0361033522237943,-1.035947712575357,-1.0360255323995755,50,51,0.011718749999996657,-1.0367259108175444,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,52,-1.0230038860651451,-1.0228482464167077,-1.0229260662409265,51,52,0.011718749999996657,-1.0234708050104577,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,53,-1.0097487802580587,-1.0095931406096212,-1.0096709604338399,52,53,0.011718749999996657,-1.0102156992033713,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,54,-0.9963380348025344,-0.9961823951540969,-0.9962602149783156,53,54,0.011718749999996657,-0.9969605933962845,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,55,-0.982771649698573,-0.9826160100501355,-0.9826938298743543,54,55,0.011718749999996657,-0.983705487589198,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,56,-0.9701391024852363,-0.9699834628367987,-0.9700612826610175,55,56,0.011718750000005015,-0.9704503817821113,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,57,-0.9568839966781496,-0.956728357029712,-0.9568061768539309,56,57,0.011718750000005015,-0.9571952759750246,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,58,-0.943628890871063,-0.9434732512226256,-0.9435510710468443,57,58,0.011718749999996657,-0.9439401701679381,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,59,-0.9300625057671015,-0.929906866118664,-0.9299846859428827,58,59,0.011718749999996657,-0.9306850643608514,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,60,-0.9169630396084523,-0.9168073999600148,-0.9168852197842335,59,60,0.011718749999996657,-0.9174299585537649,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,61,-0.9037079338013656,-0.9035522941529281,-0.9036301139771469,60,61,0.011718749999996657,-0.9041748527466782,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,62,-0.8902971883458417,-0.8901415486974043,-0.890219368521623,61,62,0.011718749999996657,-0.8909197469395916,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,63,-0.87673080324188,-0.8765751635934425,-0.8766529834176613,62.0,63.0,0.011718750000005015,-0.877664641132505,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,64,-0.8675223282941684,-0.867366688645731,-0.8674445084699497,63.0,64.0,0.011718749999996657,-0.8644095353254184,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,65,-0.8502205916277068,-0.8500649519792693,-0.8501427718034881,64.0,65.0,0.011718749999996657,-0.8511544295183318,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,66,-0.8368098461721827,-0.8366542065237451,-0.8367320263479638,65,66,0.011718750000005015,-0.8378993237112451,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,67,-0.8232434610682211,-0.8230878214197835,-0.8231656412440023,66,67,0.011718750000005015,-0.8246442179041585,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,68,-0.8102996345580094,-0.8101439949095719,-0.8102218147337906,67,68,0.011718749999996657,-0.8113891120970719,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,69,-0.7968888891024853,-0.7967332494540478,-0.7968110692782666,68,69,0.011718750000005015,-0.7981340062899853,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,70,-0.7836337832953987,-0.7834781436469611,-0.78355596347118,69,70,0.011718750000005015,-0.7848789004828987,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,71,-0.7700673981914371,-0.7699117585429995,-0.7699895783672184,70,71,0.011718750000005015,-0.7716237946758121,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,72,-0.7574348509781005,-0.7572792113296629,-0.7573570311538818,71,72,0.011718750000005015,-0.7583686888687254,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,73,-0.7441797451710139,-0.7440241055225765,-0.7441019253467952,72,73,0.011718749999996657,-0.7451135830616389,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,74,-0.7309246393639273,-0.7307689997154898,-0.7308468195397085,73,74,0.011718749999996657,-0.7318584772545522,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,75,-0.7173582542599656,-0.717202614611528,-0.7172804344357468,74,75,0.011718750000005015,-0.7186033714474656,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,76,-0.7042587881013165,-0.704103148452879,-0.7041809682770978,75,76,0.011718749999996657,-0.705348265640379,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,77,-0.69100368229423,-0.6908480426457925,-0.6909258624700112,76,77,0.011718750000005015,-0.6920931598332924,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,78,-0.6775929368387058,-0.6774372971902682,-0.6775151170144871,77,78,0.011718750000005015,-0.6788380540262058,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,79,-0.6640265517347441,-0.6638709120863067,-0.6639487319105254,78,79,0.011718749999996657,-0.6655829482191191,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,80,-0.6518609234667199,-0.6517052838182824,-0.6517831036425011,79.0,80.0,0.011718749999996657,-0.6523278424120325,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,81,-0.6382945383627585,-0.6381388987143211,-0.6382167185385398,80,81,0.011718749999996657,-0.639072736604946,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,82,-0.6248837929072344,-0.6247281532587969,-0.6248059730830157,81,82,0.011718749999996657,-0.6258176307978593,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,83,-0.6113174078032727,-0.6111617681548351,-0.611239587979054,82,83,0.011718750000005015,-0.6125625249907727,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,84,-0.5983735812930611,-0.5982179416446236,-0.5982957614688423,83,84,0.011718749999996657,-0.599307419183686,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,85,-0.5849628358375369,-0.5848071961890994,-0.5848850160133181,84,85,0.011718750000005015,-0.5860523133765994,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,86,-0.5717077300304505,-0.5715520903820129,-0.5716299102062317,85,86,0.011718750000005015,-0.5727972075695129,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,87,-0.5581413449264887,-0.5579857052780512,-0.55806352510227,86,87,0.011718749999996657,-0.5595421017624262,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,88,-0.5455087977131521,-0.5453531580647146,-0.5454309778889334,87,88,0.011718749999996657,-0.5462869959553396,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,89,-0.5322536919060654,-0.532098052257628,-0.5321758720818467,88,89,0.011718749999996657,-0.5330318901482529,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,90,-0.5189985860989788,-0.5188429464505413,-0.51892076627476,89,90,0.011718749999996657,-0.5197767843411663,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,91,-0.5054322009950174,-0.5052765613465798,-0.5053543811707986,90,91,0.011718750000005015,-0.5065216785340798,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,92,-0.4923327348363682,-0.4921770951879307,-0.49225491501214946,91,92,0.011718750000000836,-0.49326657272699315,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,93,-0.4790776290292815,-0.478921989380844,-0.4789998092050628,92,93,0.011718750000000836,-0.4800114669199065,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,94,-0.46566688357375735,-0.46551124392531984,-0.46558906374953857,93,94,0.011718750000000836,-0.4667563611128198,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,95,-0.4521004984697959,-0.4519448588213584,-0.4520226786455771,94.0,95.0,0.011718750000000836,-0.4535012553057334,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,96,-0.4402461494986467,-0.4400905098502092,-0.440168329674428,95.0,96.0,0.011718750000000836,-0.4402461494986467,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,97,-0.42574592650406007,-0.42559028685562256,-0.42566810667984134,96.0,97.0,0.011718750000000836,-0.42699104369156005,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,98,-0.4123351810485359,-0.4121795414000984,-0.4122573612243171,97,98,0.011718750000000836,-0.4137359378844734,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,99,-0.3987687959445742,-0.3986131562961367,-0.3986909761203554,98,99,0.011718750000000836,-0.4004808320773867,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,100,-0.3858249694343628,-0.3856693297859253,-0.385747149610144,99,100,0.011718750000000836,-0.3872257262703003,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,101,-0.3724142239788386,-0.3722585843304011,-0.3723364041546199,100,101,0.011718750000000836,-0.3739706204632136,0.75,7,2,50,PASS,BRACKETED
