point_id,target,role,vid_v,variant,label,frames_per_point,conditioning_codes,formal_code,all_frames_valid,formal_valid,formal_bits,formal_complete_v,formal_invalid_v,formal_timeout_v,formal_complete_time_s,formal_stable_margin_ns,sampled_diff_v,input_diff_v,job
t003_low,3,low,-1.6878993237112452,CURRENT,full_transition_expand0,2,2,2,True,True,00000010,3.0,0.0,0.0,8.75484e-07,104.51599999999993,-1.68789,-1.68789,current_full_transition_expand0_f2_sh000
t003_high,3,high,-1.667977448711245,CURRENT,full_transition_expand0,2,3,3,True,True,00000011,3.0,0.0,0.0,1.87549e-06,104.51000000000008,-1.66797,-1.66797,current_full_transition_expand0_f2_sh000
t004_low,4,low,-1.6746376818559303,CURRENT,full_transition_expand0,2,3,3,True,True,00000011,3.0,0.0,0.0,2.87548e-06,104.51999999999973,-1.67463,-1.67463,current_full_transition_expand0_f2_sh000
t004_high,4,high,-1.6547158068559302,CURRENT,full_transition_expand0,2,4,4,True,True,00000100,3.0,0.0,0.0,3.87549e-06,104.51000000000029,-1.65471,-1.65471,current_full_transition_expand0_f2_sh000
t005_low,5,low,-1.6613760400006152,CURRENT,full_transition_expand0,2,4,4,True,True,00000100,3.0,0.0,0.0,4.87549e-06,104.51000000000029,-1.66137,-1.66137,current_full_transition_expand0_f2_sh000
t005_high,5,high,-1.6414541650006151,CURRENT,full_transition_expand0,2,5,5,True,True,00000101,3.0,0.0,0.0,5.87549e-06,104.51000000000029,-1.64144,-1.64144,current_full_transition_expand0_f2_sh000
t006_low,6,low,-1.6481143981453004,CURRENT,full_transition_expand0,2,5,5,True,True,00000101,3.0,0.0,0.0,6.87549e-06,104.51000000000029,-1.6481,-1.6481,current_full_transition_expand0_f2_sh000
t006_high,6,high,-1.6281925231453003,CURRENT,full_transition_expand0,2,6,6,True,True,00000110,3.0,0.0,0.0,7.87548e-06,104.52000000000014,-1.62818,-1.62818,current_full_transition_expand0_f2_sh000
t007_low,7,low,-1.6348527562899853,CURRENT,full_transition_expand0,2,6,6,True,True,00000110,3.0,0.0,0.0,8.87548e-06,104.52000000000014,-1.63484,-1.63484,current_full_transition_expand0_f2_sh000
t007_high,7,high,-1.6149308812899852,CURRENT,full_transition_expand0,2,7,7,True,True,00000111,3.0,0.0,0.0,9.87548e-06,104.52000000000014,-1.61492,-1.61492,current_full_transition_expand0_f2_sh000
t008_low,8,low,-1.6215911144346704,CURRENT,full_transition_expand0,2,7,7,True,True,00000111,3.0,0.0,0.0,1.08755e-05,104.50000000000044,-1.62158,-1.62158,current_full_transition_expand0_f2_sh000
t008_high,8,high,-1.6016692394346703,CURRENT,full_transition_expand0,2,8,8,True,True,00001000,3.0,0.0,0.0,1.18755e-05,104.50000000000044,-1.60166,-1.60166,current_full_transition_expand0_f2_sh000
