variant,mismatch_seed,target_transition,lower_v,upper_v,transition_v,lower_code,upper_code,final_bracket_width_lsb,center_v,expansion_half_width_lsb,bisection_rounds,frames_per_point,maxstep_ps,status,reason
CURRENT,44,1,-1.7045654296875001,-1.7043579101562503,-1.704461669921875,0.0,1.0,0.01562499999998997,-1.68671875,2.0,8.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,2,-1.6913556677149977,-1.6912000280665602,-1.6912778478907788,1.0,2.0,0.011718749999996657,-1.6912000280665602,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,3,-1.67762710691437,-1.6774714672659325,-1.6775492870901512,2,3,0.011718749999996657,-1.6779383862112451,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,4,-1.6649880236528052,-1.6648323840043677,-1.6649102038285863,3,4,0.011718749999996657,-1.6646767443559303,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,5,-1.6512594628521777,-1.6511038232037403,-1.6511816430279591,4,5,0.011718749999996657,-1.6514151025006152,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,6,-1.6379978209968629,-1.6378421813484252,-1.637920001172644,5,6,0.011718750000013375,-1.6381534606453003,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,7,-1.6244248998446726,-1.6242692601962352,-1.624347080020454,6,7,0.011718749999996657,-1.6248918187899852,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,8,-1.6125640148252955,-1.6124083751768579,-1.6124861950010767,7,8,0.011718750000013375,-1.6116301769346704,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,9,-1.598524174727793,-1.5983685350793555,-1.5984463549035741,8,9,0.011718749999996657,-1.5983685350793555,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,10,-1.5852625328724779,-1.5851068932240404,-1.585184713048259,9,10,0.011718749999996657,-1.5851068932240404,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,11,-1.5715339720718506,-1.571378332423413,-1.5714561522476318,10,11,0.011718750000013375,-1.5718452513687255,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,12,-1.5588948888102854,-1.558739249161848,-1.5588170689860665,11,12,0.011718749999996657,-1.5585836095134105,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,13,-1.5451663280096581,-1.5450106883612205,-1.5450885081854393,12,13,0.011718750000013375,-1.5453219676580956,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,14,-1.531904686154343,-1.5317490465059054,-1.5318268663301242,13,14,0.011718750000013375,-1.5320603258027805,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,15,-1.518331765002153,-1.5181761253537156,-1.5182539451779342,14,15,0.011718749999996657,-1.5187986839474656,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,16,-1.5080272764671505,-1.507871636818713,-1.507949456642932,15.0,16.0,0.011718749999996657,-1.5055370420921506,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,44,17,-1.4925866795337108,-1.4924310398852731,-1.492508859709492,16,17,0.011718750000013375,-1.4922754002368357,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,18,-1.4793250376783957,-1.4791693980299583,-1.479247217854177,17,18,0.011718749999996657,-1.4790137583815208,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,19,-1.4655964768777683,-1.4654408372293308,-1.4655186570535497,18,19,0.011718749999996657,-1.4657521165262057,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,20,-1.4529573936162035,-1.452801753967766,-1.4528795737919848,19,20,0.011718749999996657,-1.4524904746708909,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,21,-1.439228832815576,-1.4390731931671386,-1.4391510129913572,20,21,0.011718749999996657,-1.439228832815576,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,22,-1.425967190960261,-1.4258115513118235,-1.425889371136042,21,22,0.011718749999996657,-1.425967190960261,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,23,-1.4122386301596332,-1.4120829905111958,-1.4121608103354144,22,23,0.011718749999996657,-1.4127055491049458,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,24,-1.4005333847886934,-1.400377745140256,-1.4004555649644748,23,24,0.011718749999996657,-1.399443907249631,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,25,-1.386493544691191,-1.3863379050427536,-1.3864157248669722,24,25,0.011718749999996657,-1.386182265394316,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,26,-1.373231902835876,-1.3730762631874385,-1.373154083011657,25,26,0.011718749999996657,-1.372920623539001,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,27,-1.3595033420352487,-1.359347702386811,-1.3594255222110299,26,27,0.011718750000013375,-1.3596589816836862,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,28,-1.3468642587736839,-1.3467086191252462,-1.346786438949465,27,28,0.011718750000013375,-1.3463973398283713,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,29,-1.3331356979730562,-1.3329800583246187,-1.3330578781488374,28,29,0.011718749999996657,-1.3331356979730562,0.75,7,2,50,PASS,BRACKETED
