variant,mismatch_seed,target_transition,lower_v,upper_v,transition_v,lower_code,upper_code,final_bracket_width_lsb,center_v,expansion_half_width_lsb,bisection_rounds,frames_per_point,maxstep_ps,status,reason
CURRENT,44,1,-1.7045654296875001,-1.7043579101562503,-1.704461669921875,0,1,0.01562499999998997,-1.68671875,2.0,8,2,50,PASS,BRACKETED
CURRENT,44,2,-1.6913556677149977,-1.6912000280665602,-1.6912778478907788,1,2,0.011718749999996657,-1.6912000280665602,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,16,-1.5080272764671505,-1.507871636818713,-1.507949456642932,15,16,0.011718749999996657,-1.5055370420921506,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,31,-1.3061454953171137,-1.3059898556686762,-1.306067675492895,30,31,0.011718749999996657,-1.3066124142624262,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,32,-1.2992650790477365,-1.2991094393992988,-1.2991872592235176,31,32,0.011718750000013375,-1.2933507724071114,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,33,-1.2797778512549214,-1.2796222116064837,-1.2797000314307025,32,33,0.011718750000013375,-1.2800891305517963,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,48,-1.0831878181517594,-1.083032178503322,-1.0831099983275405,47,48,0.011718749999996657,-1.081164502722072,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,63,-0.8876872625876602,-0.8875316229392226,-0.8876094427634413,62,64,0.011718750000005015,-0.8822398748923476,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,64,-0.8876549908495326,-0.8874474713182826,-0.8875512310839075,62,64,0.015624999999998328,-0.8689782330370326,2.0,8,2,50,PASS,BRACKETED
CURRENT,44,65,-0.8547827532910927,-0.8546271136426551,-0.8547049334668739,64,65,0.011718750000005015,-0.8557165911817176,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,80,-0.6583483598363682,-0.6581927201879307,-0.6582705400121495,79,80,0.011718749999996657,-0.6567919633519932,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,95,-0.4564665786863314,-0.4563109390378939,-0.4563887588621126,94,95,0.011718750000000836,-0.4578673355222689,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,96,-0.4495861624169538,-0.4494305227685163,-0.4495083425927351,95,96,0.011718750000000836,-0.4446056936669538,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,97,-0.43009893462413895,-0.42994329497570144,-0.4300211147999202,96,97,0.011718750000000836,-0.43134405181163893,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,112,-0.23350890152097692,-0.2333532618725394,-0.23343108169675816,111,112,0.011718750000000836,-0.2324194239819144,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,127,-0.03178276001937759,-0.031627120370940086,-0.031704940195158834,126,127,0.011718750000000314,-0.03349479615219009,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,128,-0.0203369140625,-0.020129394531249997,-0.020233154296875,127,128,0.015625000000000156,0.0,2.0,8,2,50,PASS,BRACKETED
CURRENT,44,129,-0.008994827871247637,-0.008839188222810136,-0.008917008047028887,128,129,0.011718750000000052,-0.006971512441560135,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,144,0.1875952052319142,0.1877508448803517,0.18767302505613295,143,144,0.011718750000000836,0.19195311538816417,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,159,0.3894769863819512,0.38963262603038873,0.38955480620617,158,159,0.011718750000000836,0.3908777432178887,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,160,0.39620176300289134,0.3963574026513288,0.39627958282711007,159,160,0.011718749999996657,0.4041393850732038,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,161,0.41584463044414344,0.41600027009258095,0.41592245026836216,160,161,0.011718750000000836,0.41740102692851844,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,176,0.6122790238988679,0.6124346635473055,0.6123568437230866,175,176,0.011718750000005015,0.616325654758243,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,190,0.8005878838967149,0.8007435235451524,0.8006657037209337,189,190,0.011718750000005015,0.8019886407326524,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,191,0.80762393981453,0.8077795794629674,0.8077017596387487,190,192,0.011718749999996657,0.8152502825879675,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,192,0.8075524517870325,0.8077599713182825,0.8076562115526575,190,192,0.015624999999998328,0.8285119244432826,2.0,8,2,50,PASS,BRACKETED
CURRENT,44,193,0.8406840887595348,0.8408397284079723,0.8407619085837535,192,193,0.011718749999996657,0.8417735662985972,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,208,1.0372741218626969,1.0374297615111343,1.0373519416869157,207,208,0.011718749999996657,1.0406981941283218,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,223,1.2391559030127337,1.2393115426611714,1.2392337228369525,222,223,0.011718750000013375,1.2396228219580463,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,224,1.246036319282111,1.2461919589305483,1.2461141391063295,223,224,0.011718749999996657,1.252884463813361,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,225,1.265523547074926,1.2656791867233634,1.2656013668991446,224,225,0.011718749999996657,1.266146105668676,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,255,1.6638916015625,1.66409912109375,1.663995361328125,254,255,0.01562499999998997,1.68671875,2.0,8,2,50,PASS,BRACKETED
