utc_started,job,variant,stage,points,frames,frames_per_point,maxstep_ps,elapsed_s,peak_rss_kb,returncode,cached,timed_out,simulation_aborted,retry
2026-07-28T06:38:37.550475+00:00,current_pilot_anchor_expand0_f2_sh000,CURRENT,pilot_anchor_expand0,6,12,2,50,12.338207863969728,43428,0,False,False,False,False
2026-07-28T06:38:49.955892+00:00,current_pilot_anchor_expand1_f2_sh000,CURRENT,pilot_anchor_expand1,6,12,2,50,12.037975504994392,43692,0,False,False,False,False
2026-07-28T06:39:02.046681+00:00,current_pilot_anchor_bis00_f2_sh000,CURRENT,pilot_anchor_bis00,3,6,2,50,6.219998580985703,32848,0,False,False,False,False
2026-07-28T06:39:08.322136+00:00,current_pilot_anchor_bis01_f2_sh000,CURRENT,pilot_anchor_bis01,3,6,2,50,6.01963739504572,32992,0,False,False,False,False
2026-07-28T06:39:14.388945+00:00,current_pilot_anchor_bis02_f2_sh000,CURRENT,pilot_anchor_bis02,3,6,2,50,6.421240529976785,32936,0,False,False,False,False
2026-07-28T06:39:20.872425+00:00,current_pilot_anchor_bis03_f2_sh000,CURRENT,pilot_anchor_bis03,3,6,2,50,6.322409336920828,32912,0,False,False,False,False
2026-07-28T06:39:27.265495+00:00,current_pilot_anchor_bis04_f2_sh000,CURRENT,pilot_anchor_bis04,3,6,2,50,6.418658543960191,32816,0,False,False,False,False
2026-07-28T06:39:33.739144+00:00,current_pilot_anchor_bis05_f2_sh000,CURRENT,pilot_anchor_bis05,3,6,2,50,6.120504920021631,33032,0,False,False,False,False
2026-07-28T06:39:39.910494+00:00,current_pilot_anchor_bis06_f2_sh000,CURRENT,pilot_anchor_bis06,3,6,2,50,5.919263795018196,32728,0,False,False,False,False
2026-07-28T06:39:45.881005+00:00,current_pilot_anchor_bis07_f2_sh000,CURRENT,pilot_anchor_bis07,3,6,2,50,6.21990242798347,33024,0,False,False,False,False
2026-07-28T06:39:52.153929+00:00,current_pilot_full_expand0_f2_sh001,CURRENT,pilot_full_expand0,26,52,2,50,56.29763001401443,114204,0,False,False,False,False
2026-07-28T06:39:52.153543+00:00,current_pilot_full_expand0_f2_sh000,CURRENT,pilot_full_expand0,32,64,2,50,69.13930777006317,135596,0,False,False,False,False
2026-07-28T06:41:01.336619+00:00,current_pilot_full_expand1_f2_sh000,CURRENT,pilot_full_expand1,4,8,2,50,8.626769184949808,36536,0,False,False,False,False
2026-07-28T06:41:10.017873+00:00,current_pilot_full_bis00_f2_sh000,CURRENT,pilot_full_bis00,29,58,2,50,61.48121147695929,124960,0,False,False,False,False
2026-07-28T06:42:11.546603+00:00,current_pilot_full_bis01_f2_sh000,CURRENT,pilot_full_bis01,29,58,2,50,61.28453443595208,124944,0,False,False,False,False
2026-07-28T06:43:12.880307+00:00,current_pilot_full_bis02_f2_sh000,CURRENT,pilot_full_bis02,29,58,2,50,60.38594043289777,125084,0,False,False,False,False
2026-07-28T06:44:13.312419+00:00,current_pilot_full_bis03_f2_sh000,CURRENT,pilot_full_bis03,29,58,2,50,58.56963133090176,125036,0,False,False,False,False
2026-07-28T06:45:11.924157+00:00,current_pilot_full_bis04_f2_sh000,CURRENT,pilot_full_bis04,29,58,2,50,64.7975112600252,124924,0,False,False,False,False
