variant,mismatch_seed,target_transition,lower_v,upper_v,transition_v,lower_code,upper_code,final_bracket_width_lsb,center_v,expansion_half_width_lsb,bisection_rounds,frames_per_point,maxstep_ps,status,reason
CURRENT,44,1,-1.7012451171875003,-1.7010375976562502,-1.7011413574218752,0,1,0.01562500000000669,-1.68671875,2.0,8,2,50,PASS,BRACKETED
CURRENT,44,2,-1.6878813495786174,-1.68772570993018,-1.6878035297543987,1,2,0.011718749999996657,-1.6878813495786174,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,16,-1.5031750776636321,-1.5030194380151947,-1.5030972578394133,15,16,0.011718749999996657,-1.5022412397730072,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,31,-1.3028742031788263,-1.3027185635303888,-1.3027963833546075,30,31,0.011718749999996657,-1.3033411221241389,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,32,-1.291948790062131,-1.2917931504136935,-1.291870970237912,31,32,0.011718749999996657,-1.290081114280881,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,33,-1.2763541874923106,-1.276198547843873,-1.2762763676680917,32,33,0.011718749999996657,-1.2768211064376231,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,48,-1.0783879077340677,-1.07823226808563,-1.0783100879098488,47,48,0.011718750000013375,-1.077920988788755,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,63,-0.8780870332492621,-0.8779313936008246,-0.8780092134250433,62,63,0.011718749999996657,-0.879020871139887,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,64,-0.8724533681794417,-0.8722977285310042,-0.8723755483552229,63,64,0.011718750000005015,-0.8657608632966292,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,65,-0.8515670175627463,-0.8514113779143089,-0.8514891977385276,64,65,0.011718749999996657,-0.8525008554533713,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,80,-0.6536007378045032,-0.6534450981560658,-0.6535229179802845,79,80,0.011718749999996657,-0.6536007378045032,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,95,-0.4532998633196977,-0.45314422367126017,-0.4532220434954789,94,95,0.011718750000000836,-0.45470062015563517,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,96,-0.44253008985143977,-0.44237445020300226,-0.442452270027221,95,96,0.011718750000000836,-0.4414406123123773,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,97,-0.4267798476331817,-0.4266242079847442,-0.42670202780896294,96,97,0.011718750000000836,-0.4281806044691192,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,112,-0.22896920752337616,-0.22881356787493867,-0.2288913876991574,111,112,0.011718749999998746,-0.22928048682025115,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,127,-0.028668333038570592,-0.02851269339013309,-0.02859051321435184,126,127,0.011718750000000052,-0.030380369171383093,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,128,-0.017431640625,-0.017224121093750003,-0.017327880859375002,127,128,0.015624999999999896,0.0,2.0,8,2,50,PASS,BRACKETED
CURRENT,44,129,-0.005883668914554851,-0.005728029266117351,-0.0058058490903361015,128,129,0.011718749999999988,-0.0038603534848673515,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,144,0.19208261084368822,0.1922382504921257,0.19216043066790695,143,144,0.011718749999998746,0.1950397641640007,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,159,0.39238348532849376,0.3925391249769313,0.3924613051527125,158,159,0.011718750000000836,0.39393988181286876,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,160,0.40315325879675157,0.4033088984451891,0.4032310786209703,159,160,0.011718750000000836,0.40719988965612663,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,161,0.418747861366572,0.4189035010150095,0.4188256811907908,160,161,0.011718750000000836,0.4204598974993845,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,176,0.6167141411248152,0.6168697807732526,0.6167919609490339,175,176,0.011718749999996657,0.6193600151482526,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,190,0.8034437284694878,0.8035993681179252,0.8035215482937065,189,190,0.011718749999996657,0.8050001249538628,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,191,0.8171706552580582,0.8173262949064957,0.8172484750822769,190,191,0.011718749999996657,0.8182601327971206,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,192,0.822337401382566,0.8224930410310034,0.8224152212067847,191,192,0.011718749999996657,0.8315201406403785,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,193,0.8436906709445744,0.8438463105930119,0.8437684907687931,192,193,0.011718749999996657,0.8447801484836368,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,208,1.0416569507028175,1.041812590351255,1.0417347705270363,207,208,0.011718749999996657,1.0436802661325049,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,223,1.2419578251876229,1.2421134648360603,1.2420356450118417,222,223,0.011718749999996657,1.242580383781373,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,224,1.2527275986558808,1.2528832383043182,1.2528054184800994,223,224,0.011718749999996657,1.2558403916246308,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,225,1.2683222012257012,1.2684778408741386,1.2684000210499198,224,225,0.011718749999996657,1.2691003994678887,0.75,7,2,50,PASS,BRACKETED
CURRENT,44,255,1.666796875,1.6670043945312498,1.666900634765625,254,255,0.01562499999998997,1.68671875,2.0,8,2,50,PASS,BRACKETED
