point_id,target,role,vid_v,variant,label,frames_per_point,conditioning_codes,formal_code,all_frames_valid,formal_valid,formal_bits,formal_complete_v,formal_invalid_v,formal_timeout_v,formal_complete_time_s,formal_stable_margin_ns,sampled_diff_v,input_diff_v,job
t001_low,1,low,-1.6966796875,CURRENT,qualification_f2_expand0,2,1,1,True,True,00000001,3.3,0.0,0.0,8.75485e-07,104.5149999999999,-1.69667,-1.69667,current_qualification_f2_expand0_f2_sh000
t001_high,1,high,-1.6767578125,CURRENT,qualification_f2_expand0,2,2,2,True,True,00000010,3.3,0.0,0.0,1.87549e-06,104.51000000000008,-1.67675,-1.67675,current_qualification_f2_expand0_f2_sh000
t064_low,64,low,-0.8599609375,CURRENT,qualification_f2_expand0,2,64,64,True,True,01000000,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-0.859951,-0.859951,current_qualification_f2_expand0_f2_sh000
t064_high,64,high,-0.8400390624999999,CURRENT,qualification_f2_expand0,2,65,65,True,True,01000001,3.3,0.0,0.0,3.87549e-06,104.51000000000029,-0.840029,-0.840029,current_qualification_f2_expand0_f2_sh000
t128_low,128,low,-0.0099609375,CURRENT,qualification_f2_expand0,2,128,128,True,True,10000000,3.3,0.0,0.0,4.87548e-06,104.52000000000099,-0.00995094,-0.00995094,current_qualification_f2_expand0_f2_sh000
t128_high,128,high,0.0099609375,CURRENT,qualification_f2_expand0,2,130,130,True,True,10000010,3.3,0.0,0.0,5.87548e-06,104.52000000000014,0.00997094,0.00997094,current_qualification_f2_expand0_f2_sh000
t192_low,192,low,0.8400390624999998,CURRENT,qualification_f2_expand0,2,192,192,True,True,11000000,3.3,0.0,0.0,6.87549e-06,104.51000000000029,0.840049,0.840049,current_qualification_f2_expand0_f2_sh000
t192_high,192,high,0.8599609374999999,CURRENT,qualification_f2_expand0,2,194,194,True,True,11000010,3.3,0.0,0.0,7.87549e-06,104.50999999999945,0.859971,0.859971,current_qualification_f2_expand0_f2_sh000
t255_low,255,low,1.6767578125,CURRENT,qualification_f2_expand0,2,255,255,True,True,11111111,3.3,0.0,0.0,8.87548e-06,104.52000000000014,1.67677,1.67677,current_qualification_f2_expand0_f2_sh000
t255_high,255,high,1.6966796875,CURRENT,qualification_f2_expand0,2,255,255,True,True,11111111,3.3,0.0,0.0,9.87548e-06,104.52000000000014,1.69669,1.69669,current_qualification_f2_expand0_f2_sh000
t001_low,1,low,-1.71328125,CURRENT,qualification_f2_expand1,2,0,0,True,True,00000000,3.3,0.0,0.0,8.75482e-07,104.51799999999999,-1.71327,-1.71327,current_qualification_f2_expand1_f2_sh000
t001_high,1,high,-1.66015625,CURRENT,qualification_f2_expand1,2,4,4,True,True,00000100,3.3,0.0,0.0,1.87549e-06,104.51000000000008,-1.66015,-1.66015,current_qualification_f2_expand1_f2_sh000
t064_low,64,low,-0.8765625,CURRENT,qualification_f2_expand1,2,63,63,True,True,00111111,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-0.876553,-0.876553,current_qualification_f2_expand1_f2_sh000
t064_high,64,high,-0.8234374999999999,CURRENT,qualification_f2_expand1,2,67,67,True,True,01000011,3.3,0.0,0.0,3.87548e-06,104.52000000000014,-0.823428,-0.823428,current_qualification_f2_expand1_f2_sh000
t128_low,128,low,-0.0265625,CURRENT,qualification_f2_expand1,2,127,127,True,True,01111111,3.3,0.0,0.0,4.87548e-06,104.52000000000099,-0.0265525,-0.0265525,current_qualification_f2_expand1_f2_sh000
t128_high,128,high,0.0265625,CURRENT,qualification_f2_expand1,2,131,131,True,True,10000011,3.3,0.0,0.0,5.87548e-06,104.52000000000014,0.0265725,0.0265725,current_qualification_f2_expand1_f2_sh000
t192_low,192,low,0.8234374999999998,CURRENT,qualification_f2_expand1,2,192,192,True,True,11000000,3.3,0.0,0.0,6.87549e-06,104.51000000000029,0.823448,0.823448,current_qualification_f2_expand1_f2_sh000
t192_high,192,high,0.8765624999999999,CURRENT,qualification_f2_expand1,2,195,195,True,True,11000011,3.3,0.0,0.0,7.87548e-06,104.52000000000014,0.876573,0.876573,current_qualification_f2_expand1_f2_sh000
t255_low,255,low,1.66015625,CURRENT,qualification_f2_expand1,2,254,254,True,True,11111110,3.3,0.0,0.0,8.87549e-06,104.51000000000114,1.66017,1.66017,current_qualification_f2_expand1_f2_sh000
t255_high,255,high,1.71328125,CURRENT,qualification_f2_expand1,2,255,255,True,True,11111111,3.3,0.0,0.0,9.87548e-06,104.52000000000014,1.71329,1.71329,current_qualification_f2_expand1_f2_sh000
