target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
1,-1.6987548828125,-1.698651123046875,-1.69854736328125,0.0
2,-1.6855467548520546,-1.6854689350278358,-1.6853911152036172,-0.0058687615526701745
3,-1.6722867470087968,-1.672208927184578,-1.6721311073603593,-0.0058687615526701745
4,-1.6591823788139766,-1.6591045589897577,-1.6590267391655389,-0.017606284658044015
5,-1.6460780106191562,-1.6460001907949375,-1.6459223709707187,-0.029343807763417856
6,-1.6328180027758983,-1.6327401829516797,-1.6326623631274608,-0.029343807763417856
7,-1.6195579949326404,-1.6194801751084218,-1.619402355284203,-0.029343807763417856
8,-1.6059867077925074,-1.6059088879682886,-1.60583106814407,-0.0058687615526701745
9,-1.5924154206523746,-1.5923376008281558,-1.592259781003937,0.017606284658044015
10,-1.5793110524575542,-1.5792332326333356,-1.5791554128091168,0.0058687615526701745
11,-1.5660510446142963,-1.5659732247900777,-1.5658954049658589,0.0058687615526701745
12,-1.552946676419476,-1.552868856595257,-1.5527910367710385,-0.0058687615526701745
13,-1.5398423082246557,-1.539764488400437,-1.539686668576218,-0.017606284658044015
14,-1.5265823003813979,-1.526504480557179,-1.5264266607329602,-0.017606284658044015
15,-1.51332229253814,-1.5132444727139212,-1.5131666528897023,-0.017606284658044015
16,-1.4999066450464444,-1.4998288252222256,-1.499751005398007,-0.0058687615526701745
17,-1.4866466372031866,-1.4865688173789677,-1.4864909975547491,-0.0058687615526701745
18,-1.4733866293599287,-1.4733088095357099,-1.4732309897114912,-0.0058687615526701745
19,-1.4601266215166708,-1.460048801692452,-1.4599709818682334,-0.0058687615526701745
20,-1.447177892970288,-1.4471000731460695,-1.4470222533218506,-0.029343807763417856
21,-1.4339178851270302,-1.4338400653028116,-1.4337622454785928,-0.029343807763417856
22,-1.4208135169322098,-1.420735697107991,-1.4206578772837724,-0.041081330868758204
23,-1.4073978694405145,-1.4073200496162959,-1.407242229792077,-0.029343807763417856
24,-1.3938265823003815,-1.3937487624761626,-1.393670942651944,-0.0058687615526701745
25,-1.380410934808686,-1.380333114984467,-1.3802552951602485,0.00586876155268692
26,-1.3673065666138655,-1.367228746789647,-1.367150926965428,-0.00586876155268692
27,-1.3538909191221702,-1.3538130992979514,-1.3537352794737327,0.00586876155268692
28,-1.3409421905757872,-1.3408643707515684,-1.3407865509273498,-0.017606284658027268
