point_id,target,role,vid_v,variant,label,frames_per_point,conditioning_codes,formal_code,all_frames_valid,formal_valid,formal_bits,formal_complete_v,formal_invalid_v,formal_timeout_v,formal_complete_time_s,formal_stable_margin_ns,sampled_diff_v,input_diff_v,job
t001_low,1,low,-1.6966796875,CURRENT,pilot_anchor_expand0,2,1,1,True,True,00000001,3.3,0.0,0.0,8.75484e-07,104.51599999999993,-1.69667,-1.69667,current_pilot_anchor_expand0_f2_sh000
t001_high,1,high,-1.6767578125,CURRENT,pilot_anchor_expand0,2,2,2,True,True,00000010,3.3,0.0,0.0,1.87549e-06,104.51000000000008,-1.67675,-1.67675,current_pilot_anchor_expand0_f2_sh000
t128_low,128,low,-0.0099609375,CURRENT,pilot_anchor_expand0,2,128,128,True,True,10000000,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-0.00995094,-0.00995094,current_pilot_anchor_expand0_f2_sh000
t128_high,128,high,0.0099609375,CURRENT,pilot_anchor_expand0,2,129,129,True,True,10000001,3.3,0.0,0.0,3.87548e-06,104.52000000000014,0.00997094,0.00997094,current_pilot_anchor_expand0_f2_sh000
t255_low,255,low,1.6767578125,CURRENT,pilot_anchor_expand0,2,255,255,True,True,11111111,3.3,0.0,0.0,4.87548e-06,104.52000000000099,1.67677,1.67677,current_pilot_anchor_expand0_f2_sh000
t255_high,255,high,1.6966796875,CURRENT,pilot_anchor_expand0,2,255,255,True,True,11111111,3.3,0.0,0.0,5.87548e-06,104.52000000000014,1.69669,1.69669,current_pilot_anchor_expand0_f2_sh000
t001_low,1,low,-1.71328125,CURRENT,pilot_anchor_expand1,2,0,0,True,True,00000000,3.3,0.0,0.0,8.75482e-07,104.51799999999999,-1.71327,-1.71327,current_pilot_anchor_expand1_f2_sh000
t001_high,1,high,-1.66015625,CURRENT,pilot_anchor_expand1,2,3,3,True,True,00000011,3.3,0.0,0.0,1.87548e-06,104.52000000000014,-1.66015,-1.66015,current_pilot_anchor_expand1_f2_sh000
t128_low,128,low,-0.0265625,CURRENT,pilot_anchor_expand1,2,127,127,True,True,01111111,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-0.0265525,-0.0265525,current_pilot_anchor_expand1_f2_sh000
t128_high,128,high,0.0265625,CURRENT,pilot_anchor_expand1,2,131,131,True,True,10000011,3.3,0.0,0.0,3.87548e-06,104.52000000000014,0.0265725,0.0265725,current_pilot_anchor_expand1_f2_sh000
t255_low,255,low,1.66015625,CURRENT,pilot_anchor_expand1,2,254,254,True,True,11111110,3.3,0.0,0.0,4.87548e-06,104.52000000000099,1.66017,1.66017,current_pilot_anchor_expand1_f2_sh000
