variant,mismatch_seed,target_transition,lower_v,upper_v,transition_v,lower_code,upper_code,final_bracket_width_lsb,center_v,expansion_half_width_lsb,bisection_rounds,frames_per_point,maxstep_ps,status,reason
CURRENT,116,1,-1.6890533447265625,-1.688897705078125,-1.688975524902344,0.0,1.0,0.011718749999996657,-1.68671875,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,116,2,-1.6758719737135521,-1.6757163340651147,-1.6757941538893335,1.0,2.0,0.011718749999996657,-1.6757163340651147,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,116,3,-1.6624571432278852,-1.6623015035794477,-1.6623793234036666,2,3,0.011718749999996657,-1.6624571432278852,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,4,-1.6493535920390934,-1.649197952390656,-1.6492757722148745,3,4,0.011718749999996657,-1.649197952390656,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,5,-1.6360944012018641,-1.6359387615534267,-1.6360165813776453,4,5,0.011718749999996657,-1.6359387615534267,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,6,-1.6228352103646346,-1.6226795707161972,-1.622757390540416,5,6,0.011718749999996657,-1.6226795707161972,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,7,-1.609420379878968,-1.6092647402305305,-1.609342560054749,6,7,0.011718749999996657,-1.609420379878968,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,8,-1.5964724683386136,-1.596316828690176,-1.5963946485143947,7,8,0.011718749999996657,-1.5961611890417386,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,9,-1.5829019982045094,-1.582746358556072,-1.5828241783802905,8,9,0.011718749999996657,-1.5829019982045094,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,10,-1.56964280736728,-1.5694871677188424,-1.5695649875430613,9,10,0.011718749999996657,-1.56964280736728,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,11,-1.5562279768816132,-1.5560723372331755,-1.5561501570573943,10,11,0.011718750000013375,-1.5563836165300506,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,12,-1.5432800653412588,-1.5431244256928214,-1.54320224551704,11,12,0.011718749999996657,-1.5431244256928214,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,13,-1.529865234855592,-1.5297095952071544,-1.529787415031373,12,13,0.011718749999996657,-1.529865234855592,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,14,-1.5166060440183626,-1.5164504043699252,-1.5165282241941438,13,14,0.011718749999996657,-1.5166060440183626,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,15,-1.503191213532696,-1.5030355738842585,-1.5031133937084773,14,15,0.011718749999996657,-1.5033468531811334,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,16,-1.4913327795314038,-1.4911771398829663,-1.491254959707185,15.0,16.0,0.011718749999996657,-1.4900876623439039,0.75,7.0,2.0,50.0,PASS,BRACKETED
CURRENT,116,17,-1.4776066697488621,-1.4774510301004247,-1.4775288499246435,16,17,0.011718749999996657,-1.4768284715066746,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,18,-1.4643474789116329,-1.4641918392631954,-1.4642696590874142,17,18,0.011718749999996657,-1.4635692806694454,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,19,-1.450932648425966,-1.4507770087775285,-1.4508548286017473,18,19,0.011718749999996657,-1.4503100898322159,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,20,-1.4379847368856118,-1.4378290972371741,-1.437906917061393,19,20,0.011718750000013375,-1.4370508989949866,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,21,-1.4245699063999449,-1.4244142667515074,-1.424492086575726,20,21,0.011718749999996657,-1.4237917081577574,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,22,-1.4113107155627156,-1.4111550759142781,-1.4112328957384968,21,22,0.011718749999996657,-1.410532517320528,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,23,-1.3978958850770486,-1.3977402454286112,-1.3978180652528298,22,23,0.011718749999996657,-1.3972733264832986,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,24,-1.3851036131851318,-1.3849479735366943,-1.3850257933609131,23,24,0.011718749999996657,-1.3840141356460693,0.75,7,2,50,PASS,BRACKETED
CURRENT,116,25,-1.3715331430510276,-1.3713775034025901,-1.371455323226809,24,25,0.011718749999996657,-1.37075494480884,0.75,7,2,50,PASS,BRACKETED
