mismatch_seed,sampler_offset_v,sampler_gain_negative,sampler_gain_positive,sampler_asymmetry_ppm,sampler_fit_rms_v,correction_offset_v,correction_vicm_slope_scaled_v,correction_settling_scale_v,correction_major_fit_max_error_lsb,correction_major_fit_rms_error_lsb,offset_lsb,gain_error_ppm,endpoint_lsb_v,minimum_code_width_lsb,missing_code_count,max_abs_dnl_lsb,max_abs_inl_endpoint_lsb,max_abs_inl_best_fit_lsb,worst_width_lower_code,worst_dnl_lower_transition,worst_inl_transition,static_risk_score,reconstructed_spec_status,cohort_residual_recalibrated
1,1.0196276058194913e-05,0.9999997187787143,0.9999990124791491,-0.7063000132237282,1.755080678976236e-06,-0.0014946245524099274,-0.00603923505501917,1.0565306525111784e-05,0.005432267001369366,0.0030967193767179016,0.023504504144214292,-1362.556924356384,0.013263153540848392,0.8449186531125571,0,0.2708838426398843,0.22810188692807565,0.22857637848017726,191,192,192,0.2708838426398843,PASS,True
2,1.0421133797548303e-05,1.0000012317330869,0.9999980900113732,-3.1417227791185467,1.3216312077612376e-06,0.02194809498377493,0.07280365194217113,4.9929425050806525e-05,0.08652577539173845,0.06854765678336065,1.7386280235264868,-1282.4137280773584,0.013264217942673972,-1.6984400264137454,6,2.859636383638105,2.7571786896260853,2.659183896717815,64,63,192,2.859636383638105,FAIL,True
3,1.0132993224298067e-05,1.000000686535416,1.0000001954652897,-0.491069909778528,6.708944295626738e-07,-0.02806057364149318,-0.042049788128324765,2.9127733159682176e-05,0.04658568362890607,0.03646363456020724,-2.002698808294684,-1325.0739178238823,0.013263651362028901,-0.5587537299364421,2,1.5587537299364422,1.5784426368962103,1.4875353594743823,191,191,64,1.5587537299364422,FAIL,True
4,9.49985389505316e-06,0.999998837997751,1.0000018294299746,2.99143122531592,1.3627779942453906e-06,-4.548790906165375e-05,-0.012437860251379359,3.6539853434686104e-05,0.015233469130147625,0.010446523174637009,0.17625431537241223,-1288.6214287952669,0.013264135496648812,0.4878405835931223,0,0.5121594164068777,0.5591926940088897,0.5015881610041358,191,191,192,0.5121594164068777,PASS,True
5,1.0234842311348795e-05,1.0000006628317462,0.9999985673010605,-2.0955314922823076,9.948296579231836e-07,0.0035558490917566216,0.015214279345608806,7.140920679808497e-05,0.031491719380758974,0.02445795694377991,0.40910851557440003,-1287.2984455803983,0.013264153067519635,0.432042155061023,0,0.6245292333435921,0.5702207673066941,0.5640873863397582,64,63,64,0.6245292333435921,PASS,True
6,9.78027945180707e-06,1.0000003761634404,1.0000015634709514,1.1873063595046092,2.021907811060486e-06,-0.007418842943843841,-0.017386305652898153,4.830090113091866e-05,0.019997371820835524,0.016371662651563684,-0.3714604507580328,-1273.4443475731493,0.013264337067258793,0.3214420691894407,0,0.6785579308105594,0.6755241717969331,0.6430517945426861,191,191,64,0.6785579308105594,PASS,True
7,9.894846853774486e-06,0.9999986022779078,0.9999995551053491,0.9528283191293752,1.8724000727639724e-06,-0.018790664223420954,-0.0012296948925618527,5.370491640815105e-05,0.012359165295707013,0.0076525008532384664,-1.2090583173266911,-1321.7929826405684,0.013263694936949304,0.9178966572735306,0,0.08210334272646935,0.1025797043050648,0.08973052371652528,191,191,192,0.08210334272646935,PASS,True
8,1.0386546462381056e-05,1.0000008025692573,0.9999984885658001,-2.3140042773405,1.1064139668959294e-06,0.036706118101483276,0.027904609205344558,6.521359189331133e-05,0.019641245414934304,0.014711728405582278,2.9051187880182616,-1258.5121878244677,0.013264535385005456,0.02065181636571043,0,1.1626813690722808,1.092318122787624,1.047960100740378,64,63,64,1.1626813690722808,FAIL,True
9,1.0174373980187272e-05,0.9999999647013331,0.999998515231462,-1.449470972775351,1.0969619274495247e-06,-0.018803775508023285,0.01103020988412096,4.156498522910973e-05,0.011697518663146736,0.008153624946916477,-1.250905870845429,-1321.9485752811177,0.013263692870484548,0.5468581886071181,0,0.4531418113928819,0.4294404361962729,0.4095454257369223,64,64,64,0.4531418113928819,PASS,True
10,1.0070690583262796e-05,0.9999990008164398,0.9999985553497931,-0.4454671910052068,1.4799082075173891e-06,0.0035358127183780647,-0.01746205864119787,2.2183064136950322e-05,0.020162769750524938,0.013854790617261834,0.43434551927260023,-1283.5346746904452,0.013264203055101767,0.38615864936324623,0,0.7165944150205541,0.6716085594016233,0.6421281755346933,191,192,64,0.7165944150205541,PASS,True
11,9.592565357263687e-06,0.9999986287660838,1.0000010595717348,2.430806029783232,1.108376649420924e-06,0.04759891417860079,0.025505505510542623,3.264885406653319e-05,0.027556506647537993,0.021339360365479655,3.7314670531953915,-1269.9798389465,0.013264383080263991,0.006423756009284277,0,0.9935762439907158,0.9677686618952711,0.9273575786809372,64,64,64,0.9935762439907158,PASS,True
12,1.0111594657259522e-05,1.0000005596902724,1.0000003483187592,-0.21137141721771308,1.6914409392887452e-06,-0.04187017151395805,-0.06978176098866674,5.940959327232859e-05,0.08200088155847288,0.0685221447914678,-3.088097786019646,-1194.62472694587,0.01326538389034525,-1.6254122783220974,6,2.6254122783220977,2.5785662173276114,2.4762515664641276,191,191,192,2.6254122783220977,FAIL,True
13,1.0023487701619504e-05,0.9999993625865178,0.9999995040846271,0.14149818952260038,7.070101393590266e-07,-0.006041496030568289,0.0014649816416625458,6.513614995173177e-05,0.0029477066324183378,0.001697045397875271,-0.29455710075027625,-1284.6721491579506,0.013264187948018995,0.8871122938897757,0,0.1469361745183404,0.16482375327601956,0.15284032812156845,32,128,118,0.1469361745183404,PASS,True
14,9.506409403693979e-06,0.9999980917283604,1.000001862026214,3.7702979408797157,1.5297150228850726e-06,0.031888024566899084,0.014643801028601765,6.433480423671214e-05,0.02206411420723263,0.01745857194814133,2.6041416725557136,-1252.017512148429,0.013264621642416779,0.49018751721252085,0,0.5709696714527523,0.5628703204781655,0.5339812059156711,64,63,64,0.5709696714527523,PASS,True
15,1.0101623656332866e-05,1.000000529926302,1.0000004578693322,-0.07205693413558091,7.106595680298326e-07,0.013693222962742503,0.008250399897019478,8.291690533481214e-05,0.01832734247382545,0.013378876615210344,1.1364370156998822,-1305.3811166173768,0.013263912907044925,0.6989601128733361,0,0.40992626160509316,0.35050057232804444,0.34249350771134396,64,63,64,0.40992626160509316,PASS,True
16,9.928245052259052e-06,1.0000007896320082,1.000000844384694,0.054752640985274846,9.646167447503907e-07,-0.0002507079350555086,0.039873368781542705,1.2473838391159147e-05,0.051495520378018814,0.042045172765501286,0.11018849937341081,-1290.4565010909419,0.013264111124594885,-0.5934295886269072,2,1.5934295886269072,1.5245901860475417,1.4571839180052926,64,64,192,1.5934295886269072,FAIL,True
17,1.0203599149418305e-05,1.0000002269174737,0.9999983320695793,-1.8948492596192703,1.0991430460186077e-06,0.010508362880325132,0.0365745688402022,2.274052875068011e-05,0.05662525010065987,0.04404355976032956,0.8969170010661621,-1345.276495969827,0.0132633830465379,-0.32943450763478094,2,1.4941621448046187,1.3892252519535564,1.3526464354284748,64,63,192,1.4941621448046187,FAIL,True
18,9.635129331876172e-06,0.9999991594937816,1.0000013468931959,2.187398860431118,1.8802248800265048e-06,-0.019327101747130242,0.02106707237157368,3.255152965644641e-05,0.03542900516552881,0.02794789437309567,-1.2733362252411198,-1254.4217859744576,0.013264589710655026,0.1046603711851857,0,0.8953396288148143,0.793418840127862,0.7479963918290191,64,64,64,0.8953396288148143,PASS,True
19,9.950900597760516e-06,0.9999993616780727,0.9999997608011606,0.39912326303248735,7.237022226092747e-07,0.01970743246395229,-0.024807451812468746,1.0220433736858902e-06,0.04885455839360483,0.03877176638771259,1.6387567484119694,-1309.5787992014607,0.013263857156573106,0.08394691728917522,0,0.9384562416738698,1.0014907770333008,0.9299148546311782,191,192,192,0.9384562416738698,PASS,True
