target_id,mismatch_seed,noise_seed,band,maxstep_ps,solver_profile,nfft,reasons
S001_NEAR_NYQUIST,1,100001,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH
S008_NEAR_NYQUIST,8,100008,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S011_LOW,11,100011,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S016_LOW,16,100016,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S021_LOW,21,100021,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH
S022_LOW,22,100022,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S026_NEAR_NYQUIST,26,100026,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S036_LOW,36,100036,LOW,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S047_LOW,47,100047,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S052_NEAR_NYQUIST,52,100052,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S070_LOW,70,100070,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S073_LOW,73,100073,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S074_NEAR_NYQUIST,74,100074,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH
S090_LOW,90,100090,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S095_LOW,95,100095,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S096_LOW,96,100096,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S098_LOW,98,100098,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S100_LOW,100,100100,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH
S101_LOW,101,100101,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S110_LOW,110,100110,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S115_LOW,115,100115,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S116_LOW,116,100116,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S118_LOW,118,100118,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S123_LOW,123,100123,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S129_LOW,129,100129,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH
S132_NEAR_NYQUIST,132,100132,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S135_LOW,135,100135,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S139_NEAR_NYQUIST,139,100139,NEAR_NYQUIST,50,ROBUST_GEAR,64,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
S143_LOW,143,100143,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S147_LOW,147,100147,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S160_LOW,160,100160,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S162_LOW,162,100162,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S173_LOW,173,100173,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S175_LOW,175,100175,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH
S179_LOW,179,100179,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S180_LOW,180,100180,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S181_LOW,181,100181,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S183_LOW,183,100183,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S188_LOW,188,100188,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S193_LOW,193,100193,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH
S199_LOW,199,100199,LOW,50,ROBUST_GEAR,64,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED
