category,pvt,mismatch_seed,noise_seed,band,nfft,bin,fin_hz,phase_rad,input_vpp_diff,maxstep_ns,pfund_linear,pnoise_linear,pharm_linear,perror_linear,pspur_max_linear,fundamental_dbfs,fundamental_rms_code,fundamental_peak_code,snr_db,sndr_db,enob_raw,sfdr_dbc,thd_db,hd2_dbc,hd3_dbc,largest_spur_bin,largest_spur_hz,noise_floor_dbfs_per_bin,dc_code_offset,mean_conversion_time_ns,max_conversion_time_ns,invalid_count,timeout_count,clipping_count,missing_frame_count,duplicate_frame_count,valid_frame_count,hard_dynamic_pass,snr_budget_pass,preferred_nominal_pass,status,state,harmonic_bins,parseval_time_mean_square,parseval_spectral_mean_square,parseval_relative_error,parseval_pass,mismatch_checksum_sha256,noise_draw_checksum_sha256,noise_draw_checksum_match,compact_code_checksum_sha256,execution_mode,measurement_stem,measurement_solver_profile,attempt_count,attempt_returncodes,retry_used,returncode,timed_out,simulation_aborted,elapsed_s,peak_rss_kb,deck,log,full_waveform_audit,raw_path,raw_sha256,error
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,1,100001,NEAR_NYQUIST,64,29,906250.0,0.7853981633974483,3.0,0.05,6388.951407182446,0.06781532047784099,0.01886343457714998,0.08667875505499097,0.011553230683269253,-1.045607888699464,79.93091646654908,113.03938611990465,49.741017665466714,48.67516919975111,7.793217475041714,57.42726140022434,-55.29808814838973,-60.49557885657823,-67.00806508835859,12,375000.0,-65.10026319575604,0.15625,325.4992031250006,325.51000000000033,0,0,0,0,0,64,True,True,True,VALID_PASS,VALID_PASS,6/12/17/23,22685.15625,22685.15625,0.0,True,46ecd0a5648d88974bdfa2ff91550ecf1eda3cd91504a20350fa677b20b6e420,812f1a7933dceb73b5642e657b8f7fd2dc9dc27b170ebd56c12d240ccdee9b6d,True,a4c95905ad50ed93298fcc899dd9403e2127a25bd75905199d95f164d2cf6de5,SEPARATE_PROCESS_FALLBACK,formal_s001_near_nyquist_050ps,ROBUST_GEAR,1,0,False,0,False,False,67.34570323396474,126420,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s001_near_nyquist_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s001_near_nyquist_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,8,100008,NEAR_NYQUIST,64,29,906250.0,0.7853981633974483,3.0,0.05,6391.7939365615375,0.09102386078095309,0.01738332767961276,0.10840718846056585,0.009394087391800632,-1.043676084550113,79.94869565265925,113.06452968602963,48.464675132408665,47.70564684277183,7.632167249629872,58.3276816937783,-55.6548984862716,-61.868756783604475,-58.3276816937783,23,718750.0,-63.82198885854865,-2.8125,325.4990625000006,325.5099999999999,0,0,0,0,0,64,True,True,False,VALID_PASS,VALID_PASS,6/12/17/23,21938.875,21938.875,0.0,True,14298d729b99c39cd55d883c4a875b1def070824d3c0b43aa6972e893342c26a,05aa3f8c0fd3f9ff0e752adde1ae45246aa8978ddd6a099542d1f3e4f4716912,True,6113142252cb433a4958dcfe9eed06907d97ae0ddb12d2c44d91c088141fdb32,SEPARATE_PROCESS_FALLBACK,formal_s008_near_nyquist_050ps,ROBUST_GEAR,1,0,False,0,False,False,67.4430349910399,126600,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s008_near_nyquist_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s008_near_nyquist_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,11,100011,LOW,64,7,218750.0,0.7853981633974483,3.0,0.05,6405.037040614489,0.08161143129571102,0.023681938588124524,0.10529336988383554,0.013362370403812218,-1.034687282436669,80.03147531199515,113.18159780295107,48.947706510825995,47.84120620254207,7.654685415704663,56.80638139440323,-54.321043950617906,-61.306794987660155,-62.93553654855798,27,843750.0,-64.29603143485254,-3.671875,325.5003125000006,325.51000000000033,0,0,0,0,0,64,True,True,True,VALID_PASS,VALID_PASS,14/21/28/29,21738.546875,21738.546875,0.0,True,11f31da9f9a699a4181753682c60af3c4ef479ba333af8d46eb1dcc61aaa7d0a,9513729f9b75dbfcd6408ae558ef10b3a3416007242dd3b7c6fd332332c08a8c,True,eed60e0c3099902b152cc433e1b5e0ea7efb8720da209b7033a70b8365f0731f,SEPARATE_PROCESS_FALLBACK,formal_s011_low_050ps,ROBUST_GEAR,1,0,False,0,False,False,67.84566973301116,126412,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s011_low_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s011_low_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,16,100016,LOW,64,7,218750.0,0.7853981633974483,3.0,0.05,6391.795317490357,0.08026983009756031,0.028465413919236918,0.10873524401679723,0.009397991568014604,-1.0436751462693938,79.94870428900244,113.06454189966328,49.010705155169305,47.6925252582365,7.6299875844246685,58.3258780821589,-53.51305355923749,-60.64613062368765,-59.55988425004141,22,687500.0,-64.36801794302858,-0.046875,325.50017187500055,325.51000000000073,0,0,0,0,0,64,True,True,False,VALID_PASS,VALID_PASS,14/21/28/29,22636.203125,22636.203125,0.0,True,ca5cf2b5055a3ad8f88ba3c8a380260260b21865b9cc15bf82fda9f686265763,a6fb2f1f53d534535d44ea36df34efad55a4b0e246f4121a5b7937782eebf03a,True,6d0308f1d03761382b18a143e9739b0566e2f1624b79f80e6fd9c39e8fb2e6f8,SEPARATE_PROCESS_FALLBACK,formal_s016_low_050ps,ROBUST_GEAR,1,0,False,0,False,False,67.74107886198908,126344,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s016_low_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s016_low_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,21,100021,LOW,64,7,218750.0,0.7853981633974483,3.0,0.05,6394.819636765699,0.22754823018830772,0.04265875411218645,0.27020698430049417,0.02550445108216599,-1.0416207398420694,79.967616175335,113.09128734580484,44.487548378671505,43.74131729432385,6.973640746565424,53.99212318997763,-51.758201325594996,-55.320010618754544,-58.91939513739374,30,937500.0,-59.84280676010346,1.5625,325.49937500000055,325.5100000000001,0,0,0,0,0,64,False,False,False,VALID_FAIL,VALID_FAIL,14/21/28/29,23052.21875,23052.21875,0.0,True,8e2ce428bc6ec7642e3cf477d3ef4257982882036266f2ce54eab7c02bde7ede,be2731deaece657010eec3c584e06e624e9ed55bef323f71c34c78041dfe741e,True,dfe3f5d557ca4c9f19a39a553f8c502bab415945d722b57607b068fb008174f9,SEPARATE_PROCESS_FALLBACK,formal_s021_low_050ps,ROBUST_GEAR,1,0,False,0,False,False,69.239734566072,126984,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s021_low_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s021_low_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,22,100022,LOW,64,7,218750.0,0.7853981633974483,3.0,0.05,6393.957194513086,0.10670081439176768,0.02179803189721613,0.1284988462889838,0.01514188327177598,-1.042206493924386,79.96222354657908,113.08366101708138,47.77601990302722,46.96870496058062,7.509751654581499,56.25589830582663,-54.673524407304804,-73.896316149965,-60.628348293854756,28,875000.0,-63.13186403854148,1.734375,325.4999531250006,325.51000000000073,0,0,0,0,0,64,True,False,False,VALID_PASS,VALID_PASS,14/21/28/29,23095.609375,23095.609375,0.0,True,8e93569c4d7e51bb5ec45a7516f713a97164bc0e75d6fe1fa0fd46338f4f06d5,d482aa4b2df165a4fba35d49e6a13cc9fe9ca52e60a6a9821761b9c56d42204a,True,da189b1fda10e1a3740aab787c8ddcff936084e6ecdf1fb8ee0dc5d327b113c9,SEPARATE_PROCESS_FALLBACK,formal_s022_low_050ps,ROBUST_GEAR,1,0,False,0,False,False,68.9427124359645,126876,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s022_low_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s022_low_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,26,100026,NEAR_NYQUIST,64,29,906250.0,0.7853981633974483,3.0,0.05,6392.082675490325,0.3328248293250944,0.0493434303472412,0.3821682596723356,0.04451161381904386,-1.0434799034896889,79.95050140862361,113.06708341060474,42.834266655578205,42.233877688916586,6.7232354964977725,51.5716904312001,-51.124130452421085,-70.01355968050157,-54.67387268879736,22,687500.0,-58.191384200657765,3.3125,325.4995625000006,325.51000000000073,0,0,0,0,0,64,False,False,False,VALID_FAIL,VALID_FAIL,6/12/17/23,23504.375,23504.374999999996,1.54778793611475e-16,True,884ab2a37208e7334283d06c280a1fe521805c821790a613ca76d462becf41e7,3c7bd715af2bb066f17b48154918af223969ad4c32719480f99ac6d2ebe3e509,True,bbf65ba5f42d2360f1f2c1a86cf6815af310487decb6c1651190dc63cef5fba7,SEPARATE_PROCESS_FALLBACK,formal_s026_near_nyquist_050ps,ROBUST_GEAR,1,0,False,0,False,False,69.34384454903193,126872,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s026_near_nyquist_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s026_near_nyquist_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,36,100036,LOW,64,7,218750.0,0.7853981633974483,3.0,0.05,6383.270873303536,0.2011949287649185,0.024025517696521947,0.22522044646144046,0.030019746490938602,-1.049470998229449,79.89537454260751,112.98912224903366,45.01426244175934,44.52435459000296,7.1037133870436815,53.27636253635822,-54.24370519530527,-62.80990294017868,-55.53994270169739,17,531250.0,-60.377371081578666,-2.1875,325.4988906250006,325.51000000000073,0,0,0,0,0,64,False,False,False,VALID_FAIL,VALID_FAIL,14/21/28/29,22086.71875,22086.718749999996,1.6471341208579083e-16,True,fe79c7091e4a2e3e63ca6ba67a5e53c4539b925fa8c66d30fd23da298f59d366,6edf2a825197a0a5fb43cc24efd2c788b873d42667c003d03bd8f6af54b702d2,True,c34d3ab2c49d28485f91b7af5acaed0d897c7516e31ba2807104c9287b044a07,SEPARATE_PROCESS_FALLBACK,formal_s036_low_050ps,ROBUST_GEAR,1,0,False,0,False,False,69.32593564398121,126804,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s036_low_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s036_low_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,47,100047,LOW,64,7,218750.0,0.7853981633974483,3.0,0.05,6390.999605644891,0.10148522339880453,0.004133741085498403,0.10561896448430294,0.016951023156048396,-1.0442158312544774,79.94372774423826,113.05750400256403,47.99165978683902,47.8182688551281,7.650875225104337,55.76372873602848,-61.89225519393145,-72.09322311363456,-67.10115816233605,4,125000.0,-63.34951325968337,-1.859375,325.4992656250006,325.51000000000073,0,0,0,0,0,64,True,False,False,VALID_PASS,VALID_PASS,14/21/28/29,22176.671875,22176.671875,0.0,True,4b79e529f5ea4d8e31db266aff52e1f39b05f591058048c74d3591d81bb9b8ee,a99e0e6b132a39c6ea8c4859781b2464e2d46953035175d0acf88e3ec06c08cf,True,57bb79c88e495b45c08001bc78df659e39b4d00fd249bc27ea8471a6faa63a6f,SEPARATE_PROCESS_FALLBACK,formal_s047_low_050ps,ROBUST_GEAR,1,0,False,0,False,False,68.8770256859716,126724,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s047_low_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s047_low_050ps.log,False,,,
D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,52,100052,NEAR_NYQUIST,64,29,906250.0,0.7853981633974483,3.0,0.05,6394.887492611355,0.10442993158144957,0.008077457062909292,0.11250738864435886,0.01325591828110122,-1.0415746568175943,79.96804044498874,113.09188735370327,47.87007914723519,47.54651863594782,7.605733992682363,56.83423090074433,-58.985582500642444,-70.60410923458286,-60.79384641735366,26,812500.0,-63.22529144564267,-0.25,325.4981875000006,325.50500000000005,0,0,0,0,0,64,True,False,False,VALID_PASS,VALID_PASS,6/12/17/23,22587.5625,22587.5625,0.0,True,54681bb792e90046045c9a98398dcb829698bfe043683f661338bd338d794b7d,49f45a2b21eb0c8e3af7ed20e6865488f5c69ee62f163c135d726cc9c7636652,True,4059c7c95729ba5ea7dea78f7fdafda76643e911888ac8f8d51d049f523fcf68,SEPARATE_PROCESS_FALLBACK,formal_s052_near_nyquist_050ps,ROBUST_GEAR,1,0,False,0,False,False,68.07382035499904,126888,jobs/v7/d3_noise_plus_mismatch_mc200/formal_s052_near_nyquist_050ps.spice,logs/v7/d3_noise_plus_mismatch_mc200/formal_s052_near_nyquist_050ps.log,False,,,
