queue_order,mismatch_seed,noise_seed,selection_role,frozen_worst_band,frozen_worst_sndr_db,frozen_low_state,frozen_near_state,runtime_basis,measured_dual_band_s,representative_spectrum
1,1,100001,QUALIFICATION_ANCHOR_S1,NEAR_NYQUIST,32.293807,VALID_PASS,VALID_FAIL,MC8_V9_EXACT,743.013,NONE
2,21,100021,P1_WORST_BAND_SNDR,LOW,31.871876,VALID_FAIL,VALID_FAIL,MC8_V9_EXACT,900.289,P1_LOW
3,44,100044,QUALIFICATION_ANCHOR_S44,LOW,41.065067,VALID_FAIL,VALID_FAIL,MC8_V9_EXACT,749.628,NONE
4,48,100048,P50_WORST_BAND_SNDR,LOW,47.512930,VALID_PASS,VALID_PASS,MC8_V9_EXACT,967.506,NONE
5,64,100064,THRESHOLD_BELOW_NEAR_SIDE,NEAR_NYQUIST,46.898212,VALID_PASS,VALID_FAIL,MC8_V9_EXACT,610.285,NONE
6,115,100115,THRESHOLD_ABOVE_NEAR_SIDE,NEAR_NYQUIST,46.982259,VALID_PASS,VALID_PASS,V8_MC12_EXACT,1053.528,NONE
7,129,100129,P5_WORST_BAND_SNDR,LOW,32.276029,VALID_FAIL,VALID_FAIL,MC8_V9_EXACT,550.381,P5_LOW
8,166,100166,THRESHOLD_BELOW_LOW_SIDE,LOW,46.894125,VALID_FAIL,VALID_PASS,V8_MC12_EXACT,768.560,NONE
9,170,100170,THRESHOLD_ABOVE_LOW_SIDE,LOW,46.931189,VALID_PASS,VALID_PASS,MC8_V9_EXACT,479.780,NONE
10,183,100183,P10_WORST_BAND_SNDR,NEAR_NYQUIST,44.250496,VALID_PASS,VALID_FAIL,MC8_V9_EXACT,381.376,P10_NEAR_NYQUIST
