seed_order,mismatch_seed,seed_group,classification,all_corner_hard_pass,TT_frame0_pass,TT_hard_dynamic_pass,TT_snr_budget_pass,TT_baseline_hard_dynamic_pass,TT_baseline_snr_budget_pass,TT_SNR_dB,TT_baseline_SNR_dB,delta_resize_minus_baseline_TT_SNR_dB,TT_SNDR_dB,TT_baseline_SNDR_dB,delta_resize_minus_baseline_TT_SNDR_dB,TT_ENOB_raw_bit,TT_baseline_ENOB_raw_bit,delta_resize_minus_baseline_TT_ENOB_raw_bit,TT_SFDR_dBc,TT_baseline_SFDR_dBc,delta_resize_minus_baseline_TT_SFDR_dBc,TT_THD_dB,TT_baseline_THD_dB,delta_resize_minus_baseline_TT_THD_dB,TT_HD2_dBc,TT_baseline_HD2_dBc,delta_resize_minus_baseline_TT_HD2_dBc,TT_HD3_dBc,TT_baseline_HD3_dBc,delta_resize_minus_baseline_TT_HD3_dBc,SS_frame0_pass,SS_hard_dynamic_pass,SS_snr_budget_pass,SS_baseline_hard_dynamic_pass,SS_baseline_snr_budget_pass,SS_SNR_dB,SS_baseline_SNR_dB,delta_resize_minus_baseline_SS_SNR_dB,SS_SNDR_dB,SS_baseline_SNDR_dB,delta_resize_minus_baseline_SS_SNDR_dB,SS_ENOB_raw_bit,SS_baseline_ENOB_raw_bit,delta_resize_minus_baseline_SS_ENOB_raw_bit,SS_SFDR_dBc,SS_baseline_SFDR_dBc,delta_resize_minus_baseline_SS_SFDR_dBc,SS_THD_dB,SS_baseline_THD_dB,delta_resize_minus_baseline_SS_THD_dB,SS_HD2_dBc,SS_baseline_HD2_dBc,delta_resize_minus_baseline_SS_HD2_dBc,SS_HD3_dBc,SS_baseline_HD3_dBc,delta_resize_minus_baseline_SS_HD3_dBc,FF_frame0_pass,FF_hard_dynamic_pass,FF_snr_budget_pass,FF_baseline_hard_dynamic_pass,FF_baseline_snr_budget_pass,FF_SNR_dB,FF_baseline_SNR_dB,delta_resize_minus_baseline_FF_SNR_dB,FF_SNDR_dB,FF_baseline_SNDR_dB,delta_resize_minus_baseline_FF_SNDR_dB,FF_ENOB_raw_bit,FF_baseline_ENOB_raw_bit,delta_resize_minus_baseline_FF_ENOB_raw_bit,FF_SFDR_dBc,FF_baseline_SFDR_dBc,delta_resize_minus_baseline_FF_SFDR_dBc,FF_THD_dB,FF_baseline_THD_dB,delta_resize_minus_baseline_FF_THD_dB,FF_HD2_dBc,FF_baseline_HD2_dBc,delta_resize_minus_baseline_FF_HD2_dBc,FF_HD3_dBc,FF_baseline_HD3_dBc,delta_resize_minus_baseline_FF_HD3_dBc,delta_SS_minus_TT_SNR_dB,delta_SS_minus_TT_SNDR_dB,delta_SS_minus_TT_ENOB_raw_bit,delta_SS_minus_TT_SFDR_dBc,delta_SS_minus_TT_THD_dB,delta_SS_minus_TT_HD2_dBc,delta_SS_minus_TT_HD3_dBc,delta_FF_minus_TT_SNR_dB,delta_FF_minus_TT_SNDR_dB,delta_FF_minus_TT_ENOB_raw_bit,delta_FF_minus_TT_SFDR_dBc,delta_FF_minus_TT_THD_dB,delta_FF_minus_TT_HD2_dBc,delta_FF_minus_TT_HD3_dBc
1,44,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,False,False,50.17989886206937,43.84702759120942,6.332871270859954,49.12379875154774,43.373080287175334,5.7507184643724045,7.86774065640328,6.912471808500887,0.955268847902393,58.80232761739808,54.30025968042101,4.50206793697707,-55.781945547378804,-53.22844160823205,-2.5535039391467507,-60.3815545074667,-59.74273174210832,-0.638822765358384,-74.2925973686589,-60.21672610796578,-14.07587126069312,True,True,True,False,False,49.55090313955259,47.47846599809377,2.0724371414588205,49.15477787940793,46.84029500071177,2.314482878696161,7.8728866909315505,7.48842109646375,0.3844655944678008,56.88863961012528,56.25034899787287,0.6382906122524119,-59.75085289170344,-55.48394636735068,-4.2669065243527555,-67.43858662175698,-67.401231181974,-0.037355439782984945,-84.00439268838959,-82.6904032702599,-1.3139894181296796,True,True,True,False,False,50.07386536763246,41.486943948743374,8.586921418889084,49.14359550207767,40.89150227875412,8.252093223323556,7.87102915316905,6.500249547965801,1.370779605203249,58.570118028608874,50.426587340957205,8.143530687651669,-56.29218443283235,-49.81527292200038,-6.476911510831968,-61.75884339769161,-61.64522626759218,-0.11361713009942775,-67.39631018917225,-54.335080074114465,-13.06123011505779,-0.6289957225167839,0.03097912786019208,0.005146034528270782,-1.9136880072727962,-3.9689073443246343,-7.05703211429028,-9.711795319730683,-0.10603349443691457,0.01979675052993457,0.0032884967657702546,-0.23220958878920328,-0.5102388854535462,-1.3772888902249036,6.896287179486649
2,26,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,False,False,48.96297691766335,44.43281971073769,4.530157206925658,48.169668530891016,43.68180865265484,4.487859878236179,7.709247264267612,6.963755590142,0.7454916741256117,55.65410489485522,52.506252950289685,3.147851944565538,-55.943709122570965,-51.673284081447434,-4.270425041123531,-62.09962390308392,-65.91687529336164,3.8172513902777183,-65.79055600027394,-62.14377258200103,-3.6467834182729106,True,True,True,False,False,49.01667704065494,46.67507254318535,2.3416044974695893,48.400563107834984,46.31736493935732,2.083198168477665,7.747601845155314,7.4015556377669975,0.3460462073883166,57.77568345637568,56.470991488413915,1.304691967961766,-57.186211609977846,-57.33755259170998,0.15134098173213317,-62.14684140717517,-63.388523224038316,1.2416818168631494,-68.07892356374869,-60.07824348462924,-8.000680079119448,True,True,True,False,False,49.23984404691914,41.5612743680702,7.6785696788489375,48.30433306788286,40.73253442272051,7.571798645162346,7.731616788684861,6.473842927362212,1.257773861322649,56.885466554299164,51.036186439007054,5.84928011529211,-55.43104945185546,-48.33397745694956,-7.097071994905896,-62.84145384573938,-54.398083224928726,-8.443370620810654,-71.85403717144052,-56.58788451305503,-15.266152658385494,0.05370012299159299,0.23089457694396742,0.03835458088770238,2.121578561520458,-1.242502487406881,-0.047217504091243256,-2.2883675634747505,0.27686712925579116,0.134664536991842,0.022369524417249487,1.231361659443941,0.5126596707155073,-0.7418299426554569,-6.063481171166586
3,65,DEEP_TAIL,CORNER_RECOVERY,False,True,False,False,True,False,47.84927162467322,47.18702195798336,0.6622496666898599,46.873517902275346,47.03705169959521,-0.1635337973198645,7.493939850876304,7.521104933487577,-0.027165082611273483,54.12081424979209,55.547466955400765,-1.4266527056086744,-53.83670504636464,-61.72961276486533,7.8929077185006875,-60.91029668421975,-74.79148478343996,13.881188099220203,-56.938330172129234,-65.70172951313764,8.763399341008402,True,True,True,True,False,48.50417139625727,47.451855416537605,1.0523159797196655,47.24000029480123,47.00708535946024,0.23291493534098606,7.5548173247178125,7.5161271361229645,0.038690188594848074,55.348094058070416,53.69926099836762,1.6488330597027954,-53.216548574885195,-57.12406033847368,3.907511763588488,-61.27897601967259,-66.51650732625923,5.237531306586639,-55.348094058070416,-62.32876783078658,6.980673772716166,True,True,False,False,False,48.1272528204953,43.714157106704064,4.413095713791236,47.44730933107049,42.63046589634719,4.816843434723303,7.589254041706063,6.789113936270298,0.8001401054357649,53.76401604430675,51.562419853001096,2.2015961913056543,-55.83596132094183,-49.18983775789482,-6.646123563047006,-57.055192156149836,-59.834522230511034,2.779330074361198,-65.38868574443254,-54.61593133792775,-10.772754406504788,0.6548997715840486,0.36648239252588155,0.06087747384150877,1.2272798082783254,0.6201564714794472,-0.36867933545283904,1.5902361140588184,0.27798119582207903,0.5737914287951469,0.09531419082975923,-0.35679820548534025,-1.999256274577185,3.8551045280699157,-8.450355572303302
4,21,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,False,False,49.09430128696289,46.49877677287116,2.5955245140917285,48.38348553412083,46.27851548683242,2.104970047288411,7.744765038890504,7.395102240337612,0.3496627985528926,55.738465276769205,56.63081142983646,-0.8923461530672583,-56.594319658047674,-59.33664208843818,2.7423224303905087,-82.8410844540879,-62.209572522838826,-20.63151193124908,-63.21070917640284,-86.6247412262316,23.41403204982877,True,True,True,True,True,49.13779244717418,49.31295888804036,-0.17516644086618527,48.299203552825034,48.43033752309501,-0.1311339702699783,7.730764709771601,7.752547761311464,-0.021783051539863152,57.36904675499507,56.89720176571339,0.47184498928167784,-55.85410526680352,-55.784275526741226,-0.06982974006229625,-66.6131870534303,-57.306749223611845,-9.30643782981845,-64.22345779676752,-65.80882328947256,1.5853654927050371,True,True,True,False,False,49.40149200732955,41.82784746153711,7.57364454579244,48.28594235705005,41.25691032014452,7.029032036905527,7.728561853330573,6.560948558163543,1.1676132951670306,57.37872186874962,51.33382378684112,6.044898081908499,-54.73473841580234,-50.35121210884989,-4.383526306952447,-71.21257264067334,-57.94904517785341,-13.263527462819937,-64.59040608413555,-63.38702805638033,-1.203378027755221,0.04349116021128907,-0.08428198129579556,-0.014000329118903032,1.6305814782258636,0.7402143912441517,16.22789740065761,-1.0127486203646825,0.3071907203666626,-0.09754317707078286,-0.016203185559930944,1.6402565919804175,1.8595812422453335,11.628511813414562,-1.3796969077327148
5,36,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,False,False,49.279963118306966,47.815185450903776,1.4647776674031903,48.08989621384134,46.81657928463616,1.2733169292051798,7.695996048810855,7.4844816087435495,0.21151444006730546,56.89856052132853,54.635549892518824,2.2630106288097025,-54.293479754987416,-53.690219880138514,-0.6032598748489022,-63.06095438082643,-94.70396929852627,31.643014917699844,-60.30112682792186,-69.94214532947238,9.64101850155052,True,True,True,True,True,48.70560924997601,49.35108799590962,-0.645478745933616,47.45479106123633,48.9031075523327,-1.4483164910963708,7.590496854025969,7.831080988759585,-0.2405841347336164,55.60748366272287,58.4132970338279,-2.8058133711050317,-53.47110133275869,-58.99042509632387,5.5193237635651755,-61.899706143081815,-69.70387860417229,7.804172461090474,-60.60645572906631,-70.63451123359134,10.028055504525028,True,True,True,False,False,50.321281286848716,44.93624298136319,5.385038305485523,48.678332751374995,44.3351113213304,4.3432214300445935,7.7937429819559805,7.072277628127974,0.7214653538280063,54.93022172958323,53.25475293092198,1.6754687986612495,-53.69554417791102,-53.22035788180148,-0.4751862961095341,-60.62401748954456,-68.0432794910527,7.419262001508137,-69.30255348624252,-54.43927741013745,-14.863276076105066,-0.5743538683309595,-0.6351051526050142,-0.10549919478488601,-1.2910768586056562,0.8223784222287236,1.1612482377446156,-0.3053289011444491,1.0413181685417499,0.5884365375336529,0.0977469331451255,-1.9683387917452961,0.5979355770763988,2.436936891281867,-9.001426658320653
6,2,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,False,False,49.927783434803494,47.4492589410691,2.4785244937343975,48.80305306865988,46.81324282599617,1.989810242663708,7.814460642634532,7.483927379733584,0.3305332629009481,57.19620524148137,56.03555032025475,1.160654921226623,-55.22064721575966,-55.47053251900654,0.2498853032468773,-69.39045912045552,-67.15958314482228,-2.2308759756332392,-61.612773985835474,-68.98263671882914,7.369862732993667,True,True,True,True,True,49.19247736133812,49.37154100016747,-0.17906363882934784,48.345625322698794,48.48373047334108,-0.13810515064228923,7.738475967225714,7.761417022149683,-0.022941054923968807,58.21568185087875,58.3824210813281,-0.1667392304493447,-55.8619407679289,-55.81471643428665,-0.047224333642247984,-70.18605852705564,-59.89528848966013,-10.290770037395504,-60.10544444980587,-60.25277979656514,0.14733534675927018,True,True,True,False,False,50.4079483926487,45.096541560003445,5.311406832645254,49.07342249172043,43.99979088151775,5.073631610202682,7.859372506930304,7.0165765583916535,0.8427959485386509,59.19193011528506,52.79226832727433,6.399661788010732,-54.84818519823962,-50.51339595901509,-4.334789239224527,-61.1320728997216,-64.51839285848479,3.3863199587631883,-62.65496027691826,-53.82277507693076,-8.8321851999875,-0.7353060734653738,-0.45742774596108404,-0.07598467540881781,1.0194766093973797,-0.6412935521692376,-0.7955994066001182,1.5073295360296015,0.4801649578452043,0.2703694230605507,0.04491186429577265,1.9957248738036881,0.3724620175200428,8.258386220733918,-1.0421862910827855
7,12,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,True,False,49.65695861005219,47.913080848121474,1.7438777619307189,49.47658013329912,46.97672546287231,2.4998546704268136,7.926342214833742,7.511083963932278,0.41525825090146373,58.46311776830167,55.825150335700016,2.6379674326016556,-63.38245318052324,-54.09993065814892,-9.282522522374322,-67.39650650482633,-67.2678283450043,-0.12867815982203012,-73.57833449752799,-62.890182362506415,-10.688152135021575,True,True,True,True,True,49.31133409418606,48.228483500795186,1.082850593390873,48.81104652580555,47.30840123598422,1.5026452898213307,7.815788459436139,7.56617960730635,0.24960885212978923,59.48326695042897,55.710790052304674,3.772476898124296,-58.444435290027016,-54.499900019935254,-3.9445352700917624,-62.70377327915854,-68.44280955574311,5.739036276584571,-68.08636549812131,-64.63373571974165,-3.4526297783796593,True,True,True,False,False,49.99044737784595,41.389309766230056,8.601137611615897,49.68304872020103,40.97817634655033,8.704872373650701,7.960639322292531,6.514647233646235,1.445992088646296,58.97139677578228,49.42433009620154,9.547066679580745,-61.336664948372345,-51.42013678657564,-9.916528161796705,-66.28706558283861,-55.267825592071,-11.019239990767609,-66.98269234214115,-58.75597331624773,-8.226719025893416,-0.34562451586613463,-0.6655336074935718,-0.1105537553976026,1.020149182127298,4.938017890496226,4.692733225667794,5.49196899940668,0.33348876779376013,0.20646858690190584,0.034297107458789,0.5082790074806098,2.0457882321508976,1.1094409219877264,6.595642155386841
8,182,DEEP_TAIL,ALL_CORNER_PASS,True,True,True,True,True,True,50.85519654315752,48.44062389859842,2.414572644559101,49.94430988602979,47.42048947332661,2.5238204127031807,8.004038187048138,7.584798915834986,0.4192392712131525,59.67220654132419,56.41334111095139,3.2588654303728006,-57.17499547127245,-54.211846013831845,-2.9631494574406076,-71.18364422934496,-61.30917651833432,-9.874467711010645,-59.67220654132419,-62.36237709131137,2.6901705499871795,True,True,True,True,False,50.629211089721935,48.00851014763141,2.6207009420905223,49.81050645460641,47.10978043838577,2.700726016220642,7.981811703422993,7.533186119333185,0.44862558408980835,57.81101614137674,57.06328895399502,0.7477271873817202,-57.460000586570075,-54.39295088288743,-3.067049703682642,-66.76487588403123,-60.24259516568912,-6.52228071834211,-61.69178770013996,-61.350710342851016,-0.3410773572889454,True,True,True,True,True,50.70132241737274,48.17341546295013,2.5279069544226047,50.06798159527307,46.92654219733723,3.141439397935841,8.024581660344364,7.502747873311833,0.5218337870325307,59.44160289608291,54.291207747534855,5.150395148548057,-58.742272593578534,-52.954693156211604,-5.787579437366929,-inf,-62.942447866451666,-inf,-61.249361992105655,-62.416799232441846,1.1674372403361915,-0.22598545343558385,-0.13380343142338091,-0.02222648362514512,-1.8611903999474535,-0.28500511529762207,4.418768345313737,-2.019581158815768,-0.15387412578478177,0.12367170924327553,0.0205434732962253,-0.23060364524128119,-1.5672771223060806,-inf,-1.5771554507814614
9,86,MIDDLE_TAIL,ALL_CORNER_PASS,True,True,True,True,True,True,49.039722769855814,48.37187446926403,0.6678483005917855,48.63183651060701,48.19128240953483,0.4405541010721805,7.786019353921431,7.7128376095572815,0.07318174436414981,57.75387289224031,57.76312246643884,-0.009249574198527455,-59.10663593605897,-62.092122146264856,2.9854862102058846,-69.13124808789146,-66.11673787243633,-3.0145102154551324,-64.1139670831658,-77.339008584214,13.225041501048196,True,True,True,True,True,49.808690535492346,48.193806001863415,1.6148845336289313,49.01670394652008,47.78732981956451,1.2293741269555696,7.849950821681078,7.645735850425999,0.20421497125507848,58.76216371338052,56.05112893247046,2.7110347809100546,-56.79734591258516,-58.276474944313534,1.4791290317283767,-64.5835685246142,-67.47410106145946,2.890532536845271,-64.46309777912353,-77.86845106823314,13.405353289109613,True,True,True,False,False,49.14470495032056,43.70897644154445,5.4357285087761085,48.67782070887828,42.91508292883144,5.762737780046841,7.793657925062838,6.836392513094924,0.9572654119679145,55.883940930656195,53.27198470994425,2.6119562207119458,-58.594922656389826,-50.686205103233426,-7.9087175531564,-77.58280103757465,-59.71414508480976,-17.868655952764897,-63.75013123830631,-56.3898857173175,-7.360245520988812,0.7689677656365319,0.3848674359130726,0.06393146775964631,1.008290821140207,2.309290023473814,4.547679563277271,-0.34913069595772583,0.10498218046474506,0.045984198271270316,0.007638571141407091,-1.8699319615841148,0.511713279669145,-8.45155294968319,0.3638358448594943
10,80,MIDDLE_TAIL,ALL_CORNER_PASS,True,True,True,True,True,True,49.33652361350254,50.50603188403498,-1.1695082705324396,48.408033613489145,49.718279919933295,-1.3102463064441494,7.748842792938397,7.966491681052044,-0.21764888811364624,57.026024934947294,58.04343689936668,-1.017411964419388,-55.564081550903175,-57.520152047879094,1.9560704969759186,-68.41970313473881,-65.84896833030267,-2.5707348044361424,-59.585246383687654,-62.03493274697206,2.449686363284407,True,True,True,True,True,48.817644342091725,49.44917427446043,-0.6315299323687071,48.13251148200816,49.15710682278289,-1.0245953407747308,7.703074997011323,7.87327355860181,-0.17019856159048707,55.2652332360325,57.73987911438884,-2.474645878356341,-56.49067044365103,-61.02533366867843,4.534663225027401,-63.897851403679994,-67.3607633991091,3.46291199542911,-59.00765055465321,-71.5321929501644,12.52454239551119,True,True,True,False,False,49.68022434729215,44.72583129559858,4.954393051693572,48.989213918651004,44.629324722811525,4.359889195839479,7.8453843718689384,7.121150286181317,0.7242340856876215,58.06449307411306,51.49999482601864,6.5644982480944165,-57.31313605375221,-61.20976283862727,3.8966267848750604,-86.09393929948313,-69.27486363461222,-16.81907566487091,-60.20652426122132,-67.74838546543769,7.541861204216374,-0.5188792714108175,-0.27552213148098303,-0.04576779592707414,-1.7607916989147938,-0.9265888927478514,4.521851731058817,0.5775958290344434,0.3437007337896105,0.5811803051618583,0.09654157893054105,1.038468139165765,-1.7490545028490345,-17.674236164744315,-0.6212778775336645
