scope,method_id,metric,percentile,value,population_count,percentile_method
LOW,FAST64_SS_W4,steady_state_snr_db,0,38.075970084844776,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,1,47.590710837661796,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,5,47.7855725847615,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,10,47.936824935297054,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,25,48.57433245040009,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,50,49.277608368190954,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,75,49.927870121961654,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,90,50.39469980233359,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,95,50.5370032321882,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,99,50.85618626115544,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,100,50.89743175852932,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,0,37.591849894139656,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,1,46.872876915957455,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,5,47.296085171563654,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,10,47.46361188399405,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,25,47.837250808086274,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,50,48.40646992307261,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,75,48.9317356243101,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,90,49.18664787363401,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,95,49.46433752749196,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,99,49.733866669854955,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,100,49.94430988602979,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,0,5.952134533910242,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,1,7.4938333747437635,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,5,7.564133749429179,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,10,7.591962106975757,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,25,7.654028373436259,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,50,7.748583043699771,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,75,7.835836482443539,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,90,7.878180709905982,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,95,7.924308559384048,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,99,7.969080842168598,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,100,8.004038187048138,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,0,48.7150038871276,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,1,54.08620430761958,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,5,54.40575025913798,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,10,54.933371969224474,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,25,55.84831262254748,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,50,56.88445911818256,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,75,57.6849243307433,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,90,58.66666436951647,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,95,59.23452860889259,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,99,59.82270726988889,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,100,60.25775410615377,200,LINEAR_TYPE7
