scope,method_id,metric,percentile,value,population_count,percentile_method
LOW,FAST64_SS_W4,steady_state_snr_db,0,42.03919049362531,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,1,44.365723976589834,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,5,46.152917439516926,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,10,47.39488992728228,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,25,48.02468966884696,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,50,48.83330140692534,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,75,49.361855337056724,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,90,49.898454833491826,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,95,50.18787390279369,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,99,50.385007795445055,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_snr_db,100,50.51875275086939,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,0,41.00350303710332,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,1,43.54708491049608,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,5,45.36198844994452,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,10,46.76322902299328,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,25,47.30095942435905,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,50,48.010673507244775,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,75,48.51107981851855,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,90,48.820333545388834,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,95,49.09132956004477,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,99,49.26720802007725,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sndr_db,100,49.33282845581302,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,0,6.518854325100221,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,1,6.941376230979417,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,5,7.242855224243277,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,10,7.475619439035429,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,25,7.564943425973266,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,50,7.682836130771559,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,75,7.765960102743946,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,90,7.817331153719076,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,95,7.86234710299747,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,99,7.891562794032766,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_enob_raw,100,7.902463198640038,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,0,49.97230840925369,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,1,52.151240520918925,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,5,53.41702263591484,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,10,53.98989693766262,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,25,55.4881136096982,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,50,56.31510353533216,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,75,57.17626112589579,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,90,57.89261901059687,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,95,58.25889372776597,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,99,59.00810522002293,200,LINEAR_TYPE7
LOW,FAST64_SS_W4,steady_state_sfdr_dbc,100,59.84759862933159,200,LINEAR_TYPE7
