aperture_ns,band,bin,cached,codes_all_checksum,codes_retained_checksum,completed_utc,deck,delta_enob_raw,delta_sfdr_dbc,delta_sndr_db,delta_snr_db,delta_thd_db,duplicate_frame_count,elapsed_s,fin_hz,first_conversion_code,first_conversion_deterministic_pair_pass,first_conversion_protocol_pass,first_conversion_status,historical_replay_method_id,input_vpp_diff,invalid_count,job_id,log,max_conversion_time_ns,maxstep_ns,mean_conversion_time_ns,method_id,mismatch_checksum,mismatch_seed,missing_frame_count,nfft,noise_full_checksum,noise_mode,noise_prefix_checksum_0_63,noise_seed,overall_status,peak_rss_kb,phase,phase_rad,protocol_clean,pvt,retained_frame_end,retained_frame_start,returncode,role,same_phase_reference_code,simulation_aborted,startup_pair_mismatch_count,state,steady_state_clipping_count,steady_state_enob_raw,steady_state_hard_dynamic_pass,steady_state_hd2_dbc,steady_state_hd3_dbc,steady_state_method_id,steady_state_parseval_pass,steady_state_preferred_pass,steady_state_sfdr_dbc,steady_state_sndr_db,steady_state_snr_budget_pass,steady_state_snr_db,steady_state_thd_db,timed_out,timeout_count,total_frames,valid_frame_count,w0_replay_codes_checksum,w0_replay_enob_raw,w0_replay_sfdr_dbc,w0_replay_sndr_db,w0_replay_snr_db,w0_replay_thd_db,warmup_frames,historical_w0_snr_db,historical_w0_sndr_db,historical_w0_enob_raw,historical_w0_sfdr_dbc,historical_w0_hard_dynamic_pass,historical_w0_code_checksum,same_run_w0_code_checksum,historical_w0_code_exact,historical_w0_different_frame_count,historical_w0_different_frames,delta_w4_minus_historical_w0_snr_db,delta_w4_minus_historical_w0_sndr_db,delta_w4_minus_historical_w0_enob_raw,delta_w4_minus_historical_w0_sfdr_dbc,retained_code_checksum_recomputed,retained_code_checksum_match,mismatch_checksum_matches_historical,noise_prefix_checksum_matches_historical,ngspice_compatibility_hsa
480.0,LOW,7,False,28a7ab39488992a05fa05cdaf0d6dc3cb11a4c3b6f6d99381d41ac4c0d577d46,f3f0749528c9ad3f0f34fc03b815b448b87bad41d554b15bc6501686167cad45,2026-07-25T21:33:14.509704+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s001_low_w4.spice,-1.7763568394002505e-15,-9.237055564881302e-14,-7.105427357601002e-15,-2.1316282072803006e-14,1.4210854715202004e-14,0,127.8568297920283,218750.0,224,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S001_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s001_low_w4.log,325.51000000000073,0.05,325.4994117647065,FAST64_V2_FIRST_CONVERSION_SEPARATED,46ecd0a5648d88974bdfa2ff91550ecf1eda3cd91504a20350fa677b20b6e420,1,0,64,4e84b841cde9ffecf98a16b6962514f3131356073663e8cecda86184c0baee72,ON,812f1a7933dceb73b5642e657b8f7fd2dc9dc27b170ebd56c12d240ccdee9b6d,100001,PASS_FAST64_COMPLETE,269608,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,224,False,0,COMPLETE,0,7.683078796630094,True,-57.98963079975537,-66.08779829274484,FAST64_SS_W4,True,True,55.92396996223138,48.012134355713165,True,48.64751403750983,-56.6734615615846,False,0,68,68,8cd4a6797de4ad159c651863c14c11a63783539eca361a203cca377e8200719a,7.683078796630096,55.923969962231475,48.01213435571317,48.64751403750985,-56.67346156158462,4,48.64751403750985,48.01213435571317,7.683078796630096,55.923969962231475,True,8cd4a6797de4ad159c651863c14c11a63783539eca361a203cca377e8200719a,8cd4a6797de4ad159c651863c14c11a63783539eca361a203cca377e8200719a,True,0,,-2.1316282072803006e-14,-7.105427357601002e-15,-1.7763568394002505e-15,-9.237055564881302e-14,f3f0749528c9ad3f0f34fc03b815b448b87bad41d554b15bc6501686167cad45,True,True,True,True
480.0,LOW,7,False,550b71f38c42e987cab22ab4fd68f4b6f2a3479a7ef36c66c7bab58e138ec2d1,88746d8d9fc74c799e49b139dda85cf4c73399190108d8b54fa77d0f02c827e2,2026-07-25T21:33:29.275099+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s002_low_w4.spice,3.552713678800501e-15,0.0,2.1316282072803006e-14,1.4210854715202004e-14,-7.105427357601002e-15,0,142.62606774596497,218750.0,223,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S002_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s002_low_w4.log,325.51000000000073,0.05,325.4987058823536,FAST64_V2_FIRST_CONVERSION_SEPARATED,7a16a78409eac597885a9b24441039d365792f43a1e553ed97db2bdd7d5ba5bf,2,0,64,81470343d1192baaa9bf2a97ce98b2a376fdf73bf3cb512351392c2fec2eb4c5,ON,61972ea84845cd14941cac277745c959d0689267f80f22c5ffdf58ecc56376d1,100002,FAIL_STEADY_STATE_DYNAMIC,269316,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,223,False,0,COMPLETE_WITH_FAIL,0,7.099655275100769,False,-63.74669616448973,-55.27817281019782,FAST64_SS_W4,True,False,53.81088082441653,44.49992475610662,False,45.578283007747274,-51.07816549512688,False,0,68,68,0f41220687728bc54cc049e05d994a73291eb272d939dff201f089d718b3685a,7.0996552751007656,53.81088082441653,44.4999247561066,45.57828300774726,-51.078165495126875,4,45.57828300774726,44.4999247561066,7.0996552751007656,53.81088082441653,False,0f41220687728bc54cc049e05d994a73291eb272d939dff201f089d718b3685a,0f41220687728bc54cc049e05d994a73291eb272d939dff201f089d718b3685a,True,0,,1.4210854715202004e-14,2.1316282072803006e-14,3.552713678800501e-15,0.0,88746d8d9fc74c799e49b139dda85cf4c73399190108d8b54fa77d0f02c827e2,True,True,True,True
480.0,LOW,7,False,5d5d29099acc4027aea508f6db971970640e88f177c85ea46f9fd5dd024c40ce,2611a6592b56b64f392530d6f62bcd620cd9ff825b06738a6d0704e785b53814,2026-07-25T21:35:18.554923+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s003_low_w4.spice,1.2434497875801753e-14,0.0,7.815970093361102e-14,8.526512829121202e-14,0.0,0,251.90918286005035,218750.0,226,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S003_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s003_low_w4.log,325.51000000000073,0.05,325.5000000000007,FAST64_V2_FIRST_CONVERSION_SEPARATED,74d62364abce6e0d5993d4932718a585eaa950076bb66d07f1ebc5b5b4377f00,3,0,64,c06a6497d59629bc28f93daca53813d10174b612b47b3bb54edb574af31d081b,ON,5daa207aa94b783299d55e4022acacb284bd93a157a0da5b90e155731e5c204e,100003,PASS_FAST64_COMPLETE,269408,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,226,False,0,COMPLETE,0,7.62949418417356,True,-62.088916596576894,-63.51267893679538,FAST64_SS_W4,True,False,56.43855163344011,47.68955498872483,True,48.359833814243245,-56.13567299083095,False,0,68,68,b2fb4d3c4cdb2eb760810d12d9ae764bb556029a824ee7f21264a668584e74bf,7.629494184173548,56.43855163344011,47.68955498872475,48.35983381424316,-56.13567299083095,4,48.35983381424316,47.68955498872475,7.629494184173548,56.43855163344011,True,b2fb4d3c4cdb2eb760810d12d9ae764bb556029a824ee7f21264a668584e74bf,b2fb4d3c4cdb2eb760810d12d9ae764bb556029a824ee7f21264a668584e74bf,True,0,,8.526512829121202e-14,7.815970093361102e-14,1.2434497875801753e-14,0.0,2611a6592b56b64f392530d6f62bcd620cd9ff825b06738a6d0704e785b53814,True,True,True,True
480.0,LOW,7,False,69e267eda97d823ad38fe8d578cbe939b31d6cbdc76f1d5d2d875631cf58611b,fbda4f7c76ece6bd35fffaccd25316f61296d3803892b5d92a4bb119efb4a3ac,2026-07-25T21:32:38.191452+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s004_low_w4.spice,0.006811612682385615,-0.5593928403360593,0.04100590834796236,0.43971760052179576,1.3472183351734799,0,91.53185203194153,218750.0,224,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S004_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s004_low_w4.log,325.51000000000073,0.05,325.4995735294124,FAST64_V2_FIRST_CONVERSION_SEPARATED,d858fca5fa56592c2b106342ee67e3ec07fd069b89b2c90ce6a7c44c8bc0b78c,4,0,64,568ca055f260dc001e9cebc41bcd4ab39998691de6a016021e9c37085f8e638d,ON,c9f86616c08090b2574c9d6227e492190d8fad2055fed12ddbefb526f1abdfd0,100004,PASS_FAST64_COMPLETE,269392,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,224,False,2,COMPLETE,0,7.570668830077194,True,-59.351087586042425,-56.60443576827231,FAST64_SS_W4,True,False,53.65558412490963,47.335426357064705,True,48.64339427973418,-53.18488148446933,False,0,68,68,dfbe8c07ec295478d3d578bae063b5aefe9bf10ed3fab2c9b1e8fe21b1d8d8c5,7.563857217394808,54.21497696524569,47.29442044871674,48.203676679212386,-54.53209981964281,4,48.203676679212386,47.29442044871674,7.563857217394808,54.21497696524569,True,dfbe8c07ec295478d3d578bae063b5aefe9bf10ed3fab2c9b1e8fe21b1d8d8c5,dfbe8c07ec295478d3d578bae063b5aefe9bf10ed3fab2c9b1e8fe21b1d8d8c5,True,0,,0.43971760052179576,0.04100590834796236,0.006811612682385615,-0.5593928403360593,fbda4f7c76ece6bd35fffaccd25316f61296d3803892b5d92a4bb119efb4a3ac,True,True,True,True
480.0,LOW,7,False,bc9a3915413305b2f1bc83457eca7acf982d1356e6b609587423210699b467d2,691f99f2eb2d20a7d231a36ef985a42a262438bbaa2d8f76a6feb7c9883abcc5,2026-07-25T21:35:30.713373+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s005_low_w4.spice,2.6645352591003757e-15,0.0,1.4210854715202004e-14,1.4210854715202004e-14,3.552713678800501e-14,0,172.49796483491082,218750.0,224,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S005_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s005_low_w4.log,325.51000000000073,0.05,325.49958823529477,FAST64_V2_FIRST_CONVERSION_SEPARATED,8b15952e0e480cdaa813e4d2832feee6c9312644f29c985399f1c006f94b3871,5,0,64,6d475f04a4b033419b8d5c7c551aff10f0816c6730292b5d757572e7a1561976,ON,94912c42682be83b514d5ef7c3f9acdb16f3c248772e4f5a0d65473dad263589,100005,PASS_FAST64_COMPLETE,269708,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,224,False,0,COMPLETE,0,7.689557533471038,True,-84.28359410808982,-80.10039015163473,FAST64_SS_W4,True,True,58.21718016449891,48.05113635149564,True,48.28807158973661,-60.800611939586354,False,0,68,68,b92eea209b97d1545af5cd450c5e59dc105547b9c6a042fc6ab46c8f336c1f91,7.689557533471035,58.21718016449891,48.05113635149563,48.288071589736596,-60.80061193958639,4,48.288071589736596,48.05113635149563,7.689557533471035,58.21718016449891,True,b92eea209b97d1545af5cd450c5e59dc105547b9c6a042fc6ab46c8f336c1f91,b92eea209b97d1545af5cd450c5e59dc105547b9c6a042fc6ab46c8f336c1f91,True,0,,1.4210854715202004e-14,1.4210854715202004e-14,2.6645352591003757e-15,0.0,691f99f2eb2d20a7d231a36ef985a42a262438bbaa2d8f76a6feb7c9883abcc5,True,True,True,True
480.0,LOW,7,False,8af240bf1af913e59fdca77e5e5500a9dc5f897495dabaa5c8fb248e8a088681,215620e4cd5300ce095b56cf36c02818e50dd2a9eff142bad713fbb798aafc61,2026-07-25T21:34:41.881346+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s006_low_w4.spice,0.02384550876297542,-0.7049519322747528,0.14354996275311294,0.22775067072796418,0.39880093537092876,0,87.34976359305438,218750.0,225,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S006_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s006_low_w4.log,325.5100000000001,0.05,325.49925000000064,FAST64_V2_FIRST_CONVERSION_SEPARATED,7d51fe6f74666f514d83db3ffd22e6ba8ba39deb789d44067f37d761e5fc59d9,6,0,64,62a32d86d299e229117cdb40179339f98c7155ae3f2fe8ec2886095ccb2489a8,ON,4891e23324055c5f91d4f490c4c45bd81751300be307b5f7151fb0b453bf3eaa,100006,PASS_FAST64_COMPLETE,269484,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,225,False,1,COMPLETE,0,7.742722568938859,True,-67.43307592559903,-70.9066115053969,FAST64_SS_W4,True,True,57.49715727771546,48.37118986501193,True,49.04099904672262,-56.820123115745545,False,0,68,68,87813f91af84dcac79d7f56b269b7f40bb18b66faf409e152f6d7b46158ae8a5,7.718877060175884,58.20210920999021,48.227639902258815,48.813248375994654,-57.218924051116474,4,48.813248375994654,48.227639902258815,7.718877060175884,58.20210920999021,True,87813f91af84dcac79d7f56b269b7f40bb18b66faf409e152f6d7b46158ae8a5,87813f91af84dcac79d7f56b269b7f40bb18b66faf409e152f6d7b46158ae8a5,True,0,,0.22775067072796418,0.14354996275311294,0.02384550876297542,-0.7049519322747528,215620e4cd5300ce095b56cf36c02818e50dd2a9eff142bad713fbb798aafc61,True,True,True,True
480.0,LOW,7,False,031325a300161091851c8db106206422ba92e203fe54b54e43f2b982d6803f8f,85999c3225135115377d40e5fac001d4502aca5e0410cf05c037c0ed617f88a1,2026-07-25T21:35:04.378826+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s007_low_w4.spice,-0.0130661084938275,0.4572402373005957,-0.07865797313284162,0.24850596091506105,1.2443523439997222,0,95.08408900198992,218750.0,226,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S007_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s007_low_w4.log,325.5099999999999,0.05,325.5004264705889,FAST64_V2_FIRST_CONVERSION_SEPARATED,43dfaa4fd91a4cab2506b664e788b6303820e7e0d43cbb95a0421290d82e40b3,7,0,64,c784dec2406fe906e1dea63bc26ac1b18befb46bf0a0c988a26cf7a01b037536,ON,926a67bf8e72a057522bc0533029fd8e7f7194b8bd3ea66c0921a6093c43e555,100007,PASS_FAST64_COMPLETE,269524,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,225,False,1,COMPLETE,0,7.795508590766027,True,-59.09795860336644,-64.09225772396097,FAST64_SS_W4,True,True,59.02532467283371,48.68896171641148,True,49.935214164113916,-54.71897998523205,False,0,68,68,3ee473f4be872a82c1a7113635db3443024bb801ef43f1e89029b25ba8e13fda,7.808574699259855,58.568084435533116,48.76761968954432,49.686708203198855,-55.963332329231775,4,49.686708203198855,48.76761968954432,7.808574699259855,58.568084435533116,True,3ee473f4be872a82c1a7113635db3443024bb801ef43f1e89029b25ba8e13fda,3ee473f4be872a82c1a7113635db3443024bb801ef43f1e89029b25ba8e13fda,True,0,,0.24850596091506105,-0.07865797313284162,-0.0130661084938275,0.4572402373005957,85999c3225135115377d40e5fac001d4502aca5e0410cf05c037c0ed617f88a1,True,True,True,True
480.0,LOW,7,False,293bcdb8b1083dfce6752a205f00cafe7370d3e2c4b4c947624d7bdd06499a9a,6621bc34efe47527f0f0cc2504d9c33802325ae6a5820bc48637907c644abb5a,2026-07-25T21:36:43.557166+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s008_low_w4.spice,0.0024042086372446647,0.26832594657702913,0.014473335996214587,-0.32627741123515364,-1.1859649520887388,0,121.65402961801738,218750.0,222,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S008_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s008_low_w4.log,325.5100000000001,0.05,325.5004411764712,FAST64_V2_FIRST_CONVERSION_SEPARATED,14298d729b99c39cd55d883c4a875b1def070824d3c0b43aa6972e893342c26a,8,0,64,507b855aa102ba4c7e32f534977a60f5de93ba6701b1c808494606102baa1404,ON,05aa3f8c0fd3f9ff0e752adde1ae45246aa8978ddd6a099542d1f3e4f4716912,100008,PASS_FAST64_COMPLETE,269572,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,221,False,2,COMPLETE,0,7.503750528807241,True,-66.12688722240954,-61.62766773876986,FAST64_SS_W4,True,False,55.602978665816394,46.93257818341959,False,47.879784468568474,-54.01097430911926,False,0,68,68,7b95e535e4233165dd45a5a642bf67bb2a1395281161e989a6df06440b643896,7.501346320169996,55.334652719239365,46.91810484742337,48.20606187980363,-52.825009357030524,4,48.20606187980363,46.91810484742337,7.501346320169996,55.334652719239365,True,7b95e535e4233165dd45a5a642bf67bb2a1395281161e989a6df06440b643896,7b95e535e4233165dd45a5a642bf67bb2a1395281161e989a6df06440b643896,True,0,,-0.32627741123515364,0.014473335996214587,0.0024042086372446647,0.26832594657702913,6621bc34efe47527f0f0cc2504d9c33802325ae6a5820bc48637907c644abb5a,True,True,True,True
480.0,LOW,7,False,2981ffb222e315e63a1aa09add50a7fba775ea19e37db5d18729124f49059a63,b632971856cfb0bc40eab80aa5ca991cd35d844950a7f2305b1b0fd6d365f325,2026-07-25T21:37:00.830275+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s009_low_w4.spice,0.023302642902933712,0.4412996448842108,0.14028191027566095,-0.16607259114267237,-1.2621026180347172,0,116.43590612395201,218750.0,225,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S009_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s009_low_w4.log,325.502,0.05,325.4981323529418,FAST64_V2_FIRST_CONVERSION_SEPARATED,3840221775421c6f0d084e1cf662350bd529139d734bd74b219086cb92202191,9,0,64,9eb1100f209c516697b43a14f3ce70da8dc7de2cdd60126b93f9e31b2edf7d64,ON,bdd0259c30bcd318e45e1a460c6f8144db7d5f20027b63b7a86a3876bc046469,100009,PASS_FAST64_COMPLETE,269484,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,226,False,1,COMPLETE,0,7.721318666705897,True,-62.82567501240968,-63.61925666900571,FAST64_SS_W4,True,True,55.615543124402976,48.242338373569496,True,49.145225542245996,-55.50747191050596,False,0,68,68,47c22a8eb82440cbb6a1a4ba9c69d6c1ebe124286047767685a6ac65aab3bfcf,7.698016023802963,55.174243479518765,48.102056463293835,49.31129813338867,-54.245369292471246,4,49.31129813338867,48.102056463293835,7.698016023802963,55.174243479518765,True,47c22a8eb82440cbb6a1a4ba9c69d6c1ebe124286047767685a6ac65aab3bfcf,47c22a8eb82440cbb6a1a4ba9c69d6c1ebe124286047767685a6ac65aab3bfcf,True,0,,-0.16607259114267237,0.14028191027566095,0.023302642902933712,0.4412996448842108,b632971856cfb0bc40eab80aa5ca991cd35d844950a7f2305b1b0fd6d365f325,True,True,True,True
480.0,LOW,7,False,5a50b5c95ef8f9a09ac83fd1e5da5f9c01cec78a1061128f5e862b180aa44a52,bb2a9c55c9614fe61600e81efd1bd0a4c27b36e295edd193205433050fac4606,2026-07-25T21:37:52.886622+00:00,jobs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s010_low_w4.spice,0.0,0.0,0.0,0.0,2.842170943040401e-14,0,154.3132547129644,218750.0,224,,True,PASS_FIRST_CONVERSION_DETERMINISTIC,FAST64_STARTUP_INCLUSIVE_W0,3.0,0,MC200_ON_S010_LOW_W4,logs/fast64_v2/p4_event_noise_mc200_low/mc200_on_s010_low_w4.log,325.51000000000073,0.05,325.4993823529418,FAST64_V2_FIRST_CONVERSION_SEPARATED,cb4f2b7e35b8ec856d6720ba59cb8104003695625a6fba379b3c01558fdd720e,10,0,64,b003cf58c8831fdaf7a4e110118c062dda40fa785a38905aea6817ea1d9da44c,ON,ec861f7e6bc9d9b35b5853bd0b39b8c485ea9802eb85985a079c7939d0990352,100010,PASS_FAST64_COMPLETE,269456,P4_EVENT_NOISE_MC200_LOW,0.7853981633974483,True,TT_3P3_27C,67,4,0,MAIN_MC200_LOW,224,False,0,COMPLETE,0,7.744154611307039,True,-66.19306794301485,-62.01733392044716,FAST64_SS_W4,True,True,57.13905648782722,48.37981076006837,True,49.02108940770265,-57.003880653724494,False,0,68,68,1f94da2d9a010b41c7e70f9150a25634d3c6b81b8fcc02a4ab83201c7ad40473,7.744154611307039,57.13905648782722,48.37981076006837,49.02108940770265,-57.00388065372452,4,49.02108940770265,48.37981076006837,7.744154611307039,57.13905648782722,True,1f94da2d9a010b41c7e70f9150a25634d3c6b81b8fcc02a4ab83201c7ad40473,1f94da2d9a010b41c7e70f9150a25634d3c6b81b8fcc02a4ab83201c7ad40473,True,0,,0.0,0.0,0.0,0.0,bb2a9c55c9614fe61600e81efd1bd0a4c27b36e295edd193205433050fac4606,True,True,True,True
