job_id,category,pvt,mismatch_seed,noise_seed,band,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,attempt_count,measurement_stem,compact_code_checksum_sha256
D3_S001_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,1,100001,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s001_low_050ps,8cd4a6797de4ad159c651863c14c11a63783539eca361a203cca377e8200719a
D3_S001_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,1,100001,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s001_near_nyquist_050ps,a4c95905ad50ed93298fcc899dd9403e2127a25bd75905199d95f164d2cf6de5
D3_S002_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,2,100002,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s002_low_050ps,0f41220687728bc54cc049e05d994a73291eb272d939dff201f089d718b3685a
D3_S002_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,2,100002,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s002_near_nyquist_050ps,559af9407142bff0994620f4762f74b3dc403fd62ed99cbd67a3bd34cf5b6b53
D3_S003_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,3,100003,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s003_low_050ps,b2fb4d3c4cdb2eb760810d12d9ae764bb556029a824ee7f21264a668584e74bf
D3_S003_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,3,100003,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s003_near_nyquist_050ps,33cb0c3fa41fd7e36148419da5c5bfdef2a6a6d3009088ecd4cf5b02f5353a85
D3_S004_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,4,100004,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s004_low_050ps,dfbe8c07ec295478d3d578bae063b5aefe9bf10ed3fab2c9b1e8fe21b1d8d8c5
D3_S004_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,4,100004,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s004_near_nyquist_050ps,99d52061bd0628a375cb256b396dbf776e60f0da5958361ea49fdfa67be58f7d
D3_S005_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,5,100005,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s005_low_050ps,b92eea209b97d1545af5cd450c5e59dc105547b9c6a042fc6ab46c8f336c1f91
D3_S005_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,5,100005,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s005_near_nyquist_050ps,ee485a22be9a0e7a34bc8d6d3cf445f645bcf8399feaa08ae48da9ac0129576c
D3_S006_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,6,100006,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s006_low_050ps,87813f91af84dcac79d7f56b269b7f40bb18b66faf409e152f6d7b46158ae8a5
D3_S006_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,6,100006,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s006_near_nyquist_050ps,6adad98032921f7efcaf0c3329bae3b4c799b2c67688f16c9990fb6b575192cb
D3_S007_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,7,100007,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s007_low_050ps,3ee473f4be872a82c1a7113635db3443024bb801ef43f1e89029b25ba8e13fda
D3_S007_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,7,100007,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s007_near_nyquist_050ps,a870431069d8095961c1c57ef6eebadb0528311bba3b072e86e67b6634402630
D3_S008_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,8,100008,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s008_low_050ps,7b95e535e4233165dd45a5a642bf67bb2a1395281161e989a6df06440b643896
D3_S008_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,8,100008,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s008_near_nyquist_050ps,6113142252cb433a4958dcfe9eed06907d97ae0ddb12d2c44d91c088141fdb32
D3_S009_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,9,100009,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s009_low_050ps,47c22a8eb82440cbb6a1a4ba9c69d6c1ebe124286047767685a6ac65aab3bfcf
D3_S009_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,9,100009,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s009_near_nyquist_050ps,9aa7480df8ca8cf6b025771c153bfd17757b12335137229959d4ae421f57d8c4
D3_S010_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,10,100010,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s010_low_050ps,1f94da2d9a010b41c7e70f9150a25634d3c6b81b8fcc02a4ab83201c7ad40473
D3_S010_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,10,100010,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s010_near_nyquist_050ps,85dc0d7c84134b19660525c2f4f85d40b804859d1487eb662e97fde537a6bc97
D3_S011_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,11,100011,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s011_low_050ps,eed60e0c3099902b152cc433e1b5e0ea7efb8720da209b7033a70b8365f0731f
D3_S011_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,11,100011,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s011_near_nyquist_050ps,71c2f7241ba1320bdd3a0cada9a28544f9c59accccc234c4eb9838e098a1bd2f
D3_S012_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,12,100012,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s012_low_050ps,b5eef19f9d16c6fa5b24a4f566444b8e71cb2aea711f53c00c67e2a347817dfa
D3_S012_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,12,100012,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s012_near_nyquist_050ps,dde21431c7e04e41947bb5404efcea88367ef832e85bf93fad3dc0f06bba2278
