timestamp_utc,process_count,total_threads,total_rss_kb,pids
2026-07-25T13:36:36.951500+00:00,0,0,0,
2026-07-25T13:36:38.953362+00:00,4,16,106032,1573823;1573824;1573825;1573826
2026-07-25T13:36:40.955807+00:00,4,16,118640,1573823;1573824;1573825;1573826
2026-07-25T13:36:42.958224+00:00,4,16,131476,1573823;1573824;1573825;1573826
2026-07-25T13:36:44.962163+00:00,4,16,158596,1573823;1573824;1573825;1573826
2026-07-25T13:36:46.964606+00:00,4,16,164996,1573823;1573824;1573825;1573826
2026-07-25T13:36:48.967246+00:00,4,16,171756,1573823;1573824;1573825;1573826
2026-07-25T13:36:50.969897+00:00,4,16,195828,1573823;1573824;1573825;1573826
2026-07-25T13:36:52.972379+00:00,4,16,205608,1573823;1573824;1573825;1573826
2026-07-25T13:36:54.976253+00:00,4,16,215628,1573823;1573824;1573825;1573826
2026-07-25T13:36:56.979014+00:00,4,16,225228,1573823;1573824;1573825;1573826
2026-07-25T13:36:58.981335+00:00,4,16,235248,1573823;1573824;1573825;1573826
2026-07-25T13:37:00.983962+00:00,4,16,244788,1573823;1573824;1573825;1573826
2026-07-25T13:37:02.986356+00:00,4,16,269704,1573823;1573824;1573825;1573826
2026-07-25T13:37:04.988673+00:00,4,16,281152,1573823;1573824;1573825;1573826
2026-07-25T13:37:06.993295+00:00,4,16,292312,1573823;1573824;1573825;1573826
2026-07-25T13:37:08.994778+00:00,4,16,304192,1573823;1573824;1573825;1573826
2026-07-25T13:37:10.996830+00:00,4,16,316072,1573823;1573824;1573825;1573826
2026-07-25T13:37:13.000018+00:00,4,16,328168,1573823;1573824;1573825;1573826
2026-07-25T13:37:15.002452+00:00,4,16,339688,1573823;1573824;1573825;1573826
2026-07-25T13:37:17.004963+00:00,4,16,351280,1573823;1573824;1573825;1573826
2026-07-25T13:37:19.007575+00:00,4,16,363448,1573823;1573824;1573825;1573826
2026-07-25T13:37:21.009565+00:00,4,16,375328,1573823;1573824;1573825;1573826
2026-07-25T13:37:23.011615+00:00,4,16,387136,1573823;1573824;1573825;1573826
2026-07-25T13:37:25.014096+00:00,4,16,398728,1573823;1573824;1573825;1573826
2026-07-25T13:37:27.016554+00:00,4,16,410320,1573823;1573824;1573825;1573826
2026-07-25T13:37:29.019029+00:00,4,16,422272,1573823;1573824;1573825;1573826
2026-07-25T13:37:31.021430+00:00,4,16,433720,1573823;1573824;1573825;1573826
2026-07-25T13:37:33.024073+00:00,4,16,445096,1573823;1573824;1573825;1573826
2026-07-25T13:37:35.026667+00:00,4,16,456832,1573823;1573824;1573825;1573826
2026-07-25T13:37:37.029117+00:00,4,16,468424,1573823;1573824;1573825;1573826
2026-07-25T13:37:39.029905+00:00,4,16,479872,1573823;1573824;1573825;1573826
2026-07-25T13:37:41.032362+00:00,4,16,491248,1573823;1573824;1573825;1573826
2026-07-25T13:37:43.034724+00:00,4,16,502984,1573823;1573824;1573825;1573826
2026-07-25T13:37:45.038129+00:00,4,16,104244,1574338;1574365;1574392;1574419
2026-07-25T13:37:47.040585+00:00,4,16,111048,1574338;1574365;1574392;1574419
2026-07-25T13:37:49.043100+00:00,4,16,123712,1574338;1574365;1574392;1574419
2026-07-25T13:37:51.045286+00:00,4,16,150104,1574338;1574365;1574392;1574419
2026-07-25T13:37:53.047657+00:00,4,16,161500,1574338;1574365;1574392;1574419
2026-07-25T13:37:55.051066+00:00,4,16,167540,1574338;1574365;1574392;1574419
2026-07-25T13:37:57.053218+00:00,4,16,173580,1574338;1574365;1574392;1574419
2026-07-25T13:37:59.055693+00:00,4,16,197252,1574338;1574365;1574392;1574419
2026-07-25T13:38:01.058231+00:00,4,16,207152,1574338;1574365;1574392;1574419
2026-07-25T13:38:03.060824+00:00,4,16,216752,1574338;1574365;1574392;1574419
2026-07-25T13:38:05.063379+00:00,4,16,226532,1574338;1574365;1574392;1574419
2026-07-25T13:38:07.065751+00:00,4,16,236012,1574338;1574365;1574392;1574419
2026-07-25T13:38:09.066984+00:00,4,16,246032,1574338;1574365;1574392;1574419
2026-07-25T13:38:11.069394+00:00,4,16,270976,1574338;1574365;1574392;1574419
