job_id,category,pvt,mismatch_seed,noise_seed,band,nfft,bin,fin_hz,required,state,attempt_count,measurement_stem,compact_code_checksum_sha256
D3_S001_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,1,100001,LOW,64,7,218750.0,True,VALID_PASS,1,formal_s001_low_050ps,8cd4a6797de4ad159c651863c14c11a63783539eca361a203cca377e8200719a
D3_S001_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,1,100001,NEAR_NYQUIST,64,29,906250.0,True,VALID_PASS,1,formal_s001_near_nyquist_050ps,a4c95905ad50ed93298fcc899dd9403e2127a25bd75905199d95f164d2cf6de5
D3_S021_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,21,100021,LOW,64,7,218750.0,True,VALID_FAIL,1,formal_s021_low_050ps,dfe3f5d557ca4c9f19a39a553f8c502bab415945d722b57607b068fb008174f9
D3_S021_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,21,100021,NEAR_NYQUIST,64,29,906250.0,True,VALID_FAIL,1,formal_s021_near_nyquist_050ps,337dba51b51743493deb40a4b0283e10d70d19003c9fb0186bdc5452cfa2be01
D3_S044_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,44,100044,LOW,64,7,218750.0,True,VALID_FAIL,1,formal_s044_low_050ps,6a98518ae72646f233191e171c80073592bd1f14ad7fce7d40fca5f98ccf1926
D3_S044_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,44,100044,NEAR_NYQUIST,64,29,906250.0,True,VALID_FAIL,1,formal_s044_near_nyquist_050ps,d4b3aad41eccd89c4475286dbdc2766f1148a16120b728cb0c35b9afe14cef31
D3_S048_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,48,100048,LOW,64,7,218750.0,True,VALID_PASS,1,formal_s048_low_050ps,9ca8c09bb9758ba46a02759bedc5888d962ab74cc6275380c77a8c96f30de8cc
D3_S048_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,48,100048,NEAR_NYQUIST,64,29,906250.0,True,VALID_PASS,1,formal_s048_near_nyquist_050ps,5c2d8d890f87982fa73666714eadaa63bfef2011e0956f85e5c87e5449c2a9dc
D3_S064_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,64,100064,LOW,64,7,218750.0,True,VALID_PASS,1,formal_s064_low_050ps,13fa6ee36daa917d393651c470fed02371111d9952555461188732158fd8e07a
D3_S064_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,64,100064,NEAR_NYQUIST,64,29,906250.0,True,VALID_FAIL,1,formal_s064_near_nyquist_050ps,fd0e80d394262ece5de6ddcba52fce8cd4b6554fa3212da8bb81d53cc91a7572
