seed_order,seed_group,mismatch_seed,pvt,baseline_hard_dynamic_pass,resized_hard_dynamic_pass,hard_dynamic_transition,baseline_snr_budget_pass,resized_snr_budget_pass,snr_budget_transition,baseline_codes_all_checksum,resized_codes_all_checksum,baseline_codes_retained_checksum,resized_codes_retained_checksum,baseline_SNR_dB,resized_SNR_dB,delta_resize_minus_baseline_SNR_dB,baseline_SNDR_dB,resized_SNDR_dB,delta_resize_minus_baseline_SNDR_dB,baseline_ENOB_raw_bit,resized_ENOB_raw_bit,delta_resize_minus_baseline_ENOB_raw_bit,baseline_SFDR_dBc,resized_SFDR_dBc,delta_resize_minus_baseline_SFDR_dBc,baseline_THD_dB,resized_THD_dB,delta_resize_minus_baseline_THD_dB,baseline_HD2_dBc,resized_HD2_dBc,delta_resize_minus_baseline_HD2_dBc,baseline_HD3_dBc,resized_HD3_dBc,delta_resize_minus_baseline_HD3_dBc
1,DEEP_TAIL,44,TT_3P3_27C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,1902db76aba14055f739b15026b70947dd1eac34d725ec059afc21e0ab4132ee,c1f2572e6f55b6e6103580ab212181df6c640e767f447ef4f1fa89d351e307ba,e66d153d847c4f2095ce72ac80933f443d98ee7d5454b6eccaecfda87239be9a,9aab379466b9d284b9989d9cbf11def35a1c955bc72cc40c26ff630b47977926,43.84702759120942,50.17989886206937,6.332871270859954,43.373080287175334,49.12379875154774,5.7507184643724045,6.912471808500887,7.86774065640328,0.955268847902393,54.30025968042101,58.80232761739808,4.50206793697707,-53.22844160823205,-55.781945547378804,-2.5535039391467507,-59.74273174210832,-60.3815545074667,-0.638822765358384,-60.21672610796578,-74.2925973686589,-14.07587126069312
2,DEEP_TAIL,26,TT_3P3_27C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,01296764862833c33df2f0e0af9b8c269f611bc708544a29502f566df3b9ad2c,aeda2284b030989179b8cb0ba5dfbdb4deefd176459c8ca3262fa94a204a5bbd,b6afb8a81b3ed6ef9050dd0d7a7bce5d3d9414ffc1ce06ccb16cbeacd3347de3,eb1ed1809fc628c85e215aaf5fe0419af6b1747f4956f5c7bd1c070797a5cb3f,44.43281971073769,48.96297691766335,4.530157206925658,43.68180865265484,48.169668530891016,4.487859878236179,6.963755590142,7.709247264267612,0.7454916741256117,52.506252950289685,55.65410489485522,3.147851944565538,-51.673284081447434,-55.943709122570965,-4.270425041123531,-65.91687529336164,-62.09962390308392,3.8172513902777183,-62.14377258200103,-65.79055600027394,-3.6467834182729106
3,DEEP_TAIL,65,TT_3P3_27C,True,False,PASS_TO_FAIL,False,False,FAIL_STAYS_FAIL,162a5c909891ede9f3e139b8b61d98e91bb08eb87e0db465464b9fd64ae39b9b,1780b7f0728380149ae85f1939fd5002e8853d8f46b1f08f3e3185505be8c4c1,0e75fefff0cf209ea1487212ae94712c18a936b84f848b8822c3744cd83d331c,9ad8b10e8ae55f5d688b4e5b9b8aaa9a4406f78a52682a3b2038fdf2af1ca099,47.18702195798336,47.84927162467322,0.6622496666898599,47.03705169959521,46.873517902275346,-0.1635337973198645,7.521104933487577,7.493939850876304,-0.027165082611273483,55.547466955400765,54.12081424979209,-1.4266527056086744,-61.72961276486533,-53.83670504636464,7.8929077185006875,-74.79148478343996,-60.91029668421975,13.881188099220203,-65.70172951313764,-56.938330172129234,8.763399341008402
4,DEEP_TAIL,21,TT_3P3_27C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,fa84a5430ca175ee8fbe4c6566f77d9cac4c1e9a0a593244c2f7dfcc05ba3ef8,ad468138bc6178eed2006ba9879e92d37f35364baafcdb2ac1f68cbd9b09c72b,20faf37f16dc83400042769f54db155937cccce6bf78b69eab8e25092f80ec46,b8f0dd45f4edbba8e8251d28a13ef92b266a134bf2c210c7c37a4dcb098921af,46.49877677287116,49.09430128696289,2.5955245140917285,46.27851548683242,48.38348553412083,2.104970047288411,7.395102240337612,7.744765038890504,0.3496627985528926,56.63081142983646,55.738465276769205,-0.8923461530672583,-59.33664208843818,-56.594319658047674,2.7423224303905087,-62.209572522838826,-82.8410844540879,-20.63151193124908,-86.6247412262316,-63.21070917640284,23.41403204982877
5,DEEP_TAIL,36,TT_3P3_27C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,c5b6c46c6d728014c863ab0efa46709751c7d3e5e22c193f9137aa479dd652f5,da201b7572761a6628f5e2c89f76f58f148ea8e82eb8b0cb0e6b922737366101,06c80526058f1a9e2d04b37e5f0ec8640d6a680f20bf9e5a67e42a618ac7120c,3f47a0e474a3f1aa222eef453a5fae4a84edc2a20ec86c1a695b68f4e05f0193,47.815185450903776,49.279963118306966,1.4647776674031903,46.81657928463616,48.08989621384134,1.2733169292051798,7.4844816087435495,7.695996048810855,0.21151444006730546,54.635549892518824,56.89856052132853,2.2630106288097025,-53.690219880138514,-54.293479754987416,-0.6032598748489022,-94.70396929852627,-63.06095438082643,31.643014917699844,-69.94214532947238,-60.30112682792186,9.64101850155052
6,DEEP_TAIL,2,TT_3P3_27C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,f5d48f874b8dff394dc1d2a9d99aba5c01d198de916046776c35b73274775bfd,474b7dd9e2907d56c6a5ed2b267ef70d67d867ad8e603da3c645d3d238576322,650d513eee4baeaec6a1f5b666df05f1eea3375118d68d7aa55ea55f7daab168,6d5ff0b9ea95fc1c1f93f933436ba87efa97d2016817efe60945dfe52fa23a6d,47.4492589410691,49.927783434803494,2.4785244937343975,46.81324282599617,48.80305306865988,1.989810242663708,7.483927379733584,7.814460642634532,0.3305332629009481,56.03555032025475,57.19620524148137,1.160654921226623,-55.47053251900654,-55.22064721575966,0.2498853032468773,-67.15958314482228,-69.39045912045552,-2.2308759756332392,-68.98263671882914,-61.612773985835474,7.369862732993667
7,DEEP_TAIL,12,TT_3P3_27C,True,True,PASS_STAYS_PASS,False,True,FAIL_TO_PASS,decfe1e290faffdefa051301fc09fa3bdfd84a349e7f0abf4c1d45b54656f32d,f4624a619800cdb2ce09323c349d8f2a7778a305d50ff41fa795088f133e35a2,5c8226ed36a1831ab1a3bc546796b0b31501baa6fe6eea64cee2fd271e8c8e36,24db95f8f28e96d6db0849eae22022e7255e7eeed71d288e0fb11bb0960d6def,47.913080848121474,49.65695861005219,1.7438777619307189,46.97672546287231,49.47658013329912,2.4998546704268136,7.511083963932278,7.926342214833742,0.41525825090146373,55.825150335700016,58.46311776830167,2.6379674326016556,-54.09993065814892,-63.38245318052324,-9.282522522374322,-67.2678283450043,-67.39650650482633,-0.12867815982203012,-62.890182362506415,-73.57833449752799,-10.688152135021575
8,DEEP_TAIL,182,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,1275e97cc3259ef1fead316d2e318dcb21750768c717d2eb4e06f4c3a5a15259,7fc0dc4408a780855acf1a726da9eab5ee75cc1f89fb282724076b7c82a8d819,bfa3c082e77ae936a51ea87fa19b64eaf6333f5de0433d0a02ae92e967df4ac3,f6707a23d0c2101fd6262fa50e282fd887ed16ac75baf4fc39db30bae76f189a,48.44062389859842,50.85519654315752,2.414572644559101,47.42048947332661,49.94430988602979,2.5238204127031807,7.584798915834986,8.004038187048138,0.4192392712131525,56.41334111095139,59.67220654132419,3.2588654303728006,-54.211846013831845,-57.17499547127245,-2.9631494574406076,-61.30917651833432,-71.18364422934496,-9.874467711010645,-62.36237709131137,-59.67220654132419,2.6901705499871795
9,MIDDLE_TAIL,86,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,374b122d4bae6a947e1d3acab1737d2beface362b8784fef1502076d160c93d4,58209d1d81b2f3cdaa6723bd5c875e9a87594301f72edfccefb309bca0a36236,33f6a22ed4e2bdc8957be2f1e2e0a70f2e7827b60bb9d576d6f9e692e1895f69,9a6d59ba3f51a5dd60d79017197feb1f9fb1c945a258071b4f21a559a0cbcaf2,48.37187446926403,49.039722769855814,0.6678483005917855,48.19128240953483,48.63183651060701,0.4405541010721805,7.7128376095572815,7.786019353921431,0.07318174436414981,57.76312246643884,57.75387289224031,-0.009249574198527455,-62.092122146264856,-59.10663593605897,2.9854862102058846,-66.11673787243633,-69.13124808789146,-3.0145102154551324,-77.339008584214,-64.1139670831658,13.225041501048196
10,MIDDLE_TAIL,80,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,03bd024381715321ff214f2eaacdd41668772a43d02c6cacbb5bbe2dcfa34f6f,c260d9c350845b08a026e342f35d4ef7ad4e401d1660f1105201bf01d7ede748,2ad9cb1aaba9d8e61937d276319d728f66683205b4f9c71a25f4a54299e81e5f,84b723c7e66a322e69fa15829325216826925e71104e80a3b2634459a8d728f2,50.50603188403498,49.33652361350254,-1.1695082705324396,49.718279919933295,48.408033613489145,-1.3102463064441494,7.966491681052044,7.748842792938397,-0.21764888811364624,58.04343689936668,57.026024934947294,-1.017411964419388,-57.520152047879094,-55.564081550903175,1.9560704969759186,-65.84896833030267,-68.41970313473881,-2.5707348044361424,-62.03493274697206,-59.585246383687654,2.449686363284407
