job_id,phase,role,category,mismatch_seed,noise_mode,noise_seed,band,pvt,warmup_frames,total_frames,retained_frame_start,retained_frame_end,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,returncode,elapsed_s,overall_status,completed_utc
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,44,ON,100044,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,26,ON,100026,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,65,ON,100065,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,21,ON,100021,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,36,ON,100036,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,2,ON,100002,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,12,ON,100012,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,182,ON,100182,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,86,ON,100086,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,80,ON,100080,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S128_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,128,ON,100128,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
