target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
1,-1.6995849609375002,-1.6994812011718752,-1.6993774414062504,0.0
2,-1.6862260953647885,-1.6861482755405697,-1.686070455716351,0.005870931952669422
3,-1.672659710260827,-1.672581890436608,-1.6725040706123893,0.029354659763313605
4,-1.6597158837506154,-1.6596380639263968,-1.659560244102178,0.0058709319526526705
5,-1.6463051382950913,-1.6462273184708724,-1.6461494986466536,0.017612795857991515
6,-1.6330500324880046,-1.6329722126637858,-1.632894392839567,0.017612795857991515
7,-1.6193280077356054,-1.6192501879113865,-1.619172368087168,0.05283838757397454
8,-1.6068511001707064,-1.6067732803464878,-1.606695460522269,-0.005870931952669422
9,-1.5935959943636198,-1.5935181745394011,-1.5934403547151823,-0.005870931952669422
10,-1.5801852489080956,-1.5801074290838768,-1.5800296092596582,0.005870931952669422
11,-1.566618863804134,-1.5665410439799152,-1.5664632241556964,0.029354659763313605
12,-1.5536750372939223,-1.5535972174697035,-1.5535193976454849,0.005870931952669422
13,-1.5402642918383984,-1.5401864720141796,-1.5401086521899607,0.017612795857991515
14,-1.5270091860313117,-1.526931366207093,-1.526853546382874,0.017612795857991515
15,-1.5132871612789125,-1.5132093414546937,-1.513131521630475,0.05283838757397454
16,-1.501277172659326,-1.501199352835107,-1.5011215330108885,-0.0410965236686357
17,-1.487555147906927,-1.4874773280827083,-1.4873995082584894,-0.005870931952669422
18,-1.4743000420998402,-1.4742222222756216,-1.4741444024514028,-0.005870931952669422
19,-1.4607336569958786,-1.46065583717166,-1.4605780173474412,0.01761279585797476
20,-1.4476341908372294,-1.4475563710130106,-1.447478551188792,0.005870931952669422
21,-1.4343790850301428,-1.434301265205924,-1.4342234453817053,0.005870931952669422
22,-1.4209683395746187,-1.4208905197504,-1.4208126999261812,0.01761279585797476
23,-1.407401954470657,-1.4073241346464385,-1.4072463148222196,0.0410965236686357
24,-1.3947694072573205,-1.3946915874331016,-1.394613767608883,-0.0058709319526526705
25,-1.3815143014502338,-1.381436481626015,-1.3813586618017963,-0.0058709319526526705
26,-1.3682591956431474,-1.3681813758189287,-1.36810355599471,-0.005870931952669422
27,-1.3546928105391858,-1.3546149907149672,-1.3545371708907483,0.01761279585797476
28,-1.3415933443805366,-1.3415155245563177,-1.3414377047320991,0.005870931952669422
29,-1.32833823857345,-1.328260418749231,-1.3281825989250124,0.005870931952669422
30,-1.3149274931179258,-1.3148496732937072,-1.3147718534694883,0.01761279585797476
31,-1.301361108013964,-1.3012832881897451,-1.3012054683655265,0.04109652366865245
32,-1.289506759042815,-1.2894289392185962,-1.2893511193943776,-0.06458025147927988
33,-1.2750065360482283,-1.2749287162240095,-1.2748508963997909,0.029354659763330355
34,-1.2615957905927042,-1.2615179707684856,-1.2614401509442668,0.0410965236686357
