target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
1,-1.7045654296875001,-1.704461669921875,-1.7043579101562503,0.0
2,-1.6913556677149977,-1.6912778478907788,-1.6912000280665602,-0.005868038442572507
3,-1.67762710691437,-1.6775492870901512,-1.6774714672659325,0.02934019221292951
4,-1.6649880236528052,-1.6649102038285863,-1.6648323840043677,-0.017604115327734263
5,-1.6512594628521777,-1.6511816430279591,-1.6511038232037403,0.017604115327734263
6,-1.6379978209968629,-1.637920001172644,-1.6378421813484252,0.017604115327751007
7,-1.6244248998446726,-1.624347080020454,-1.6242692601962352,0.04107626909807452
8,-1.6125640148252955,-1.6124861950010767,-1.6124083751768579,-0.06454842286841478
9,-1.598524174727793,-1.5984463549035741,-1.5983685350793555,-0.005868038442572507
10,-1.5852625328724779,-1.585184713048259,-1.5851068932240404,-0.005868038442572507
11,-1.5715339720718506,-1.5714561522476318,-1.571378332423413,0.029340192212912765
12,-1.5588948888102854,-1.5588170689860665,-1.558739249161848,-0.017604115327734263
13,-1.5451663280096581,-1.5450885081854393,-1.5450106883612205,0.017604115327751007
14,-1.531904686154343,-1.5318268663301242,-1.5317490465059054,0.017604115327751007
15,-1.518331765002153,-1.5182539451779342,-1.5181761253537156,0.04107626909809126
16,-1.5080272764671505,-1.507949456642932,-1.507871636818713,-0.18190919172006584
17,-1.4925866795337108,-1.492508859709492,-1.4924310398852731,-0.017604115327751007
18,-1.4793250376783957,-1.479247217854177,-1.4791693980299583,-0.017604115327734263
19,-1.4655964768777683,-1.4655186570535497,-1.4654408372293308,0.017604115327734263
20,-1.4529573936162035,-1.4528795737919848,-1.452801753967766,-0.02934019221292951
21,-1.439228832815576,-1.4391510129913572,-1.4390731931671386,0.005868038442589251
22,-1.425967190960261,-1.425889371136042,-1.4258115513118235,0.005868038442589251
23,-1.4122386301596332,-1.4121608103354144,-1.4120829905111958,0.04107626909809126
24,-1.4005333847886934,-1.4004555649644748,-1.400377745140256,-0.07628449975357654
25,-1.386493544691191,-1.3864157248669722,-1.3863379050427536,-0.017604115327734263
