variant,frames_per_point,frame_index,point_index,frame_role,vid_v,code_470,code_480,dout_stable_470_480,comparator_rise_count,dctrl_valid_update_count,dctrl_edge_cluster_count_diagnostic_only,dctrl_update_samples_bit_p_n,complete_v,invalid_v,timeout_v,valid,protocol_pass
CURRENT,3,0,0,COLD_DISCARD,-1.7044616699218753,0,0,True,8,7,8,7:0.345804573/3.30001727;6:3.98030523e-06/3.26668148;5:-1.24874551e-06/3.29965;4:-1.00646107e-07/3.29999983;3:-2.40483405e-08/3.29999994;2:-1.10753384e-08/3.29999994;1:-5.44577006e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,1,0,CONDITIONING,-1.7044616699218753,0,0,True,8,7,11,7:0.345695092/3.30001727;6:3.97757651e-06/3.26670129;5:-1.24728953e-06/3.29965041;4:-1.00489189e-07/3.29999983;3:-2.40258297e-08/3.29999994;2:-1.10703323e-08/3.29999994;1:-5.44182384e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,2,0,FORMAL,-1.7044616699218753,0,0,True,8,7,11,7:0.345695092/3.30001727;6:3.9775763e-06/3.26670129;5:-1.24728956e-06/3.29965041;4:-1.00488701e-07/3.29999983;3:-2.40258826e-08/3.29999994;2:-1.10701717e-08/3.29999994;1:-5.44143621e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,3,1,COLD_DISCARD,-1.6978210449218751,1,1,True,8,7,11,7:0.345748012/3.30001727;6:3.96621589e-06/3.26669125;5:-1.25375172e-06/3.29965021;4:-1.01696848e-07/3.29999984;3:-2.43325843e-08/3.29999994;2:-1.12030111e-08/3.29999994;1:-5.50697446e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,4,1,CONDITIONING,-1.6978210449218751,1,1,True,8,7,11,7:0.345693441/3.30001727;6:3.96489281e-06/3.26670101;5:-1.25300984e-06/3.29965042;4:-1.01613018e-07/3.29999984;3:-2.43206358e-08/3.29999994;2:-1.11984484e-08/3.29999994;1:-5.50460146e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,5,1,FORMAL,-1.6978210449218751,1,1,True,8,7,11,7:0.345748003/3.30001727;6:3.96621468e-06/3.26669125;5:-1.25375179e-06/3.29965021;4:-1.0169628e-07/3.29999984;3:-2.43324705e-08/3.29999994;2:-1.12029942e-08/3.29999994;1:-5.50661911e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,6,2,COLD_DISCARD,-0.8758361816406249,63,63,True,8,7,11,7:0.345707578/3.30001811;6:2.27498723e-06/3.26668428;5:3.29965277/-9.40983992e-07;4:3.29999985/-1.17733808e-07;3:3.29999994/-2.66207024e-08;2:3.29999994/-1.18268561e-08;1:3.29999995/-5.86078119e-09,3.3,0.0,0.0,True,True
CURRENT,3,7,2,CONDITIONING,-0.8758361816406249,63,63,True,8,7,11,7:0.34570757/3.3000181;6:2.27490348e-06/3.26668428;5:3.29965277/-9.41012427e-07;4:3.29999985/-1.17736177e-07;3:3.29999994/-2.66210901e-08;2:3.29999994/-1.18268736e-08;1:3.29999995/-5.8611505e-09,3.3,0.0,0.0,True,True
CURRENT,3,8,2,FORMAL,-0.8758361816406249,63,63,True,8,7,11,7:0.345707569/3.3000181;6:2.27490303e-06/3.26668428;5:3.29965277/-9.41012407e-07;4:3.29999985/-1.17736e-07;3:3.29999994/-2.66209926e-08;2:3.29999994/-1.18269105e-08;1:3.29999995/-5.86115079e-09,3.3,0.0,0.0,True,True
CURRENT,3,9,3,COLD_DISCARD,-0.869195556640625,64,64,True,8,7,11,7:0.345653042/3.3000181;6:3.26663603/2.90538186e-05;5:-1.12967542e-06/3.29965034;4:-1.03312702e-07/3.29999984;3:-2.40687479e-08/3.29999994;2:-1.10457998e-08/3.29999994;1:-5.42392528e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,10,3,CONDITIONING,-0.869195556640625,64,64,True,8,7,11,7:0.345653042/3.3000181;6:3.26663603/2.90537954e-05;5:-1.1296772e-06/3.29965034;4:-1.03312467e-07/3.29999984;3:-2.40685948e-08/3.29999994;2:-1.10455827e-08/3.29999994;1:-5.42394405e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,11,3,FORMAL,-0.869195556640625,64,64,True,8,7,11,7:0.345653042/3.3000181;6:3.26663603/2.90537954e-05;5:-1.12967737e-06/3.29965034;4:-1.0331238e-07/3.29999984;3:-2.40687761e-08/3.29999994;2:-1.10454419e-08/3.29999994;1:-5.42396872e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,12,4,COLD_DISCARD,-0.020648193359375,127,127,True,8,7,11,7:0.345755272/3.30001875;6:3.26661408/3.05104404e-05;5:3.29965269/-1.06222962e-06;4:3.29999985/-1.13834537e-07;3:3.29999994/-2.61151105e-08;2:3.29999994/-1.16428779e-08;1:3.29999995/-5.77520514e-09,3.3,0.0,0.0,True,True
CURRENT,3,13,4,CONDITIONING,-0.020648193359375,127,127,True,8,7,11,7:0.34575527/3.30001875;6:3.26661408/3.05105317e-05;5:3.29965269/-1.06220885e-06;4:3.29999985/-1.13834022e-07;3:3.29999994/-2.61158288e-08;2:3.29999994/-1.1643399e-08;1:3.29999995/-5.77512134e-09,3.3,0.0,0.0,True,True
CURRENT,3,14,4,FORMAL,-0.020648193359375,127,127,True,8,7,11,7:0.34575527/3.30001875;6:3.26661408/3.05105319e-05;5:3.29965269/-1.06220871e-06;4:3.29999985/-1.13833879e-07;3:3.29999994/-2.6115813e-08;2:3.29999994/-1.16432446e-08;1:3.29999995/-5.77508583e-09,3.3,0.0,0.0,True,True
CURRENT,3,15,5,COLD_DISCARD,-0.014007568359375002,128,128,True,8,7,11,7:3.30001862/0.345821641;6:3.06477216e-05/3.2666636;5:-1.0287836e-06/3.29964988;4:-1.0965413e-07/3.29999984;3:-2.50311701e-08/3.29999994;2:-1.14147892e-08/3.29999994;1:-5.59754155e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,16,5,CONDITIONING,-0.014007568359375002,128,128,True,8,7,11,7:3.30001862/0.345672533;6:3.06166306e-05/3.26669521;5:-1.02699354e-06/3.29965049;4:-1.09380855e-07/3.29999984;3:-2.49934394e-08/3.29999994;2:-1.14002049e-08/3.29999994;1:-5.5906083e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,17,5,FORMAL,-0.014007568359375002,128,128,True,8,7,11,7:3.30001862/0.345683916;6:3.06146742e-05/3.2666969;5:-1.02699321e-06/3.29965049;4:-1.0938079e-07/3.29999984;3:-2.49933922e-08/3.29999994;2:-1.1400081e-08/3.29999994;1:-5.59080091e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,18,6,COLD_DISCARD,0.8191833496093749,191,191,True,8,7,11,7:3.30001799/0.345839375;6:2.92746497e-05/3.26666325;5:3.29965271/-1.18226622e-06;4:3.29999984/-1.10583898e-07;3:3.29999994/-2.59370443e-08;2:3.29999994/-1.16125447e-08;1:3.29999995/-5.76518922e-09,3.3,0.0,0.0,True,True
CURRENT,3,19,6,CONDITIONING,0.8191833496093749,191,191,True,8,7,11,7:3.30001799/0.345816753;6:2.92654669e-05/3.26667307;5:3.29965292/-1.18156434e-06;4:3.29999984/-1.10494312e-07;3:3.29999994/-2.59246546e-08;2:3.29999994/-1.16074221e-08;1:3.29999995/-5.76271411e-09,3.3,0.0,0.0,True,True
CURRENT,3,20,6,FORMAL,0.8191833496093749,191,191,True,8,7,11,7:3.30001799/0.345816748;6:2.92654675e-05/3.26667307;5:3.29965292/-1.18156394e-06;4:3.29999984/-1.1049435e-07;3:3.29999994/-2.5924826e-08;2:3.29999994/-1.16074953e-08;1:3.29999995/-5.76274357e-09,3.3,0.0,0.0,True,True
CURRENT,3,21,7,COLD_DISCARD,0.8258239746093748,192,192,True,8,7,11,7:3.30001798/0.34583952;6:3.26662875/2.02347335e-06;5:-9.01208236e-07/3.29964984;4:-1.12145205e-07/3.29999985;3:-2.51661715e-08/3.29999994;2:-1.14455498e-08/3.29999994;1:-5.60535369e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,22,7,CONDITIONING,0.8258239746093748,192,192,True,8,7,11,7:3.30001798/0.345784789;6:3.26663856/2.02273499e-06;5:-9.00679207e-07/3.29965004;4:-1.12052179e-07/3.29999985;3:-2.51532596e-08/3.29999994;2:-1.14404884e-08/3.29999994;1:-5.60299004e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,23,7,FORMAL,0.8258239746093748,192,192,True,8,7,11,7:3.30001798/0.345784789;6:3.26663856/2.02273504e-06;5:-9.00679125e-07/3.29965004;4:-1.12052179e-07/3.29999985;3:-2.51532791e-08/3.29999994;2:-1.14404317e-08/3.29999994;1:-5.60301655e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,3,24,8,COLD_DISCARD,1.663580322265625,254,254,True,8,7,11,7:3.30001714/0.345589117;6:3.26667788/3.77915541e-06;5:3.29965379/-1.29136626e-06;4:3.29999984/-1.06235171e-07;3:3.29999994/-2.55447873e-08;2:3.29999994/-1.15031293e-08;1:3.29999995/-5.71965873e-09,3.3,0.0,0.0,True,True
CURRENT,3,25,8,CONDITIONING,1.663580322265625,254,254,True,8,7,11,7:3.30001714/0.345589139;6:3.26667794/3.77917086e-06;5:3.29965379/-1.29136464e-06;4:3.29999984/-1.06236193e-07;3:3.29999994/-2.55463008e-08;2:3.29999994/-1.15026052e-08;1:3.29999995/-5.71960217e-09,3.3,0.0,0.0,True,True
