target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
1,-1.6912322998046876,-1.6911544799804688,-1.6910766601562501,0.0
2,-1.6780503160371554,-1.6779724962129365,-1.677894676388718,-0.005868851953963365
3,-1.6647905124454048,-1.664712692621186,-1.6646348727969673,-0.005868851953963365
4,-1.651530708853654,-1.6514528890294353,-1.6513750692052165,-0.005868851953980111
5,-1.6379596259650284,-1.6378818061408098,-1.637803986316591,0.01760655586190684
6,-1.624855462021715,-1.6247776421974964,-1.6246998223732776,0.005868851953963365
7,-1.6115956584299642,-1.6115178386057454,-1.6114400187815268,0.005868851953980111
8,-1.598491494486651,-1.5984136746624324,-1.5983358548382136,-0.005868851953980111
9,-1.5847647719495876,-1.5846869521253688,-1.5846091323011502,0.029344259769883807
10,-1.5716606080062747,-1.5715827881820559,-1.571504968357837,0.017606555861923587
11,-1.5584008044145239,-1.5583229845903053,-1.5582451647660864,0.01760655586190684
12,-1.5449853611743358,-1.544907541350117,-1.5448297215258981,0.029344259769867063
13,-1.5315699179341473,-1.5314920981099287,-1.5314142782857099,0.041081963677810536
14,-1.5183101143423965,-1.5182322945181776,-1.518154474693959,0.041081963677827286
15,-1.5050503107506459,-1.504972490926427,-1.5048946711022084,0.041081963677827286
16,-1.4927243450495202,-1.4926465252253016,-1.4925687054010828,-0.029344259769883807
17,-1.4793089018093317,-1.4792310819851129,-1.4791532621608943,-0.01760655586190684
18,-1.4662047378660188,-1.4661269180418,-1.4660490982175811,-0.029344259769867063
19,-1.452944934274268,-1.4528671144500493,-1.4527892946258305,-0.029344259769883807
20,-1.43952949103408,-1.439451671209861,-1.4393738513856422,-0.017606555861923587
21,-1.425958408145454,-1.425880588321235,-1.4258027684970165,0.005868851953980111
22,-1.4128542442021408,-1.4127764243779222,-1.4126986045537033,-0.005868851953980111
23,-1.39959444061039,-1.3995166207861711,-1.3994388009619525,-0.005868851953963365
24,-1.3864902766670766,-1.3864124568428577,-1.3863346370186391,-0.01760655586190684
25,-1.372919193778451,-1.3728413739542322,-1.3727635541300136,0.005868851953980111
26,-1.3596593901867002,-1.3595815703624816,-1.3595037505382628,0.005868851953963365
27,-1.3465552262433869,-1.3464774064191682,-1.3463995865949494,-0.005868851953980111
28,-1.3331397830031988,-1.33306196317898,-1.3329841433547613,0.005868851953980111
29,-1.3195687001145733,-1.3194908802903544,-1.3194130604661356,0.029344259769867063
30,-1.30646453617126,-1.306386716347041,-1.3063088965228222,0.017606555861923587
31,-1.293204732579509,-1.2931269127552905,-1.2930490929310716,0.01760655586190684
32,-1.2818126047690084,-1.2817347849447898,-1.281656965120571,-0.12324589103344837
33,-1.2671520443413202,-1.2670742245171014,-1.2669964046928825,-0.017606555861923587
34,-1.2540478803980069,-1.253970060573788,-1.2538922407495692,-0.029344259769867063
35,-1.2407880768062562,-1.2407102569820374,-1.2406324371578186,-0.029344259769867063
36,-1.227372633566068,-1.2272948137418491,-1.2272169939176303,-0.017606555861923587
37,-1.213801550677442,-1.2137237308532232,-1.2136459110290045,0.005868851953980111
38,-1.2006973867341288,-1.2006195669099102,-1.2005417470856914,-0.005868851953980111
39,-1.1874375831423782,-1.1873597633181596,-1.1872819434939408,-0.005868851953980111
40,-1.174333419199065,-1.1742555993748462,-1.1741777795506274,-0.017606555861923587
41,-1.1607623363104391,-1.1606845164862203,-1.1606066966620017,0.005868851953980111
42,-1.147658172367126,-1.1475803525429074,-1.1475025327186885,-0.005868851953980111
43,-1.1343983687753751,-1.1343205489511563,-1.1342427291269377,-0.005868851953963365
44,-1.1209829255351869,-1.120905105710968,-1.1208272858867494,0.005868851953980111
45,-1.1074118426465613,-1.1073340228223425,-1.1072562029981237,0.029344259769867063
46,-1.0943076787032482,-1.0942298588790296,-1.0941520390548107,0.01760655586190684
47,-1.0810478751114971,-1.0809700552872785,-1.0808922354630597,0.01760655586190684
48,-1.0687219094103715,-1.0686440895861526,-1.068566269761934,-0.052819667585754015
49,-1.0553064661701834,-1.0552286463459648,-1.055150826521746,-0.041081963677827286
50,-1.0420466625784326,-1.0419688427542138,-1.0418910229299951,-0.041081963677810536
51,-1.0289424986351192,-1.0288646788109004,-1.0287868589866818,-0.052819667585754015
52,-1.0155270553949312,-1.0154492355707125,-1.0153714157464937,-0.041081963677827286
53,-1.0019559725063054,-1.0018781526820866,-1.0018003328578677,-0.017606555861923587
54,-0.988851808562992,-0.9887739887387733,-0.9886961689145546,-0.029344259769867063
55,-0.9755920049712414,-0.9755141851470226,-0.9754363653228039,-0.029344259769867063
56,-0.9624878410279281,-0.9624100212037093,-0.9623322013794906,-0.041081963677810536
57,-0.9489167581393024,-0.9488389383150837,-0.9487611184908649,-0.017606555861923587
58,-0.9356569545475516,-0.9355791347233329,-0.935501314899114,-0.017606555861923587
59,-0.9223971509558009,-0.9223193311315822,-0.9222415113073634,-0.017606555861923587
60,-0.9091373473640502,-0.9090595275398314,-0.9089817077156126,-0.017606555861923587
61,-0.8955662644754244,-0.8954884446512057,-0.8954106248269869,0.005868851953971738
62,-0.8824621005321112,-0.8823842807078924,-0.8823064608836737,-0.005868851953971738
63,-0.8692022969403603,-0.8691244771161416,-0.8690466572919229,-0.005868851953971738
64,-0.8618567999892346,-0.8617789801650159,-0.8617011603407971,-0.4519016004559494
65,-0.8433052483506089,-0.8432274285263902,-0.8431496087021715,-0.05281966758576239
66,-0.8300454447588581,-0.8299676249346394,-0.8298898051104207,-0.052819667585754015
67,-0.816941280815545,-0.8168634609913262,-0.8167856411671075,-0.06455737149370587
68,-0.8035258375753567,-0.8034480177511379,-0.8033701979269192,-0.05281966758576239
69,-0.7899547546867309,-0.7898769348625122,-0.7897991150382935,-0.029344259769867063
70,-0.7768505907434178,-0.776772770919199,-0.7766949510949803,-0.04108196367781891
71,-0.763590787151667,-0.7635129673274482,-0.7634351475032295,-0.041081963677810536
72,-0.7504866232083538,-0.7504088033841351,-0.7503309835599163,-0.05281966758576239
73,-0.7369155403197281,-0.7368377204955092,-0.7367599006712905,-0.029344259769867063
74,-0.7236557367279772,-0.7235779169037585,-0.7235000970795398,-0.029344259769867063
75,-0.7103959331362266,-0.7103181133120078,-0.710240293487789,-0.029344259769867063
76,-0.6971361295444758,-0.6970583097202571,-0.6969804898960383,-0.029344259769867063
77,-0.68356504665585,-0.6834872268316313,-0.6834094070074126,-0.005868851953971738
78,-0.6704608827125368,-0.6703830628883181,-0.6703052430640992,-0.017606555861923587
79,-0.6572010791207862,-0.6571232592965675,-0.6570454394723486,-0.017606555861923587
80,-0.6448751134196603,-0.6447972935954416,-0.6447194737712227,-0.08803277930960118
81,-0.6314596701794719,-0.6313818503552532,-0.6313040305310345,-0.07629507540164934
82,-0.6181998665877213,-0.6181220467635026,-0.6180442269392838,-0.07629507540164934
83,-0.6049400629959705,-0.6048622431717517,-0.604784423347533,-0.07629507540164934
84,-0.5916802594042199,-0.5916024395800011,-0.5915246197557824,-0.07629507540164934
85,-0.5781091765155941,-0.5780313566913754,-0.5779535368671567,-0.05281966758576239
86,-0.565005012572281,-0.5649271927480622,-0.5648493729238435,-0.06455737149370587
87,-0.5517452089805301,-0.5516673891563114,-0.5515895693320927,-0.06455737149370587
88,-0.5386410450372168,-0.538563225212998,-0.5384854053887793,-0.07629507540164934
89,-0.5249143225001538,-0.5248365026759351,-0.5247586828517163,-0.04108196367781891
90,-0.5118101585568404,-0.5117323387326217,-0.511654518908403,-0.05281966758576239
91,-0.4985503549650898,-0.4984725351408711,-0.4983947153166523,-0.05281966758576239
92,-0.485290551373339,-0.48521273154912026,-0.4851349117249015,-0.05281966758576239
93,-0.47171946848471313,-0.4716416486604944,-0.4715638288362757,-0.029344259769867063
94,-0.45861530454140004,-0.45853748471718125,-0.4584596648929625,-0.041081963677810536
95,-0.4453555009496492,-0.4452776811254304,-0.4451998613012117,-0.041081963677810536
96,-0.4339633731391486,-0.43388555331492984,-0.4338077334907111,-0.1819344105731741
97,-0.41930281271146025,-0.41922499288724147,-0.41914717306302274,-0.07629507540164934
98,-0.40619864876814693,-0.4061208289439282,-0.4060430091197094,-0.08803277930960118
99,-0.3929388451763963,-0.3928610253521776,-0.3927832055279588,-0.08803277930960118
100,-0.379523401936208,-0.3794455821119892,-0.37936776228777047,-0.07629507540164934
101,-0.36610795869601986,-0.36603013887180114,-0.3659523190475824,-0.06455737149370587
102,-0.35284815510426903,-0.3527703352800503,-0.3526925154558316,-0.06455737149370587
103,-0.3395883515125182,-0.3395105316882995,-0.33943271186408075,-0.06455737149370587
104,-0.3266398272176426,-0.3265620073934239,-0.3264841875692051,-0.08803277930960118
105,-0.3129131046805793,-0.3128352848563606,-0.3127574650321418,-0.05281966758576239
106,-0.29980894073726616,-0.29973112091304743,-0.2996533010888287,-0.06455737149370587
107,-0.28654913714551533,-0.2864713173212966,-0.2863934974970779,-0.06455737149370587
108,-0.27313369390532705,-0.2730558740811083,-0.27297805425688954,-0.05281966758576239
109,-0.2595626110167014,-0.2594847911924827,-0.25940697136826396,-0.029344259769867063
110,-0.2464584470733881,-0.24638062724916934,-0.2463028074249506,-0.04108196367781263
111,-0.2331986434816375,-0.23312082365741874,-0.23304300383319998,-0.04108196367781263
112,-0.22087267778051167,-0.22079485795629292,-0.22071703813207416,-0.11150818712549442
113,-0.20745723454032355,-0.20737941471610483,-0.20730159489188607,-0.09977048321754885
114,-0.19435307059701024,-0.19427525077279148,-0.19419743094857272,-0.11150818712549442
115,-0.1810932670052594,-0.18101544718104065,-0.1809376273568219,-0.11150818712549442
116,-0.1678334634135088,-0.16775564358929004,-0.1676778237650713,-0.11150818712549442
117,-0.15426238052488297,-0.15418456070066422,-0.1541067408764455,-0.08803277930960118
118,-0.14100257693313237,-0.1409247571089136,-0.14084693728469488,-0.08803277930960118
119,-0.12789841298981902,-0.1278205931656003,-0.12774277334138154,-0.09977048321754885
120,-0.1147942490465057,-0.11471642922228695,-0.1146386093980682,-0.11150818712549442
