"role","source_absolute_path","bundle_relative_path","size_bytes","source_sha256","bundle_sha256","exact_copy_pass"
"spice_dependency","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_ANALOG_MODULAR_SUBCKTS.inc.spice","spice/subckts/A44_ANALOG_MODULAR_SUBCKTS.inc.spice","444","cc864fdb9fd3614cb740b61680058433316548a91dd0af964b48bad13600d570","cc864fdb9fd3614cb740b61680058433316548a91dd0af964b48bad13600d570","True"
"xschem_schematic","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C1_SWITCH.sch","xschem/A44_C1_SWITCH.sch","1259","41cca2afd90db241607fda0ed7f7fa43fb8bdf1d856df924aae7926c99fb58b4","41cca2afd90db241607fda0ed7f7fa43fb8bdf1d856df924aae7926c99fb58b4","True"
"xschem_symbol","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C1_SWITCH.sym","xschem/A44_C1_SWITCH.sym","889","8ee1b2f8fb97c5bf2af92553866bd9a1eb1a651319d87dde20a34cc9c0711c66","8ee1b2f8fb97c5bf2af92553866bd9a1eb1a651319d87dde20a34cc9c0711c66","True"
"xschem_schematic","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C16_SWITCH.sch","xschem/A44_C16_SWITCH.sch","4640","3af7dd776fdc84c5af3b4ba3bcd1668e6362cb2132d33ce9aa704ec6d745d0a8","3af7dd776fdc84c5af3b4ba3bcd1668e6362cb2132d33ce9aa704ec6d745d0a8","True"
"xschem_symbol","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C16_SWITCH.sym","xschem/A44_C16_SWITCH.sym","890","f57bc104709baf63f2297e4c32cee2875557afa078f4b4a81ca6045903812ae0","f57bc104709baf63f2297e4c32cee2875557afa078f4b4a81ca6045903812ae0","True"
"xschem_schematic","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C2_SWITCH.sch","xschem/A44_C2_SWITCH.sch","1337","6e91370c56b015efabba4e40c588abe28cc1c9dcc3fa94d6927b1895ffe65c59","6e91370c56b015efabba4e40c588abe28cc1c9dcc3fa94d6927b1895ffe65c59","True"
"xschem_symbol","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C2_SWITCH.sym","xschem/A44_C2_SWITCH.sym","889","f7dce9098f2634d3e3bd1526ba005b9b4627594cbeeac1d81abda48fa4e47a78","f7dce9098f2634d3e3bd1526ba005b9b4627594cbeeac1d81abda48fa4e47a78","True"
"xschem_schematic","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C32_SWITCH.sch","xschem/A44_C32_SWITCH.sch","9188","9527780509d7846a0d9085ea42a5d5d0a98ee0976f5413a01e8b8c8de89cb65e","9527780509d7846a0d9085ea42a5d5d0a98ee0976f5413a01e8b8c8de89cb65e","True"
"xschem_symbol","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C32_SWITCH.sym","xschem/A44_C32_SWITCH.sym","890","fd3883b62f51f55e2c5bf4b8a7feb5fe0411d1d56639b284e6f0cbfe9c93f3a4","fd3883b62f51f55e2c5bf4b8a7feb5fe0411d1d56639b284e6f0cbfe9c93f3a4","True"
"xschem_schematic","D:\PICO\DESIGN_FILES\CURRENT\A44_W5P29_UNIT_TRANS_DRIVER\01_CIRCUIT_FILES\A44_C4_SWITCH.sch","xschem/A44_C4_SWITCH.sch","1771","fe215ebba2a8f30eb297ec014af1563706a13c4d9f1cbd496469b896140216aa","fe215ebba2a8f30eb297ec014af1563706a13c4d9f1cbd496469b896140216aa","True"
