sample_index,t_sample_s,t_eoc_s,vdiff_sampled_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,quantization_error_v,quantization_error_lsb
16,8e-06,8.375e-06,1.41975107681972,234,0xEA,1.4144531249999999,-0.005297951819720037,-0.39890460760244983
17,8.5e-06,8.875e-06,1.3670717727001747,230,0xE6,1.3613281249999998,-0.005743647700174881,-0.43246288566022634
18,9e-06,9.375000000000001e-06,1.301911427456404,226,0xE2,1.3082031250000001,0.006291697543596042,0.47372781504723144
19,9.5e-06,9.875000000000001e-06,1.2248649395896396,220,0xDC,1.2285156249999998,0.003650685410360177,0.2748751367800604
20,1e-05,1.0375000000000001e-05,1.1366357252648163,213,0xD5,1.135546875,-0.00108885026481631,-0.0819840199391104
21,1.05e-05,1.0875e-05,1.0380292962877775,206,0xCE,1.0425781250000001,0.004548828712222619,0.342500044214409
22,1.1e-05,1.1375e-05,0.9299459059734929,198,0xC6,0.936328125,0.006382219026507041,0.4805435502311184
23,1.15e-05,1.1875e-05,0.8133723300467627,189,0xBD,0.8167968749999999,0.0034245449532371852,0.2578480905966822
24,1.2e-05,1.2375000000000001e-05,0.6893728576138309,179,0xB3,0.6839843749999999,-0.005388482613831069,-0.4057210438649276
25,1.25e-05,1.2875000000000001e-05,0.5590795744552131,170,0xAA,0.5644531249999998,0.0053735505447867205,0.40459674690158837
26,1.3e-05,1.3375e-05,0.4236820273509593,159,0x9F,0.41835937499999987,-0.0053226523509594115,-0.4007644123075322
27,1.35e-05,1.3875e-05,0.284416363800618,149,0x95,0.2855468750000001,0.0011305111993820671,0.08512084324759094
28,1.4e-05,1.4375e-05,0.14255404628968338,138,0x8A,0.13945312499999996,-0.0031009212896834226,-0.233481132399693
29,1.45e-05,1.4875e-05,-0.0006097558614118076,127,0x7F,-0.006640624999999956,-0.006030869138588148,-0.45408897043487234
30,1.5e-05,1.5375e-05,-0.1437679910860785,117,0x75,-0.13945312499999996,0.004314866086078534,0.32488403471650135
31,1.55e-05,1.5875e-05,-0.28561365864244387,106,0x6A,-0.2855468750000001,6.678364244377955e-05,0.0050284154310610485
32,1.6e-05,1.6374999999999998e-05,-0.42485174122021235,96,0x60,-0.4183593750000001,0.0064923662202122645,0.48883698599245284
33,1.65e-05,1.6875e-05,-0.5602110281416306,85,0x55,-0.564453125,-0.004242096858369404,-0.31940493992428454
34,1.7e-05,1.7375e-05,-0.6904557212135467,76,0x4C,-0.6839843750000001,0.006471346213546614,0.4872543031376274
35,1.75e-05,1.7874999999999997e-05,-0.8143967172718807,66,0x42,-0.816796875,-0.002400157728119301,-0.18071775835251208
36,1.8e-05,1.8375e-05,-0.9309024644115506,57,0x39,-0.936328125,-0.005425660588449399,-0.4085203266597195
37,1.85e-05,1.8874999999999998e-05,-1.038909292787054,49,0x31,-1.042578125,-0.003668832212945894,-0.2762414842688673
38,1.9e-05,1.9375e-05,-1.1374311256659395,42,0x2A,-1.135546875,0.0018842506659395575,0.14187299131780198
39,1.95e-05,1.9875e-05,-1.2255684820755521,35,0x23,-1.228515625,-0.0029471429244478653,-0.22190252607607458
40,2e-05,2.0375e-05,-1.302516688851034,29,0x1D,-1.308203125,-0.005686436148965912,-0.42815519239272753
41,2.05e-05,2.0875e-05,-1.3675732271105088,25,0x19,-1.361328125,0.006245102110508771,0.4702194530265428
