sample_index,valid_sample_index,t_sample_s,t_eoc_s,vinp_v,vinn_v,vdiff_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,reconstructed_vdiff_v,quantization_error_v,quantization_error_lsb,clks_falling_sample,eoc_int
16,0,8e-06,8.375e-06,1.2052633504167196,2.09473664958328,-0.8894732991665608,61,0x3D,-0.883203125,-0.883203125,0.006270174166560838,0.47210723136458077,1,1
17,1,8.5e-06,8.875e-06,2.1317591522079864,1.1682408477920134,0.9635183044159727,200,0xC8,0.9628906249999998,0.9628906249999998,-0.0006276794159729704,-0.047260567790906004,1,1
18,2,9e-06,9.375000000000001e-06,1.1331175408940546,2.1668824591059455,-1.0337649182118906,50,0x32,-1.029296875,-1.029296875,0.004468043211890649,0.3364173712482371,1,1
19,3,9.5e-06,9.875000000000001e-06,2.1999681068269705,1.1000318931730293,1.0999362136539412,210,0xD2,1.0957031249999998,1.0957031249999998,-0.0042330886539414525,-0.3187266751202976,1,1
20,4,1e-05,1.0375000000000001e-05,1.0691143351988126,2.230885664801187,-1.1617713296023744,40,0x28,-1.162109375,-1.162109375,-0.00033804539762560815,-0.02545282993886932,1,1
21,5,1.05e-05,1.0875e-05,2.2595132495236934,1.0404867504763065,1.219026499047387,219,0xDB,1.2152343749999999,1.2152343749999999,-0.0037921240473870466,-0.28552463415620116,1,1
22,6,1.1e-05,1.1375e-05,1.014261994955047,2.2857380050449527,-1.2714760100899054,32,0x20,-1.268359375,-1.268359375,0.0031166350899054507,0.23466428912229276,1,1
23,7,1.15e-05,1.1875e-05,2.3094565478726268,0.990543452127373,1.3189130957452537,227,0xE3,1.321484375,1.321484375,0.002571279254746317,0.19360220271031092,1,1
24,8,1.2e-05,1.2375000000000001e-05,0.9694246254689868,2.330575374531013,-1.3611507490620263,25,0x19,-1.361328125,-1.361328125,-0.00017737593797373385,-0.013355364741551726,1,1
25,9,1.25e-05,1.2875000000000001e-05,2.349011230171377,0.950988769828623,1.3980224603427538,233,0xE9,1.401171875,1.401171875,0.0031494146572461634,0.23713239772206407,1,1
26,10,1.3e-05,1.3375e-05,0.9353085632199514,2.3646914367800482,-1.429382873560097,20,0x14,-1.427734375,-1.427734375,0.001648498560097078,0.12412224452495647,1,1
27,11,1.35e-05,1.3875e-05,2.3775541796903994,0.9224458203096005,1.4551083593807987,237,0xED,1.454296875,1.454296875,-0.0008114843807986993,-0.06110000043660795,1,1
28,12,1.4e-05,1.4375e-05,0.9124512487307436,2.3875487512692564,-1.4750975025385127,16,0x10,-1.4808593749999999,-1.4808593749999999,-0.005761872461487183,-0.4338351029825644,1,1
29,13,1.45e-05,1.4875e-05,2.3946357508170246,0.9053642491829753,1.4892715016340492,240,0xF0,1.4941406249999998,1.4941406249999998,0.004869123365950578,0.3666163475539259,1,1
30,14,1.5e-05,1.5375e-05,0.9012127601064781,2.3987872398935215,-1.4975744797870436,15,0x0F,-1.494140625,-1.494140625,0.003433854787043611,0.25854906631857777,1,1
31,15,1.55e-05,1.5875e-05,2.3999868524571717,0.9000131475428281,1.4999737049143436,240,0xF0,1.4941406249999998,1.4941406249999998,-0.005833079914343786,-0.43919660531529686,1,1
32,16,1.6e-05,1.6374999999999998e-05,0.901770140616617,2.398229859383383,-1.4964597187667659,15,0x0F,-1.494140625,-1.494140625,0.0023190937667658673,0.17461411890943002,1,1
33,17,1.65e-05,1.6875e-05,2.393523187107745,0.9064768128922548,1.4870463742154902,239,0xEF,1.4808593749999999,1.4808593749999999,-0.006186999215490374,-0.4658446468133929,1,1
34,18,1.7e-05,1.7375e-05,0.9141146096794317,2.385885390320568,-1.4717707806411364,17,0x11,-1.467578125,-1.467578125,0.004192655641136467,0.31568230709733397,1,1
35,19,1.75e-05,1.7874999999999997e-05,2.375346578820394,0.924653421179606,1.4506931576407878,237,0xED,1.454296875,1.454296875,0.0036037173592122773,0.27133871881127736,1,1
36,20,1.8e-05,1.8375e-05,0.9380517011851408,2.361948298814859,-1.4238965976297182,20,0x14,-1.427734375,-1.427734375,-0.003837777370281792,-0.2889620608212173,1,1
37,21,1.85e-05,1.8874999999999998e-05,2.345743369136807,0.9542566308631928,1.3914867382736142,232,0xE8,1.387890625,1.387890625,-0.0035961132736141987,-0.2707661758956573,1,1
38,22,1.9e-05,1.9375e-05,0.9732043269786312,2.3267956730213686,-1.3535913460427373,26,0x1A,-1.348046875,-1.348046875,0.0055444710427372534,0.41746605498256967,1,1
39,23,1.95e-05,1.9875e-05,2.3051799062648284,0.9948200937351712,1.3103598125296574,226,0xE2,1.3082031250000001,1.3082031250000001,-0.002156687529657253,-0.16238588458595787,1,1
40,24,2e-05,2.0375e-05,1.0190187172418654,2.2809812827581344,-1.2619625655162692,32,0x20,-1.268359375,-1.268359375,-0.006396809483730781,-0.481642125833847,1,1
41,25,2.05e-05,2.0875e-05,2.2542951985558175,1.0457048014441823,1.2085903971116352,218,0xDA,1.201953125,1.201953125,-0.0066372721116352285,-0.49974754722900544,1,1
42,26,2.1e-05,2.1374999999999998e-05,1.074773144195271,2.2252268558047286,-1.1504537116094578,41,0x29,-1.148828125,-1.148828125,0.0016255866094576632,0.12239710941798876,1,1
43,27,2.15e-05,2.1875e-05,2.1938908480151107,1.1061091519848891,1.0877816960302216,209,0xD1,1.0824218749999999,1.0824218749999999,-0.005359821030221701,-0.40356299521669275,1,1
44,28,2.2e-05,2.2375e-05,1.1395892916911194,2.1604107083088806,-1.020821416617761,51,0x33,-1.016015625,-1.016015625,0.004805791617760846,0.3618478394549343,1,1
