bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
0,0.0,2.7968256418000593e-34,-337.13202454430154,dc,,0,0
1,30.517578125,6.87234311452943e-11,-103.22763012767219,noise,,0,0
2,61.03515625,1.966664715171956e-37,-368.6613752111439,noise,,0,0
3,91.552734375,9.285697447846765e-12,-111.92053317974691,noise,,0,0
4,122.0703125,1.1158943775531188e-38,-381.12244757703104,noise,,0,0
5,152.587890625,1.591208452624624e-11,-109.58140769963566,noise,,0,0
6,183.10546875,1.4243110760564282e-37,-370.0626299553006,noise,,0,0
7,213.623046875,3.8347524351173226e-12,-115.76130515191637,noise,,0,0
8,244.140625,3.76634433375693e-38,-375.83947824716626,noise,,0,0
9,274.658203125,2.08828290124127e-11,-108.40078514579632,noise,,0,0
10,305.17578125,1.2145361704142462e-40,-400.7545739392309,noise,,0,0
11,335.693359375,2.0579313018042015e-12,-118.46436974112862,noise,,0,0
12,366.2109375,2.2497899995789775e-39,-388.0772586510583,noise,,0,0
13,396.728515625,2.71863483729863e-11,-107.25516969330877,noise,,0,0
14,427.24609375,6.185652952653238e-39,-383.6848229692423,noise,,0,0
15,457.763671875,7.376235516105938e-12,-112.92033072220491,noise,,0,0
16,488.28125,1.1885331669094465e-38,-380.84856541546014,noise,,0,0
17,518.798828125,6.884788975175821e-11,-103.21977213802631,noise,,0,0
18,549.31640625,2.919446445904167e-38,-376.94567334095984,noise,,0,0
19,579.833984375,6.364430077033599e-11,-103.56108327630986,noise,,0,0
20,610.3515625,1.5658524121841254e-38,-379.65117021423396,noise,,0,0
21,640.869140625,1.2791263711063582e-11,-110.52954394433279,noise,,0,0
22,671.38671875,6.574374184599405e-39,-383.4201342850272,noise,,0,0
23,701.904296875,6.2761147282223615e-12,-113.62176973143492,noise,,0,0
24,732.421875,9.055560335928385e-40,-392.0295251853055,noise,,0,0
25,762.939453125,8.850425393358779e-12,-112.1290370164351,noise,,0,0
26,793.45703125,6.572357221222014e-39,-383.421466868838,noise,,0,0
27,823.974609375,3.1559969488724657e-12,-116.60731272418458,noise,,0,0
28,854.4921875,5.967373194268837e-40,-393.8408464800438,noise,,0,0
29,885.009765625,7.190809436912123e-12,-113.03090067391416,noise,,0,0
30,915.52734375,8.02173412055209e-40,-392.5559958384867,noise,,0,0
31,946.044921875,1.7263321346046232e-11,-109.2274349235918,noise,,0,0
32,976.5625,3.540245808603165e-39,-386.1083442980865,noise,,0,0
33,1007.080078125,1.8401477106209682e-11,-108.95015161402135,noise,,0,0
34,1037.59765625,1.72822226723717e-40,-399.2226825060073,noise,,0,0
35,1068.115234375,7.483430689928325e-11,-102.85767106429643,noise,,0,0
36,1098.6328125,1.4693781064870566e-40,-399.9273428245851,noise,,0,0
37,1129.150390625,8.959597720269409e-11,-102.07579336514064,noise,,0,0
38,1159.66796875,4.250137799060142e-40,-395.3146483600666,noise,,0,0
39,1190.185546875,6.000339989951774e-11,-103.81691988112813,noise,,0,0
40,1220.703125,1.5977429387324848e-40,-399.56360940243775,noise,,0,0
41,1251.220703125,9.870818790874986e-12,-111.65514667917363,noise,,0,0
42,1281.73828125,3.097886668974885e-39,-386.6880232131919,noise,,0,0
43,1312.255859375,4.898414191912612e-11,-104.69812342404967,noise,,0,0
44,1342.7734375,1.0579231669189253e-39,-391.3541371946411,noise,,0,0
45,1373.291015625,6.892479374105382e-13,-123.21492371948506,noise,,0,0
46,1403.80859375,9.17348939437507e-40,-391.9733328389054,noise,,0,0
47,1434.326171875,1.664925613037121e-11,-109.38473012595085,noise,,0,0
48,1464.84375,5.054866228907274e-40,-394.5615818010642,noise,,0,0
49,1495.361328125,3.439088770025006e-11,-106.23424461083158,noise,,0,0
50,1525.87890625,3.532620236223246e-40,-396.1177089467823,noise,,0,0
51,1556.396484375,5.733286108716078e-10,-94.01464232138719,noise,,0,0
52,1586.9140625,1.0964640023904148e-39,-391.19873469008644,noise,,0,0
53,1617.431640625,5.407736057309822e-12,-114.26852360840064,noise,,0,0
54,1647.94921875,9.896858586070207e-40,-391.6437048231692,noise,,0,0
55,1678.466796875,2.108197175999964e-10,-98.35956619848027,noise,,0,0
56,1708.984375,6.120567106312591e-40,-393.73076183160777,noise,,0,0
57,1739.501953125,4.097775294778339e-10,-95.47319707305928,noise,,0,0
58,1770.01953125,4.7639331009642365e-40,-394.8190219295648,noise,,0,0
59,1800.537109375,1.4078891160515449e-11,-110.11299395541634,noise,,0,0
60,1831.0546875,6.2806142564267095e-40,-393.61865726423696,noise,,0,0
61,1861.572265625,1.1400642952903407e-09,-91.02938502508363,noise,,0,0
62,1892.08984375,4.620559952815619e-40,-394.9517323740615,noise,,0,0
63,1922.607421875,1.957425997387266e-09,-88.68182495026122,noise,,0,0
64,1953.125,2.3332985351001575e-39,-387.91897538709406,noise,,0,0
65,1983.642578125,4.2299697719267125e-09,-85.33530583247627,noise,,0,0
66,2014.16015625,1.778133602454294e-39,-389.0990345793374,noise,,0,0
67,2044.677734375,3.3249509635158894e-08,-76.38082602395247,noise,,0,0
68,2075.1953125,7.59234374318354e-42,-412.79491984555796,noise,,0,0
69,2105.712890625,4.699662472114533e-10,-94.87801178893426,noise,,0,0
70,2136.23046875,9.83763191688915e-41,-401.66977278051456,noise,,0,0
71,2166.748046875,2.2293851431070808e-10,-98.1168274448172,noise,,0,0
72,2197.265625,3.0416971729720406e-40,-396.7675187296197,noise,,0,0
73,2227.783203125,2.6206792081217085e-10,-97.41453983974678,noise,,0,0
74,2258.30078125,9.210262462107318e-40,-391.95595840758824,noise,,0,0
75,2288.818359375,9.058991172651489e-10,-92.02788010623829,noise,,0,0
76,2319.3359375,1.1334204906779261e-39,-391.0547678727137,noise,,0,0
77,2349.853515625,4.018917818929993e-10,-95.55758721505192,noise,,0,0
78,2380.37109375,1.9809230989789773e-39,-388.6300023088634,noise,,0,0
79,2410.888671875,1.4784330057504104e-10,-99.90066197562268,noise,,0,0
80,2441.40625,2.5462663454705733e-39,-387.53964017170796,noise,,0,0
81,2471.923828125,2.9472051396711426e-10,-96.90457481203096,noise,,0,0
82,2502.44140625,2.941435918363179e-40,-396.91308455733855,noise,,0,0
83,2532.958984375,1.7350388772150883e-10,-99.2055863657039,noise,,0,0
84,2563.4765625,1.2639944166295098e-39,-390.5812269152622,noise,,0,0
85,2593.994140625,8.546685918346776e-12,-112.28070102702303,noise,,0,0
86,2624.51171875,7.152244190813474e-40,-393.0542551343664,noise,,0,0
87,2655.029296875,6.925752706497954e-11,-103.1940086668258,noise,,0,0
88,2685.546875,2.2156402111171462e-41,-408.1436860864111,noise,,0,0
89,2716.064453125,9.928116204100208e-11,-101.6300099535208,noise,,0,0
90,2746.58203125,2.1158909308477998e-39,-388.3437457000153,noise,,0,0
91,2777.099609375,2.8334278120109493e-11,-107.07555694609376,noise,,0,0
92,2807.6171875,1.5773854927547642e-39,-389.61930004799035,noise,,0,0
93,2838.134765625,7.29958308574975e-11,-102.9656979090758,noise,,0,0
94,2868.65234375,4.4319978436663806e-39,-385.1326830667274,noise,,0,0
95,2899.169921875,2.0754670714041506e-10,-98.42751999679604,noise,,0,0
96,2929.6875,3.233938136197268e-40,-396.5013613930361,noise,,0,0
97,2960.205078125,2.3727961360183937e-11,-107.8460742063485,noise,,0,0
98,2990.72265625,1.2176616535281362e-38,-380.74341217596105,noise,,0,0
99,3021.240234375,2.4993525415831397e-12,-117.62040328034709,noise,,0,0
