bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
0,0.0,2.808267135924348e-34,-337.11429429482484,dc,,0,0
1,30.517578125,2.2636624528292196e-11,-108.05056179789625,noise,,0,0
2,61.03515625,7.79725599736509e-40,-392.67926054000793,noise,,0,0
3,91.552734375,1.6329696225130888e-10,-99.46889741288935,noise,,0,0
4,122.0703125,1.7323478649206813e-40,-399.21232741948154,noise,,0,0
5,152.587890625,2.419105678199229e-10,-97.7621300623945,noise,,0,0
6,183.10546875,6.328176331051244e-39,-383.58589275064446,noise,,0,0
7,213.623046875,1.3456112434128824e-11,-110.30948239824987,noise,,0,0
8,244.140625,4.6421652195234133e-39,-384.93147253702006,noise,,0,0
9,274.658203125,3.69821775136223e-11,-105.91875368222118,noise,,0,0
10,305.17578125,1.011084625019119e-40,-401.55080340719405,noise,,0,0
11,335.693359375,3.555725115952604e-09,-86.0893966769634,noise,,0,0
12,366.2109375,7.63513128442159e-40,-392.7705133803678,noise,,0,0
13,396.728515625,1.3517860981084231e-11,-110.28959871286206,noise,,0,0
14,427.24609375,4.647410726216932e-40,-394.9265679108731,noise,,0,0
15,457.763671875,1.316643332974029e-11,-110.40399702730389,noise,,0,0
16,488.28125,5.443388112561293e-40,-394.2399854655565,noise,,0,0
17,518.798828125,1.667428743720787e-12,-119.37820563346611,noise,,0,0
18,549.31640625,2.0082005591693308e-39,-388.57060763424886,noise,,0,0
19,579.833984375,1.2809740755129761e-10,-100.5232750655599,noise,,0,0
20,610.3515625,2.382702090406871e-39,-387.82798101254843,noise,,0,0
21,640.869140625,1.9548273032303727e-11,-108.68759450868068,noise,,0,0
22,671.38671875,6.977154363835198e-39,-383.1618951559683,noise,,0,0
23,701.904296875,7.90106360270191e-12,-112.62182289258773,noise,,0,0
24,732.421875,1.675711992289123e-39,-389.35668469378163,noise,,0,0
25,762.939453125,1.4049309051266037e-08,-80.12212881043725,noise,,0,0
26,793.45703125,1.4400859803232456e-39,-390.01479424674255,noise,,0,0
27,823.974609375,9.092087121010862e-11,-102.01204258579779,noise,,0,0
28,854.4921875,4.918486450989988e-39,-384.6803636772177,noise,,0,0
29,885.009765625,8.389932826198727e-12,-112.36109363418576,noise,,0,0
30,915.52734375,6.120500377984523e-40,-393.73080918000244,noise,,0,0
31,946.044921875,2.3200000516677918e-10,-97.9437985252967,noise,,0,0
