code,threshold_v,center_v,inl_lsb
0,-1.7,-1.693359375,0.0
1,-1.68671875,-1.6800781249999999,0.0
2,-1.6734375,-1.666796875,0.0
3,-1.66015625,-1.653515625,0.0
4,-1.6468749999999999,-1.640234375,0.0
5,-1.63359375,-1.626953125,0.0
6,-1.6203125,-1.6136718749999999,0.0
7,-1.60703125,-1.600390625,0.0
8,-1.59375,-1.587109375,0.0
9,-1.5804687499999999,-1.573828125,0.0
10,-1.5671875,-1.560546875,0.0
11,-1.55390625,-1.5472656249999999,0.0
12,-1.540625,-1.533984375,0.0
13,-1.52734375,-1.520703125,0.0
14,-1.5140624999999999,-1.507421875,0.0
15,-1.50078125,-1.494140625,0.0
16,-1.4875,-1.4808593749999999,0.0
17,-1.47421875,-1.467578125,0.0
18,-1.4609375,-1.454296875,0.0
19,-1.44765625,-1.441015625,0.0
20,-1.434375,-1.427734375,0.0
21,-1.42109375,-1.414453125,0.0
22,-1.4078125,-1.401171875,0.0
23,-1.39453125,-1.387890625,0.0
24,-1.38125,-1.374609375,0.0
25,-1.36796875,-1.361328125,0.0
26,-1.3546875,-1.348046875,0.0
27,-1.34140625,-1.334765625,0.0
28,-1.328125,-1.321484375,0.0
29,-1.31484375,-1.308203125,0.0
30,-1.3015625,-1.294921875,0.0
31,-1.28828125,-1.281640625,0.0
32,-1.275,-1.268359375,0.0
33,-1.26171875,-1.255078125,0.0
34,-1.2484375,-1.241796875,0.0
35,-1.23515625,-1.228515625,0.0
36,-1.221875,-1.215234375,0.0
37,-1.20859375,-1.201953125,0.0
38,-1.1953125,-1.1886718749999998,0.0
39,-1.18203125,-1.175390625,0.0
40,-1.16875,-1.162109375,0.0
41,-1.1554687499999998,-1.148828125,0.0
42,-1.1421875,-1.135546875,0.0
43,-1.12890625,-1.1222656249999998,0.0
44,-1.115625,-1.108984375,0.0
45,-1.10234375,-1.095703125,0.0
46,-1.0890624999999998,-1.082421875,0.0
47,-1.07578125,-1.069140625,0.0
48,-1.0625,-1.0558593749999998,0.0
49,-1.04921875,-1.042578125,0.0
50,-1.0359375,-1.029296875,0.0
51,-1.0226562499999998,-1.016015625,0.0
52,-1.009375,-1.002734375,0.0
53,-0.99609375,-0.9894531249999999,0.0
54,-0.9828125,-0.976171875,0.0
55,-0.96953125,-0.962890625,0.0
56,-0.9562499999999999,-0.949609375,0.0
57,-0.94296875,-0.936328125,0.0
58,-0.9296875,-0.9230468749999999,0.0
59,-0.91640625,-0.909765625,0.0
60,-0.903125,-0.896484375,0.0
61,-0.8898437499999999,-0.883203125,0.0
62,-0.8765625,-0.869921875,0.0
63,-0.86328125,-0.8566406249999999,0.0
64,-0.85,-0.843359375,0.0
65,-0.83671875,-0.830078125,0.0
66,-0.8234374999999999,-0.816796875,0.0
67,-0.81015625,-0.803515625,0.0
68,-0.796875,-0.7902343749999999,0.0
69,-0.78359375,-0.776953125,0.0
70,-0.7703125,-0.763671875,0.0
71,-0.7570312499999999,-0.750390625,0.0
72,-0.74375,-0.737109375,0.0
73,-0.73046875,-0.7238281249999999,0.0
74,-0.7171875,-0.710546875,0.0
75,-0.70390625,-0.697265625,0.0
76,-0.690625,-0.6839843750000001,0.0
77,-0.6773437499999999,-0.670703125,0.0
78,-0.6640625,-0.657421875,0.0
79,-0.6507812500000001,-0.6441406249999999,0.0
80,-0.6375,-0.630859375,0.0
81,-0.62421875,-0.6175781250000001,0.0
82,-0.6109374999999999,-0.604296875,0.0
83,-0.59765625,-0.591015625,0.0
84,-0.5843750000000001,-0.5777343749999999,0.0
85,-0.57109375,-0.564453125,0.0
86,-0.5578125,-0.5511718750000001,0.0
87,-0.5445312499999999,-0.537890625,0.0
88,-0.53125,-0.524609375,0.0
89,-0.5179687500000001,-0.5113281249999999,0.0
90,-0.5046875,-0.498046875,0.0
91,-0.49140625000000004,-0.4847656250000001,0.0
92,-0.4781249999999999,-0.47148437499999996,0.0
93,-0.46484375,-0.45820312500000004,0.0
94,-0.4515625000000001,-0.4449218749999999,0.0
95,-0.43828124999999996,-0.431640625,0.0
96,-0.42500000000000004,-0.4183593750000001,0.0
97,-0.4117187499999999,-0.40507812499999996,0.0
98,-0.3984375,-0.39179687500000004,0.0
99,-0.3851562500000001,-0.3785156249999999,0.0
100,-0.37187499999999996,-0.365234375,0.0
101,-0.35859375000000004,-0.3519531250000001,0.0
102,-0.3453124999999999,-0.33867187499999996,0.0
103,-0.33203125,-0.32539062500000004,0.0
104,-0.3187500000000001,-0.3121093749999999,0.0
105,-0.30546874999999996,-0.298828125,0.0
106,-0.29218750000000004,-0.2855468750000001,0.0
107,-0.2789062499999999,-0.27226562499999996,0.0
108,-0.265625,-0.25898437500000004,0.0
109,-0.2523437500000001,-0.2457031249999999,0.0
110,-0.23906249999999996,-0.232421875,0.0
111,-0.22578125000000004,-0.2191406250000001,0.0
112,-0.2124999999999999,-0.20585937499999996,0.0
113,-0.19921875,-0.19257812500000004,0.0
114,-0.1859375000000001,-0.1792968749999999,0.0
115,-0.17265624999999996,-0.166015625,0.0
116,-0.15937500000000004,-0.1527343750000001,0.0
117,-0.1460937499999999,-0.13945312499999996,0.0
118,-0.1328125,-0.12617187500000004,0.0
119,-0.11953125000000009,-0.11289062499999991,0.0
120,-0.10624999999999996,-0.099609375,0.0
121,-0.09296875000000004,-0.08632812500000009,0.0
122,-0.07968749999999991,-0.07304687499999996,0.0
123,-0.06640625,-0.059765625000000044,0.0
124,-0.05312500000000009,-0.04648437499999991,0.0
125,-0.039843749999999956,-0.033203125,0.0
126,-0.026562500000000044,-0.01992187500000009,0.0
127,-0.013281249999999911,-0.006640624999999956,0.0
128,0.0,0.006640624999999956,0.0
129,0.013281249999999911,0.01992187500000009,0.0
130,0.026562500000000044,0.033203125,0.0
131,0.039843749999999956,0.04648437499999991,0.0
132,0.05312500000000009,0.059765625000000044,0.0
133,0.06640625,0.07304687499999996,0.0
134,0.07968749999999991,0.08632812500000009,0.0
135,0.09296875000000004,0.099609375,0.0
136,0.10624999999999996,0.11289062499999991,0.0
137,0.11953125000000009,0.12617187500000004,0.0
138,0.1328125,0.13945312499999996,0.0
139,0.1460937499999999,0.1527343750000001,0.0
140,0.15937500000000004,0.166015625,0.0
141,0.17265624999999996,0.1792968749999999,0.0
142,0.1859375000000001,0.19257812500000004,0.0
143,0.19921875,0.20585937499999996,0.0
144,0.2124999999999999,0.2191406250000001,0.0
145,0.22578125000000004,0.232421875,0.0
146,0.23906249999999996,0.2457031249999999,0.0
147,0.2523437500000001,0.25898437500000004,0.0
148,0.265625,0.27226562499999996,0.0
149,0.2789062499999999,0.2855468750000001,0.0
150,0.29218750000000004,0.298828125,0.0
151,0.30546874999999996,0.31210937500000013,0.0
152,0.31874999999999987,0.32539062500000004,0.0
153,0.3320312499999998,0.33867187499999996,0.0
154,0.34531250000000013,0.35195312499999987,0.0
155,0.35859375000000004,0.3652343749999998,0.0
156,0.37187499999999996,0.37851562500000013,0.0
157,0.38515624999999987,0.39179687500000004,0.0
158,0.3984374999999998,0.40507812499999996,0.0
159,0.41171875000000013,0.41835937499999987,0.0
160,0.42500000000000004,0.4316406249999998,0.0
161,0.43828124999999996,0.44492187500000013,0.0
162,0.45156249999999987,0.45820312500000004,0.0
163,0.4648437499999998,0.47148437499999996,0.0
164,0.47812500000000013,0.48476562499999987,0.0
165,0.49140625000000004,0.4980468749999998,0.0
166,0.5046875,0.5113281250000001,0.0
167,0.5179687499999999,0.524609375,0.0
168,0.5312499999999998,0.537890625,0.0
169,0.5445312500000001,0.5511718749999999,0.0
170,0.5578125,0.5644531249999998,0.0
171,0.57109375,0.5777343750000001,0.0
172,0.5843749999999999,0.591015625,0.0
173,0.5976562499999998,0.604296875,0.0
174,0.6109375000000001,0.6175781249999999,0.0
175,0.62421875,0.6308593749999998,0.0
