sample,internal_bit_slot,eoc_int,dout_code,expected_code,status
0,0,0,0,0,PASS
0,1,0,0,0,PASS
0,2,0,0,0,PASS
0,3,0,0,0,PASS
0,4,0,0,0,PASS
0,5,0,0,0,PASS
0,6,0,0,0,PASS
0,7,0,0,0,PASS
0,8,1,0,0,PASS
0,9,0,0,0,PASS
1,0,0,0,0,PASS
1,1,0,0,0,PASS
1,2,0,0,0,PASS
1,3,0,0,0,PASS
1,4,0,0,0,PASS
1,5,0,0,0,PASS
1,6,0,0,0,PASS
1,7,0,0,0,PASS
1,8,1,120,120,PASS
1,9,0,120,120,PASS
2,0,0,120,120,PASS
2,1,0,120,120,PASS
2,2,0,120,120,PASS
2,3,0,120,120,PASS
2,4,0,120,120,PASS
2,5,0,120,120,PASS
2,6,0,120,120,PASS
2,7,0,120,120,PASS
2,8,1,128,128,PASS
2,9,0,128,128,PASS
3,0,0,128,128,PASS
3,1,0,128,128,PASS
3,2,0,128,128,PASS
3,3,0,128,128,PASS
3,4,0,128,128,PASS
3,5,0,128,128,PASS
3,6,0,128,128,PASS
3,7,0,128,128,PASS
3,8,1,129,129,PASS
3,9,0,129,129,PASS
4,0,0,129,129,PASS
4,1,0,129,129,PASS
4,2,0,129,129,PASS
4,3,0,129,129,PASS
4,4,0,129,129,PASS
4,5,0,129,129,PASS
4,6,0,129,129,PASS
4,7,0,129,129,PASS
4,8,1,255,255,PASS
4,9,0,255,255,PASS
