code,vdiff_center_v,direct_code,sar_code,oracle_code,status
0,-1.693359375,0,0,0,PASS
1,-1.6800781249999999,1,1,1,PASS
2,-1.666796875,2,2,2,PASS
3,-1.653515625,3,3,3,PASS
4,-1.640234375,4,4,4,PASS
5,-1.626953125,5,5,5,PASS
6,-1.6136718749999999,6,6,6,PASS
7,-1.600390625,7,7,7,PASS
8,-1.587109375,8,8,8,PASS
9,-1.573828125,9,9,9,PASS
10,-1.560546875,10,10,10,PASS
11,-1.5472656249999999,11,11,11,PASS
12,-1.533984375,12,12,12,PASS
13,-1.520703125,13,13,13,PASS
14,-1.507421875,14,14,14,PASS
15,-1.494140625,15,15,15,PASS
16,-1.4808593749999999,16,16,16,PASS
17,-1.467578125,17,17,17,PASS
18,-1.454296875,18,18,18,PASS
19,-1.441015625,19,19,19,PASS
20,-1.427734375,20,20,20,PASS
21,-1.414453125,21,21,21,PASS
22,-1.401171875,22,22,22,PASS
23,-1.387890625,23,23,23,PASS
24,-1.374609375,24,24,24,PASS
25,-1.361328125,25,25,25,PASS
26,-1.348046875,26,26,26,PASS
27,-1.334765625,27,27,27,PASS
28,-1.321484375,28,28,28,PASS
29,-1.308203125,29,29,29,PASS
30,-1.294921875,30,30,30,PASS
31,-1.281640625,31,31,31,PASS
32,-1.268359375,32,32,32,PASS
33,-1.255078125,33,33,33,PASS
34,-1.241796875,34,34,34,PASS
35,-1.228515625,35,35,35,PASS
36,-1.215234375,36,36,36,PASS
37,-1.201953125,37,37,37,PASS
38,-1.1886718749999998,38,38,38,PASS
39,-1.175390625,39,39,39,PASS
40,-1.162109375,40,40,40,PASS
41,-1.148828125,41,41,41,PASS
42,-1.135546875,42,42,42,PASS
43,-1.1222656249999998,43,43,43,PASS
44,-1.108984375,44,44,44,PASS
45,-1.095703125,45,45,45,PASS
46,-1.082421875,46,46,46,PASS
47,-1.069140625,47,47,47,PASS
48,-1.0558593749999998,48,48,48,PASS
49,-1.042578125,49,49,49,PASS
50,-1.029296875,50,50,50,PASS
51,-1.016015625,51,51,51,PASS
52,-1.002734375,52,52,52,PASS
53,-0.9894531249999999,53,53,53,PASS
54,-0.976171875,54,54,54,PASS
55,-0.962890625,55,55,55,PASS
56,-0.949609375,56,56,56,PASS
57,-0.936328125,57,57,57,PASS
58,-0.9230468749999999,58,58,58,PASS
59,-0.909765625,59,59,59,PASS
60,-0.896484375,60,60,60,PASS
61,-0.883203125,61,61,61,PASS
62,-0.869921875,62,62,62,PASS
63,-0.8566406249999999,63,63,63,PASS
64,-0.843359375,64,64,64,PASS
65,-0.830078125,65,65,65,PASS
66,-0.816796875,66,66,66,PASS
67,-0.803515625,67,67,67,PASS
68,-0.7902343749999999,68,68,68,PASS
69,-0.776953125,69,69,69,PASS
70,-0.763671875,70,70,70,PASS
71,-0.750390625,71,71,71,PASS
72,-0.737109375,72,72,72,PASS
73,-0.7238281249999999,73,73,73,PASS
74,-0.710546875,74,74,74,PASS
75,-0.697265625,75,75,75,PASS
76,-0.6839843750000001,76,76,76,PASS
77,-0.670703125,77,77,77,PASS
78,-0.657421875,78,78,78,PASS
79,-0.6441406249999999,79,79,79,PASS
80,-0.630859375,80,80,80,PASS
81,-0.6175781250000001,81,81,81,PASS
82,-0.604296875,82,82,82,PASS
83,-0.591015625,83,83,83,PASS
84,-0.5777343749999999,84,84,84,PASS
85,-0.564453125,85,85,85,PASS
86,-0.5511718750000001,86,86,86,PASS
87,-0.537890625,87,87,87,PASS
88,-0.524609375,88,88,88,PASS
89,-0.5113281249999999,89,89,89,PASS
90,-0.498046875,90,90,90,PASS
91,-0.4847656250000001,91,91,91,PASS
92,-0.47148437499999996,92,92,92,PASS
93,-0.45820312500000004,93,93,93,PASS
94,-0.4449218749999999,94,94,94,PASS
95,-0.431640625,95,95,95,PASS
96,-0.4183593750000001,96,96,96,PASS
97,-0.40507812499999996,97,97,97,PASS
98,-0.39179687500000004,98,98,98,PASS
99,-0.3785156249999999,99,99,99,PASS
100,-0.365234375,100,100,100,PASS
101,-0.3519531250000001,101,101,101,PASS
102,-0.33867187499999996,102,102,102,PASS
103,-0.32539062500000004,103,103,103,PASS
104,-0.3121093749999999,104,104,104,PASS
105,-0.298828125,105,105,105,PASS
106,-0.2855468750000001,106,106,106,PASS
107,-0.27226562499999996,107,107,107,PASS
108,-0.25898437500000004,108,108,108,PASS
109,-0.2457031249999999,109,109,109,PASS
110,-0.232421875,110,110,110,PASS
111,-0.2191406250000001,111,111,111,PASS
112,-0.20585937499999996,112,112,112,PASS
113,-0.19257812500000004,113,113,113,PASS
114,-0.1792968749999999,114,114,114,PASS
115,-0.166015625,115,115,115,PASS
116,-0.1527343750000001,116,116,116,PASS
117,-0.13945312499999996,117,117,117,PASS
118,-0.12617187500000004,118,118,118,PASS
119,-0.11289062499999991,119,119,119,PASS
120,-0.099609375,120,120,120,PASS
121,-0.08632812500000009,121,121,121,PASS
122,-0.07304687499999996,122,122,122,PASS
123,-0.059765625000000044,123,123,123,PASS
124,-0.04648437499999991,124,124,124,PASS
125,-0.033203125,125,125,125,PASS
126,-0.01992187500000009,126,126,126,PASS
127,-0.006640624999999956,127,127,127,PASS
128,0.006640624999999956,128,128,128,PASS
129,0.01992187500000009,129,129,129,PASS
130,0.033203125,130,130,130,PASS
131,0.04648437499999991,131,131,131,PASS
132,0.059765625000000044,132,132,132,PASS
133,0.07304687499999996,133,133,133,PASS
134,0.08632812500000009,134,134,134,PASS
135,0.099609375,135,135,135,PASS
136,0.11289062499999991,136,136,136,PASS
137,0.12617187500000004,137,137,137,PASS
138,0.13945312499999996,138,138,138,PASS
139,0.1527343750000001,139,139,139,PASS
140,0.166015625,140,140,140,PASS
141,0.1792968749999999,141,141,141,PASS
142,0.19257812500000004,142,142,142,PASS
143,0.20585937499999996,143,143,143,PASS
144,0.2191406250000001,144,144,144,PASS
145,0.232421875,145,145,145,PASS
146,0.2457031249999999,146,146,146,PASS
147,0.25898437500000004,147,147,147,PASS
148,0.27226562499999996,148,148,148,PASS
149,0.2855468750000001,149,149,149,PASS
150,0.298828125,150,150,150,PASS
151,0.31210937500000013,151,151,151,PASS
152,0.32539062500000004,152,152,152,PASS
153,0.33867187499999996,153,153,153,PASS
154,0.35195312499999987,154,154,154,PASS
155,0.3652343749999998,155,155,155,PASS
156,0.37851562500000013,156,156,156,PASS
157,0.39179687500000004,157,157,157,PASS
158,0.40507812499999996,158,158,158,PASS
159,0.41835937499999987,159,159,159,PASS
160,0.4316406249999998,160,160,160,PASS
161,0.44492187500000013,161,161,161,PASS
162,0.45820312500000004,162,162,162,PASS
163,0.47148437499999996,163,163,163,PASS
164,0.48476562499999987,164,164,164,PASS
165,0.4980468749999998,165,165,165,PASS
166,0.5113281250000001,166,166,166,PASS
167,0.524609375,167,167,167,PASS
168,0.537890625,168,168,168,PASS
169,0.5511718749999999,169,169,169,PASS
170,0.5644531249999998,170,170,170,PASS
171,0.5777343750000001,171,171,171,PASS
172,0.591015625,172,172,172,PASS
173,0.604296875,173,173,173,PASS
174,0.6175781249999999,174,174,174,PASS
175,0.6308593749999998,175,175,175,PASS
176,0.6441406250000001,176,176,176,PASS
177,0.657421875,177,177,177,PASS
178,0.670703125,178,178,178,PASS
179,0.6839843749999999,179,179,179,PASS
180,0.6972656249999998,180,180,180,PASS
181,0.7105468750000001,181,181,181,PASS
182,0.723828125,182,182,182,PASS
183,0.737109375,183,183,183,PASS
184,0.7503906249999999,184,184,184,PASS
185,0.7636718749999998,185,185,185,PASS
186,0.7769531250000001,186,186,186,PASS
187,0.790234375,187,187,187,PASS
188,0.803515625,188,188,188,PASS
189,0.8167968749999999,189,189,189,PASS
190,0.8300781249999998,190,190,190,PASS
191,0.8433593750000001,191,191,191,PASS
192,0.856640625,192,192,192,PASS
193,0.869921875,193,193,193,PASS
194,0.8832031249999999,194,194,194,PASS
195,0.8964843749999998,195,195,195,PASS
196,0.9097656250000001,196,196,196,PASS
197,0.923046875,197,197,197,PASS
198,0.936328125,198,198,198,PASS
199,0.9496093749999999,199,199,199,PASS
200,0.9628906249999998,200,200,200,PASS
201,0.9761718750000001,201,201,201,PASS
202,0.989453125,202,202,202,PASS
203,1.002734375,203,203,203,PASS
204,1.0160156249999999,204,204,204,PASS
205,1.0292968749999998,205,205,205,PASS
206,1.0425781250000001,206,206,206,PASS
207,1.055859375,207,207,207,PASS
208,1.069140625,208,208,208,PASS
209,1.0824218749999999,209,209,209,PASS
210,1.0957031249999998,210,210,210,PASS
211,1.1089843750000001,211,211,211,PASS
212,1.122265625,212,212,212,PASS
213,1.135546875,213,213,213,PASS
214,1.1488281249999999,214,214,214,PASS
215,1.1621093749999998,215,215,215,PASS
216,1.1753906250000001,216,216,216,PASS
217,1.188671875,217,217,217,PASS
218,1.201953125,218,218,218,PASS
219,1.2152343749999999,219,219,219,PASS
220,1.2285156249999998,220,220,220,PASS
221,1.2417968750000001,221,221,221,PASS
222,1.255078125,222,222,222,PASS
223,1.268359375,223,223,223,PASS
224,1.2816406249999999,224,224,224,PASS
225,1.2949218749999998,225,225,225,PASS
226,1.3082031250000001,226,226,226,PASS
227,1.321484375,227,227,227,PASS
228,1.334765625,228,228,228,PASS
229,1.3480468749999999,229,229,229,PASS
230,1.3613281249999998,230,230,230,PASS
231,1.3746093750000001,231,231,231,PASS
232,1.387890625,232,232,232,PASS
233,1.401171875,233,233,233,PASS
234,1.4144531249999999,234,234,234,PASS
235,1.4277343749999998,235,235,235,PASS
236,1.4410156250000001,236,236,236,PASS
237,1.454296875,237,237,237,PASS
238,1.467578125,238,238,238,PASS
239,1.4808593749999999,239,239,239,PASS
240,1.4941406249999998,240,240,240,PASS
241,1.5074218750000001,241,241,241,PASS
242,1.520703125,242,242,242,PASS
243,1.533984375,243,243,243,PASS
244,1.5472656249999999,244,244,244,PASS
245,1.5605468749999998,245,245,245,PASS
246,1.5738281250000001,246,246,246,PASS
247,1.587109375,247,247,247,PASS
248,1.600390625,248,248,248,PASS
249,1.6136718749999999,249,249,249,PASS
250,1.6269531249999998,250,250,250,PASS
251,1.6402343750000001,251,251,251,PASS
252,1.653515625,252,252,252,PASS
253,1.666796875,253,253,253,PASS
254,1.6800781249999999,254,254,254,PASS
255,1.6933593749999998,255,255,255,PASS
