transition_code,point,delta_lsb,vdiff_v,expected_code,direct_code,sar_code,oracle_code,status
1,minus_eps,-0.0001,-1.686720078125,0,0,0,0,PASS
1,exact,0.0,-1.68671875,1,1,1,1,PASS
1,plus_eps,0.0001,-1.686717421875,1,1,1,1,PASS
2,minus_eps,-0.0001,-1.6734388281249999,1,1,1,1,PASS
2,exact,0.0,-1.6734375,2,2,2,2,PASS
2,plus_eps,0.0001,-1.673436171875,2,2,2,2,PASS
3,minus_eps,-0.0001,-1.660157578125,2,2,2,2,PASS
3,exact,0.0,-1.66015625,3,3,3,3,PASS
3,plus_eps,0.0001,-1.660154921875,3,3,3,3,PASS
4,minus_eps,-0.0001,-1.6468763281249998,3,3,3,3,PASS
4,exact,0.0,-1.6468749999999999,4,4,4,4,PASS
4,plus_eps,0.0001,-1.646873671875,4,4,4,4,PASS
5,minus_eps,-0.0001,-1.633595078125,4,4,4,4,PASS
5,exact,0.0,-1.63359375,5,5,5,5,PASS
5,plus_eps,0.0001,-1.633592421875,5,5,5,5,PASS
6,minus_eps,-0.0001,-1.620313828125,5,5,5,5,PASS
6,exact,0.0,-1.6203125,6,6,6,6,PASS
6,plus_eps,0.0001,-1.620311171875,6,6,6,6,PASS
7,minus_eps,-0.0001,-1.6070325781249999,6,6,6,6,PASS
7,exact,0.0,-1.60703125,7,7,7,7,PASS
7,plus_eps,0.0001,-1.607029921875,7,7,7,7,PASS
8,minus_eps,-0.0001,-1.593751328125,7,7,7,7,PASS
8,exact,0.0,-1.59375,8,8,8,8,PASS
8,plus_eps,0.0001,-1.593748671875,8,8,8,8,PASS
9,minus_eps,-0.0001,-1.5804700781249998,8,8,8,8,PASS
9,exact,0.0,-1.5804687499999999,9,9,9,9,PASS
9,plus_eps,0.0001,-1.580467421875,9,9,9,9,PASS
10,minus_eps,-0.0001,-1.567188828125,9,9,9,9,PASS
10,exact,0.0,-1.5671875,10,10,10,10,PASS
10,plus_eps,0.0001,-1.567186171875,10,10,10,10,PASS
11,minus_eps,-0.0001,-1.553907578125,10,10,10,10,PASS
11,exact,0.0,-1.55390625,11,11,11,11,PASS
11,plus_eps,0.0001,-1.553904921875,11,11,11,11,PASS
12,minus_eps,-0.0001,-1.5406263281249999,11,11,11,11,PASS
12,exact,0.0,-1.540625,12,12,12,12,PASS
12,plus_eps,0.0001,-1.540623671875,12,12,12,12,PASS
13,minus_eps,-0.0001,-1.527345078125,12,12,12,12,PASS
13,exact,0.0,-1.52734375,13,13,13,13,PASS
13,plus_eps,0.0001,-1.527342421875,13,13,13,13,PASS
14,minus_eps,-0.0001,-1.5140638281249998,13,13,13,13,PASS
14,exact,0.0,-1.5140624999999999,14,14,14,14,PASS
14,plus_eps,0.0001,-1.514061171875,14,14,14,14,PASS
15,minus_eps,-0.0001,-1.500782578125,14,14,14,14,PASS
15,exact,0.0,-1.50078125,15,15,15,15,PASS
15,plus_eps,0.0001,-1.500779921875,15,15,15,15,PASS
16,minus_eps,-0.0001,-1.487501328125,15,15,15,15,PASS
16,exact,0.0,-1.4875,16,16,16,16,PASS
16,plus_eps,0.0001,-1.487498671875,16,16,16,16,PASS
17,minus_eps,-0.0001,-1.4742200781249999,16,16,16,16,PASS
17,exact,0.0,-1.47421875,17,17,17,17,PASS
17,plus_eps,0.0001,-1.474217421875,17,17,17,17,PASS
18,minus_eps,-0.0001,-1.460938828125,17,17,17,17,PASS
18,exact,0.0,-1.4609375,18,18,18,18,PASS
18,plus_eps,0.0001,-1.460936171875,18,18,18,18,PASS
19,minus_eps,-0.0001,-1.447657578125,18,18,18,18,PASS
19,exact,0.0,-1.44765625,19,19,19,19,PASS
19,plus_eps,0.0001,-1.4476549218750001,19,19,19,19,PASS
20,minus_eps,-0.0001,-1.434376328125,19,19,19,19,PASS
20,exact,0.0,-1.434375,20,20,20,20,PASS
20,plus_eps,0.0001,-1.434373671875,20,20,20,20,PASS
21,minus_eps,-0.0001,-1.421095078125,20,20,20,20,PASS
21,exact,0.0,-1.42109375,21,21,21,21,PASS
