case,vdiff_v,vinp_v,vinn_v,direct_code,sar_code,oracle_code,status,bit_sequence
0,-1.7,0.8,2.5,0,0,0,PASS,7 6 5 4 3 2 1 0
1,-1.6966796875,0.80166015625,2.49833984375,0,0,0,PASS,7 6 5 4 3 2 1 0
2,-0.01328125,1.643359375,1.656640625,127,127,127,PASS,7 6 5 4 3 2 1 0
3,-0.006640625,1.6466796875,1.6533203125,127,127,127,PASS,7 6 5 4 3 2 1 0
4,0,1.65,1.65,128,128,128,PASS,7 6 5 4 3 2 1 0
5,0.006640625,1.6533203125,1.6466796875,128,128,128,PASS,7 6 5 4 3 2 1 0
6,0.01328125,1.656640625,1.643359375,129,129,129,PASS,7 6 5 4 3 2 1 0
7,1.68671875,2.493359375,0.806640625,255,255,255,PASS,7 6 5 4 3 2 1 0
8,1.7,2.5,0.8,255,255,255,PASS,7 6 5 4 3 2 1 0
9,-1.68671875,0.806640625,2.493359375,1,1,1,PASS,7 6 5 4 3 2 1 0
10,-1.680078125,0.8099609375,2.4900390625,1,1,1,PASS,7 6 5 4 3 2 1 0
11,-1.6734375,0.81328125,2.48671875,2,2,2,PASS,7 6 5 4 3 2 1 0
12,-1.666796875,0.8166015625,2.4833984375,2,2,2,PASS,7 6 5 4 3 2 1 0
13,-1.66015625,0.819921875,2.480078125,3,3,3,PASS,7 6 5 4 3 2 1 0
14,-1.653515625,0.8232421875,2.4767578125,3,3,3,PASS,7 6 5 4 3 2 1 0
15,-0.0132812499999999,1.643359375,1.656640625,127,127,127,PASS,7 6 5 4 3 2 1 0
16,-0.00664062499999996,1.6466796875,1.6533203125,127,127,127,PASS,7 6 5 4 3 2 1 0
17,0,1.65,1.65,128,128,128,PASS,7 6 5 4 3 2 1 0
18,0.00664062499999996,1.6533203125,1.6466796875,128,128,128,PASS,7 6 5 4 3 2 1 0
19,0.0132812499999999,1.656640625,1.643359375,129,129,129,PASS,7 6 5 4 3 2 1 0
20,0.0199218750000001,1.6599609375,1.6400390625,129,129,129,PASS,7 6 5 4 3 2 1 0
21,1.6734375,2.48671875,0.81328125,254,254,254,PASS,7 6 5 4 3 2 1 0
22,1.680078125,2.4900390625,0.8099609375,254,254,254,PASS,7 6 5 4 3 2 1 0
23,1.68671875,2.493359375,0.806640625,255,255,255,PASS,7 6 5 4 3 2 1 0
24,1.693359375,2.4966796875,0.8033203125,255,255,255,PASS,7 6 5 4 3 2 1 0
