code,ramp_count,sine_count
0,128,0
1,128,0
2,128,0
3,128,0
4,128,0
5,128,0
6,128,0
7,128,0
8,128,0
9,128,0
10,128,0
11,128,0
12,128,0
13,128,0
14,128,0
15,128,10780
16,128,4713
17,128,3592
18,128,3024
19,128,2665
20,128,2411
21,128,2222
22,128,2070
23,128,1949
24,128,1847
25,128,1759
26,128,1685
27,128,1620
28,128,1562
29,128,1510
30,128,1464
31,128,1422
32,128,1384
33,128,1349
34,128,1318
35,128,1287
36,128,1261
37,128,1235
38,128,1211
39,128,1189
40,128,1169
41,128,1149
42,128,1131
43,128,1113
44,128,1098
45,128,1082
46,128,1067
47,128,1053
48,128,1040
49,128,1028
50,128,1016
51,128,1004
52,128,993
53,128,983
54,128,974
55,128,963
56,128,955
57,128,945
58,128,937
59,128,930
60,128,921
61,128,914
62,128,907
63,128,900
64,128,894
65,128,887
66,128,881
67,128,875
68,128,869
69,128,864
70,128,858
71,128,853
72,128,849
73,128,843
74,128,839
75,128,834
76,128,831
77,128,826
78,128,822
79,128,818
80,128,814
81,128,811
82,128,807
83,128,804
84,128,801
85,128,797
86,128,794
87,128,792
88,128,788
89,128,786
90,128,783
91,128,781
92,128,779
93,128,775
94,128,774
95,128,771
96,128,770
97,128,767
98,128,765
99,128,764
100,128,762
101,128,760
102,128,758
103,128,757
104,128,755
105,128,754
106,128,753
107,128,751
108,128,750
109,128,749
110,128,748
111,128,747
112,128,746
113,128,745
114,128,744
115,128,743
116,128,743
117,128,742
118,128,741
119,128,742
120,128,740
121,128,740
122,128,740
123,128,739
124,128,739
125,128,739
126,128,739
127,128,739
128,128,739
129,128,739
130,128,739
131,128,739
132,128,739
133,128,740
134,128,740
135,128,740
136,128,742
137,128,741
138,128,742
139,128,743
140,128,743
141,128,744
142,128,745
143,128,746
144,128,747
145,128,748
146,128,749
147,128,750
148,128,751
149,128,753
150,128,754
151,128,755
152,128,757
153,128,758
154,128,760
155,128,762
156,128,764
157,128,765
158,128,767
159,128,770
160,128,771
161,128,774
162,128,775
163,128,779
164,128,781
165,128,783
166,128,786
167,128,788
168,128,792
169,128,794
170,128,797
171,128,801
172,128,804
173,128,807
174,128,811
175,128,814
176,128,818
177,128,822
178,128,826
179,128,831
180,128,834
181,128,839
182,128,843
183,128,849
184,128,853
185,128,858
186,128,864
187,128,869
188,128,875
189,128,881
190,128,887
191,128,894
192,128,900
193,128,907
194,128,914
195,128,921
196,128,930
197,128,937
198,128,945
199,128,955
200,128,963
201,128,974
202,128,983
203,128,993
204,128,1004
205,128,1016
206,128,1028
207,128,1040
208,128,1053
209,128,1067
210,128,1082
211,128,1098
212,128,1113
213,128,1131
214,128,1149
215,128,1169
216,128,1189
217,128,1211
218,128,1235
219,128,1261
220,128,1287
221,128,1318
222,128,1349
223,128,1384
224,128,1422
225,128,1464
226,128,1510
227,128,1562
228,128,1620
229,128,1685
230,128,1759
231,128,1847
232,128,1949
233,128,2070
234,128,2222
235,128,2411
236,128,2665
237,128,3024
238,128,3592
239,128,4713
240,128,10780
241,128,0
242,128,0
243,128,0
244,128,0
245,128,0
246,128,0
247,128,0
248,128,0
249,128,0
250,128,0
251,128,0
252,128,0
253,128,0
254,128,0
255,128,0
