category,metric,variant,condition,project_target,ideal_expected,method,target,measured,unit,tolerance,status,model_path,raw_data_path,plot_path,tool,notes,evidence
Preflight,External core tools,baseline,,ngspice+cocotb+HDL simulator available,,tool probe,ngspice+cocotb+HDL simulator available,True,,all required,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\preflight_tools.csv,,python/docker,Container preflight is the authoritative EDA tool check.,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\preflight_tools.csv
Static,DNL,baseline,full-scale transition table,"< +/-1 LSB project, <=0.01 LSB ideal",0 LSB,deterministic transition widths,"< +/-1 LSB project, <=0.01 LSB ideal",2.6867397195928788e-14,LSB,<=0.01 LSB,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_dnl.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\dnl.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_dnl.csv
Static,Endpoint INL,baseline,full-scale transition table,"< +/-1.5 LSB project, <=0.01 LSB ideal",0 LSB,ideal transition table,"< +/-1.5 LSB project, <=0.01 LSB ideal",0.0,LSB,<=0.01 LSB,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_inl.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\inl_endpoint_bestfit.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\static_inl.csv
Static,Quantization error RMS,baseline,,1/sqrt(12) LSB,0.288675 LSB,random uniform input,1/sqrt(12) LSB,0.2888729004379287,LSB,+/-0.005 LSB,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\raw\quantization_error_lsb.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\quantization_error_histogram.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\raw\quantization_error_lsb.csv
Dynamic,SNDR worst,baseline,0.8823529411764706 FS low and near-Nyquist tones,>=44 dB,theory 48.83284675354814 dB,coherent FFT,>=44 dB,48.80429130384699,dB,project target,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sndr_summary.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv
Dynamic,ENOB worst,baseline,0.8823529411764706 FS low and near-Nyquist tones,>=7.0 bit,about 7.8 bit at the configured -1.09 dBFS input,SNDR formula,>=7.0 bit,7.81466632954269,bit,project target,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_enob_summary.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv
Dynamic,SQNR total TD baseline,baseline,0.8823529411764706 FS low and near-Nyquist tones,method validation,theory 48.83284675354814 dB,time-domain quantization-error power,method validation,48.78590230327425,dB,+/-0.75 dB vs theory,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqnr_total_time_domain_summary.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv
Dynamic,SQNR spectral baseline,baseline,0.8823529411764706 FS low and near-Nyquist tones,method validation,theory 48.83284675354814 dB,FFT nonharmonic quantization-noise power,method validation,48.88579228818422,dB,+/-0.75 dB vs theory,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqnr_spectral_summary.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv
Dynamic,SQDR baseline,baseline,0.8823529411764706 FS low and near-Nyquist tones,method validation,high for ideal quantizer; finite quantization spur floor,FFT folded harmonic quantization-distortion power,method validation,66.11119264111052,dB,direct/SAR/oracle agreement,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqdr_summary.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv
Dynamic,SQNDR baseline,baseline,0.8823529411764706 FS low and near-Nyquist tones,>=44 dB project via SNDR/SQNDR,theory 48.83284675354814 dB,SQNR/SQDR power closure,>=44 dB project via SNDR/SQNDR,48.80429130384699,dB,project target,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqndr_summary.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_metrics.csv
