sample,vdiff_v,cycle,bit_index,trial_code,threshold_v,comparator_decision,partial_code,final_code
0,-1.698671875,1,7,128,0.0,0,0,0
0,-1.698671875,2,6,64,-0.85,0,0,0
0,-1.698671875,3,5,32,-1.275,0,0,0
0,-1.698671875,4,4,16,-1.4875,0,0,0
0,-1.698671875,5,3,8,-1.59375,0,0,0
0,-1.698671875,6,2,4,-1.6468749999999999,0,0,0
0,-1.698671875,7,1,2,-1.6734375,0,0,0
0,-1.698671875,8,0,1,-1.68671875,0,0,0
0,-1.698671875,8,EOC_INT,,,,0,0
1,-0.1,1,7,128,0.0,0,0,120
1,-0.1,2,6,64,-0.85,1,64,120
1,-0.1,3,5,96,-0.42500000000000004,1,96,120
1,-0.1,4,4,112,-0.2124999999999999,1,112,120
1,-0.1,5,3,120,-0.10624999999999996,1,120,120
1,-0.1,6,2,124,-0.05312500000000009,0,120,120
1,-0.1,7,1,122,-0.07968749999999991,0,120,120
1,-0.1,8,0,121,-0.09296875000000004,0,120,120
1,-0.1,8,EOC_INT,,,,120,120
2,0.0,1,7,128,0.0,1,128,128
2,0.0,2,6,192,0.8499999999999999,0,128,128
2,0.0,3,5,160,0.42500000000000004,0,128,128
2,0.0,4,4,144,0.2124999999999999,0,128,128
2,0.0,5,3,136,0.10624999999999996,0,128,128
2,0.0,6,2,132,0.05312500000000009,0,128,128
2,0.0,7,1,130,0.026562500000000044,0,128,128
2,0.0,8,0,129,0.013281249999999911,0,128,128
2,0.0,8,EOC_INT,,,,128,128
3,0.013281249999999911,1,7,128,0.0,1,128,129
3,0.013281249999999911,2,6,192,0.8499999999999999,0,128,129
3,0.013281249999999911,3,5,160,0.42500000000000004,0,128,129
3,0.013281249999999911,4,4,144,0.2124999999999999,0,128,129
3,0.013281249999999911,5,3,136,0.10624999999999996,0,128,129
3,0.013281249999999911,6,2,132,0.05312500000000009,0,128,129
3,0.013281249999999911,7,1,130,0.026562500000000044,0,128,129
3,0.013281249999999911,8,0,129,0.013281249999999911,1,129,129
3,0.013281249999999911,8,EOC_INT,,,,129,129
