case,vdiff_v,cycle,bit_index,trial_code,threshold_v,comparator_decision,partial_code,final_code
low,-1.02,1,7,128,0.0,0,0,51
low,-1.02,2,6,64,-0.85,0,0,51
low,-1.02,3,5,32,-1.275,1,32,51
low,-1.02,4,4,48,-1.0625,1,48,51
low,-1.02,5,3,56,-0.9562499999999999,0,48,51
low,-1.02,6,2,52,-1.009375,0,48,51
low,-1.02,7,1,50,-1.0359375,1,50,51
low,-1.02,8,0,51,-1.0226562499999998,1,51,51
mid,0.0,1,7,128,0.0,1,128,128
mid,0.0,2,6,192,0.8499999999999999,0,128,128
mid,0.0,3,5,160,0.42500000000000004,0,128,128
mid,0.0,4,4,144,0.2124999999999999,0,128,128
mid,0.0,5,3,136,0.10624999999999996,0,128,128
mid,0.0,6,2,132,0.05312500000000009,0,128,128
mid,0.0,7,1,130,0.026562500000000044,0,128,128
mid,0.0,8,0,129,0.013281249999999911,0,128,128
high,1.02,1,7,128,0.0,1,128,204
high,1.02,2,6,192,0.8499999999999999,1,192,204
high,1.02,3,5,224,1.2750000000000001,0,192,204
high,1.02,4,4,208,1.0624999999999998,0,192,204
high,1.02,5,3,200,0.95625,1,200,204
high,1.02,6,2,204,1.0093750000000001,1,204,204
high,1.02,7,1,206,1.0359375,0,204,204
high,1.02,8,0,205,1.02265625,0,204,204
