transition_code,endpoint_inl_lsb,bestfit_inl_lsb
1,0.0,-2.842170943040401e-14
2,0.0,-2.842170943040401e-14
3,0.0,-2.842170943040401e-14
4,0.0,-2.842170943040401e-14
5,0.0,-2.842170943040401e-14
6,0.0,-2.842170943040401e-14
7,0.0,-2.842170943040401e-14
8,0.0,-2.842170943040401e-14
9,0.0,-2.842170943040401e-14
10,0.0,-2.842170943040401e-14
11,0.0,-2.842170943040401e-14
12,0.0,-2.842170943040401e-14
13,0.0,-2.842170943040401e-14
14,0.0,-2.842170943040401e-14
15,0.0,-2.842170943040401e-14
16,0.0,-2.842170943040401e-14
17,0.0,-2.842170943040401e-14
18,0.0,-2.842170943040401e-14
19,0.0,-4.263256414560601e-14
20,0.0,-2.842170943040401e-14
21,0.0,-2.842170943040401e-14
22,0.0,-2.842170943040401e-14
23,0.0,-2.842170943040401e-14
24,0.0,-4.263256414560601e-14
25,0.0,-2.842170943040401e-14
26,0.0,-2.842170943040401e-14
27,0.0,-1.4210854715202004e-14
28,0.0,-1.4210854715202004e-14
29,0.0,-2.842170943040401e-14
30,0.0,-1.4210854715202004e-14
31,0.0,-1.4210854715202004e-14
32,0.0,-1.4210854715202004e-14
33,0.0,-1.4210854715202004e-14
34,0.0,-2.842170943040401e-14
35,0.0,-1.4210854715202004e-14
36,0.0,-1.4210854715202004e-14
37,0.0,-1.4210854715202004e-14
38,0.0,-1.4210854715202004e-14
39,0.0,-2.842170943040401e-14
40,0.0,-1.4210854715202004e-14
41,0.0,0.0
42,0.0,-1.4210854715202004e-14
43,0.0,-1.4210854715202004e-14
44,0.0,-2.842170943040401e-14
45,0.0,-1.4210854715202004e-14
46,0.0,0.0
47,0.0,-1.4210854715202004e-14
48,0.0,-1.4210854715202004e-14
49,0.0,-2.842170943040401e-14
50,0.0,-1.4210854715202004e-14
51,0.0,0.0
52,0.0,-1.4210854715202004e-14
53,0.0,-1.4210854715202004e-14
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,-7.105427357601002e-15
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,-7.105427357601002e-15
77,0.0,7.105427357601002e-15
78,0.0,0.0
79,0.0,-7.105427357601002e-15
80,0.0,0.0
81,0.0,-7.105427357601002e-15
82,0.0,7.105427357601002e-15
83,0.0,0.0
84,0.0,-7.105427357601002e-15
85,0.0,0.0
86,0.0,-7.105427357601002e-15
87,0.0,7.105427357601002e-15
88,0.0,0.0
89,0.0,-7.105427357601002e-15
90,0.0,0.0
91,0.0,-7.105427357601002e-15
92,0.0,7.105427357601002e-15
93,0.0,0.0
94,0.0,-7.105427357601002e-15
95,0.0,0.0
96,0.0,-7.105427357601002e-15
97,0.0,7.105427357601002e-15
98,0.0,0.0
99,0.0,-7.105427357601002e-15
100,0.0,3.552713678800501e-15
101,0.0,-3.552713678800501e-15
102,0.0,7.105427357601002e-15
103,0.0,0.0
104,0.0,-7.105427357601002e-15
105,0.0,3.552713678800501e-15
106,0.0,-3.552713678800501e-15
107,0.0,2.1316282072803006e-14
108,0.0,1.4210854715202004e-14
109,0.0,7.105427357601002e-15
110,0.0,1.7763568394002505e-14
111,0.0,1.0658141036401503e-14
112,0.0,2.1316282072803006e-14
113,0.0,1.4210854715202004e-14
114,0.0,7.105427357601002e-15
115,0.0,1.7763568394002505e-14
116,0.0,1.0658141036401503e-14
117,0.0,2.1316282072803006e-14
118,0.0,1.4210854715202004e-14
119,0.0,7.105427357601002e-15
120,0.0,1.7763568394002505e-14
121,0.0,1.0658141036401503e-14
122,0.0,2.042810365310288e-14
123,0.0,1.4210854715202004e-14
124,0.0,7.105427357601002e-15
125,0.0,1.7319479184152442e-14
126,0.0,1.0658141036401503e-14
127,0.0,2.0872192862952943e-14
128,0.0,1.4210854715202004e-14
129,0.0,2.1760371282653068e-14
130,0.0,3.197442310920451e-14
131,0.0,2.531308496145357e-14
132,0.0,3.552713678800501e-14
133,0.0,2.842170943040401e-14
134,0.0,2.220446049250313e-14
135,0.0,3.197442310920451e-14
136,0.0,2.4868995751603507e-14
137,0.0,3.552713678800501e-14
138,0.0,2.842170943040401e-14
139,0.0,2.1316282072803006e-14
140,0.0,3.197442310920451e-14
141,0.0,2.4868995751603507e-14
142,0.0,3.552713678800501e-14
143,0.0,2.842170943040401e-14
144,0.0,2.1316282072803006e-14
145,0.0,3.197442310920451e-14
146,0.0,2.4868995751603507e-14
147,0.0,3.552713678800501e-14
148,0.0,2.842170943040401e-14
149,0.0,2.1316282072803006e-14
150,0.0,3.197442310920451e-14
151,0.0,2.4868995751603507e-14
152,0.0,1.7763568394002505e-14
153,0.0,1.0658141036401503e-14
154,0.0,3.907985046680551e-14
155,0.0,3.197442310920451e-14
156,0.0,2.4868995751603507e-14
157,0.0,1.7763568394002505e-14
158,0.0,1.4210854715202004e-14
159,0.0,3.907985046680551e-14
160,0.0,3.552713678800501e-14
161,0.0,2.842170943040401e-14
162,0.0,2.1316282072803006e-14
163,0.0,1.4210854715202004e-14
164,0.0,4.263256414560601e-14
165,0.0,3.552713678800501e-14
166,0.0,2.842170943040401e-14
167,0.0,2.1316282072803006e-14
168,0.0,1.4210854715202004e-14
169,0.0,4.263256414560601e-14
170,0.0,3.552713678800501e-14
171,0.0,2.842170943040401e-14
172,0.0,2.1316282072803006e-14
173,0.0,1.4210854715202004e-14
174,0.0,4.263256414560601e-14
175,0.0,3.552713678800501e-14
176,0.0,2.842170943040401e-14
177,0.0,2.1316282072803006e-14
178,0.0,1.4210854715202004e-14
179,0.0,4.263256414560601e-14
180,0.0,3.552713678800501e-14
181,0.0,2.842170943040401e-14
182,0.0,2.1316282072803006e-14
183,0.0,1.4210854715202004e-14
184,0.0,4.263256414560601e-14
185,0.0,3.552713678800501e-14
186,0.0,2.842170943040401e-14
187,0.0,2.1316282072803006e-14
188,0.0,1.4210854715202004e-14
189,0.0,4.263256414560601e-14
190,0.0,3.552713678800501e-14
191,0.0,2.842170943040401e-14
192,0.0,2.1316282072803006e-14
193,0.0,1.4210854715202004e-14
194,0.0,4.263256414560601e-14
195,0.0,2.842170943040401e-14
196,0.0,2.842170943040401e-14
197,0.0,1.4210854715202004e-14
198,0.0,1.4210854715202004e-14
199,0.0,4.263256414560601e-14
200,0.0,2.842170943040401e-14
201,0.0,2.842170943040401e-14
202,0.0,1.4210854715202004e-14
203,0.0,1.4210854715202004e-14
204,0.0,4.263256414560601e-14
205,0.0,2.842170943040401e-14
206,0.0,2.842170943040401e-14
207,0.0,1.4210854715202004e-14
208,0.0,1.4210854715202004e-14
209,0.0,4.263256414560601e-14
210,0.0,2.842170943040401e-14
211,0.0,2.842170943040401e-14
212,0.0,1.4210854715202004e-14
213,0.0,1.4210854715202004e-14
214,0.0,7.105427357601002e-14
215,0.0,5.684341886080802e-14
216,0.0,5.684341886080802e-14
217,0.0,4.263256414560601e-14
218,0.0,4.263256414560601e-14
219,0.0,7.105427357601002e-14
220,0.0,5.684341886080802e-14
221,0.0,5.684341886080802e-14
222,0.0,4.263256414560601e-14
223,0.0,4.263256414560601e-14
224,0.0,7.105427357601002e-14
225,0.0,5.684341886080802e-14
226,0.0,5.684341886080802e-14
227,0.0,4.263256414560601e-14
228,0.0,4.263256414560601e-14
229,0.0,7.105427357601002e-14
230,0.0,5.684341886080802e-14
231,0.0,5.684341886080802e-14
232,0.0,4.263256414560601e-14
233,0.0,4.263256414560601e-14
234,0.0,7.105427357601002e-14
235,0.0,5.684341886080802e-14
236,0.0,5.684341886080802e-14
237,0.0,4.263256414560601e-14
238,0.0,4.263256414560601e-14
239,0.0,7.105427357601002e-14
240,0.0,5.684341886080802e-14
241,0.0,5.684341886080802e-14
242,0.0,5.684341886080802e-14
243,0.0,4.263256414560601e-14
244,0.0,7.105427357601002e-14
245,0.0,5.684341886080802e-14
246,0.0,5.684341886080802e-14
247,0.0,5.684341886080802e-14
248,0.0,4.263256414560601e-14
249,0.0,7.105427357601002e-14
250,0.0,5.684341886080802e-14
251,0.0,5.684341886080802e-14
252,0.0,5.684341886080802e-14
253,0.0,4.263256414560601e-14
254,0.0,7.105427357601002e-14
255,0.0,5.684341886080802e-14
