sample,source_sample_index,t_sample_s,vdiff_v,direct_code,sar_code,oracle_code
0,16,8e-06,1.41975107681972,234,234,234
1,17,8.5e-06,1.3670717727001747,230,230,230
2,18,9e-06,1.301911427456404,226,226,226
3,19,9.5e-06,1.2248649395896396,220,220,220
4,20,1e-05,1.1366357252648163,213,213,213
5,21,1.05e-05,1.0380292962877775,206,206,206
6,22,1.1e-05,0.9299459059734929,198,198,198
7,23,1.15e-05,0.8133723300467627,189,189,189
8,24,1.2e-05,0.6893728576138309,179,179,179
9,25,1.25e-05,0.5590795744552131,170,170,170
10,26,1.3e-05,0.4236820273509593,159,159,159
11,27,1.35e-05,0.284416363800618,149,149,149
12,28,1.4e-05,0.14255404628968338,138,138,138
13,29,1.45e-05,-0.0006097558614118076,127,127,127
14,30,1.5e-05,-0.1437679910860785,117,117,117
15,31,1.55e-05,-0.28561365864244387,106,106,106
16,32,1.6e-05,-0.42485174122021235,96,96,96
17,33,1.65e-05,-0.5602110281416306,85,85,85
18,34,1.7e-05,-0.6904557212135467,76,76,76
19,35,1.75e-05,-0.8143967172718807,66,66,66
20,36,1.8e-05,-0.9309024644115506,57,57,57
21,37,1.85e-05,-1.038909292787054,49,49,49
22,38,1.9e-05,-1.1374311256659395,42,42,42
23,39,1.95e-05,-1.2255684820755521,35,35,35
24,40,2e-05,-1.302516688851034,29,29,29
25,41,2.05e-05,-1.3675732271105088,25,25,25
26,42,2.1e-05,-1.4201441460858968,21,21,21
27,43,2.15e-05,-1.459749485752587,18,18,18
28,44,2.2e-05,-1.4860276587506542,16,16,16
29,45,2.25e-05,-1.498738751591715,15,15,15
30,46,2.3e-05,-1.4977667150121896,15,15,15
31,47,2.35e-05,-1.4831204234755593,16,16,16
32,48,2.4e-05,-1.4549335941506198,18,18,18
33,49,2.45e-05,-1.4134635661054373,21,21,21
34,50,2.5e-05,-1.3590889508626773,25,25,25
35,51,2.55e-05,-1.2923061757661785,30,30,30
36,52,2.6e-05,-1.2137249517170177,36,36,36
37,53,2.65e-05,-1.1240627066575564,43,43,43
38,54,2.7e-05,-1.0241380356244452,50,50,50
39,55,2.75e-05,-0.9148632271700456,59,59,59
40,56,2.8e-05,-0.7972359343842643,67,67,67
41,57,2.85e-05,-0.6723300665584124,77,77,77
42,58,2.9e-05,-0.5412859846480189,87,87,87
43,59,2.95e-05,-0.40530009004770606,97,97,97
44,60,3e-05,-0.26561390173015365,108,108,108
45,61,3.05e-05,-0.12350272147226563,118,118,118
46,62,3.1e-05,0.019736009347657894,129,129,129
47,63,3.15e-05,0.16279455508204527,140,140,140
48,64,3.2e-05,0.30436682513043556,150,150,150
49,65,3.25e-05,0.4431602982369507,161,161,161
50,66,3.3e-05,0.5779078229028829,171,171,171
51,67,3.35e-05,0.7073791861794141,181,181,181
52,68,3.4e-05,0.8303923452201208,190,190,190
53,69,3.45e-05,0.9458242190518862,199,199,199
54,70,3.5e-05,1.0526209420378707,207,207,207
55,71,3.55e-05,1.1498074854208866,214,214,214
56,72,3.6e-05,1.2364965591047559,221,221,221
57,73,3.65e-05,1.3118967124024858,226,226,226
58,74,3.7e-05,1.3753195597933783,231,231,231
59,75,3.75e-05,1.4261860657196028,235,235,235
60,76,3.8e-05,1.4640318310435356,238,238,238
61,77,3.85e-05,1.48851133290177,240,240,240
62,78,3.9e-05,1.4994010792469283,240,240,240
63,79,3.95e-05,1.4966016492770597,240,240,240
64,80,4e-05,1.4801386011239872,239,239,239
65,81,4.05e-05,1.4501622385136246,237,237,237
66,82,4.1e-05,1.4069462385285991,233,233,233
67,83,4.15e-05,1.3508851530013815,229,229,229
68,84,4.2e-05,1.2824908063496125,224,224,224
69,85,4.25e-05,1.2023876227405297,218,218,218
70,86,4.3e-05,1.1113069252463907,211,211,211
71,87,4.35e-05,1.0100802590382307,204,204,204
72,88,4.4e-05,0.8996317995756287,195,195,195
73,89,4.45e-05,0.7809699151039038,186,186,186
74,90,4.5e-05,0.6551779604911318,177,177,177
75,91,4.55e-05,0.523404386455098,167,167,167
76,92,4.6e-05,0.3868522544805567,157,157,157
77,93,4.65e-05,0.24676825315314682,146,146,146
78,94,4.7e-05,0.10443131618822407,135,135,135
79,95,4.75e-05,-0.038859053930710305,125,125,125
80,96,4.8e-05,-0.18179465010152948,114,114,114
81,97,4.85e-05,-0.3230705042241314,103,103,103
82,98,4.9e-05,-0.4613968012497556,93,93,93
83,99,4.95e-05,-0.5955106548865345,83,83,83
84,100,5e-05,-0.7241876374518924,73,73,73
85,101,5.05e-05,-0.846252958606935,64,64,64
86,102,5.1e-05,-0.9605921909136875,55,55,55
87,103,5.15e-05,-1.0661614442933476,47,47,47
88,104,5.2e-05,-1.1619968964951743,40,40,40
89,105,5.25e-05,-1.2472235925651038,34,34,34
90,106,5.3e-05,-1.3210634329769995,28,28,28
91,107,5.35e-05,-1.3828422774968285,23,23,23
92,108,5.4e-05,-1.431996099923146,20,20,20
93,109,5.45e-05,-1.4680761375125706,17,17,17
94,110,5.5e-05,-1.490752988077222,15,15,15
95,111,5.55e-05,-1.4998196173485874,15,15,15
96,112,5.6e-05,-1.4951932491513016,15,15,15
97,113,5.65e-05,-1.4769161211299997,16,16,16
98,114,5.7e-05,-1.4451550991296371,19,19,19
99,115,5.75e-05,-1.400200153749894,22,22,22
100,116,5.8e-05,-1.3424617129823535,26,26,26
101,117,5.85e-05,-1.2724669151002652,32,32,32
102,118,5.9e-05,-1.1908547960111022,38,38,38
103,119,5.95e-05,-1.0983704550102547,45,45,45
104,120,6e-05,-0.995858252201142,53,53,53
105,121,6.05e-05,-0.8842540996876849,61,61,61
106,122,6.1e-05,-0.764576916918712,70,70,70
107,123,6.15e-05,-0.6379193281950116,79,79,79
108,124,6.2e-05,-0.5054376872685404,89,89,89
109,125,6.25e-05,-0.36834152010686483,100,100,100
110,126,6.3e-05,-0.2278824822078836,110,110,110
111,127,6.35e-05,-0.08534293128191407,121,121,121
112,128,6.4e-05,0.05797578037011428,132,132,132
113,129,6.45e-05,0.20076518689460035,143,143,143
114,130,6.5e-05,0.3417216548682486,153,153,153
115,131,6.55e-05,0.479558285162103,164,164,164
116,132,6.6e-05,0.6130166620254549,174,174,174
117,133,6.65e-05,0.7408783421232351,183,183,183
118,134,6.7e-05,0.8619759786347564,192,192,192
119,135,6.75e-05,0.9752039788533815,201,201,201
120,136,6.8e-05,1.079528597985775,209,209,209
121,137,6.85e-05,1.1739973769967509,216,216,216
122,138,6.9e-05,1.2577478383344067,222,222,222
123,139,6.95e-05,1.3300153601456672,228,228,228
124,140,7e-05,1.3901401570924956,232,232,232
125,141,7.05e-05,1.4375733040355796,236,236,236
126,142,7.1e-05,1.4718817475906925,238,238,238
127,143,7.15e-05,1.4927522598034069,240,240,240
128,144,7.2e-05,1.4999942978460432,240,240,240
129,145,7.25e-05,1.4935417436285068,240,240,240
130,146,7.3e-05,1.4734535074407715,238,238,238
131,147,7.35e-05,1.4399129901159031,236,236,236
132,148,7.4e-05,1.3932264086239374,232,232,232
133,149,7.45e-05,1.333820000383558,228,228,228
134,150,7.5e-05,1.2622361318155322,223,223,223
135,151,7.55e-05,1.1791283466658942,216,216,216
136,152,7.6e-05,1.0852553993065142,209,209,209
137,153,7.65e-05,0.9814743274875992,201,201,201
138,154,7.7e-05,0.8687326277862495,193,193,193
139,155,7.75e-05,0.7480596051873895,184,184,184
140,156,7.8e-05,0.6205569757733181,174,174,174
141,157,7.85e-05,0.48738880831711917,164,164,164
142,158,7.9e-05,0.34977089661078853,154,154,154
143,159,7.95e-05,0.20895965955619367,143,143,143
144,160,8e-05,0.06624067035843681,132,132,132
145,161,8.05e-05,-0.07708308045268217,122,122,122
146,162,8.1e-05,-0.21970308101723457,111,111,111
147,163,8.15e-05,-0.3603172445481668,100,100,100
148,164,8.2e-05,-0.49764179707492545,90,90,90
149,165,8.25e-05,-0.6304229979953833,80,80,80
150,166,8.3e-05,-0.7574485864302605,70,70,70
151,167,8.35e-05,-0.8775588488774974,61,61,61
152,168,8.4e-05,-0.9896572071215377,53,53,53
153,169,8.45e-05,-1.092720229732414,45,45,45
154,170,8.5e-05,-1.1858069757520284,38,38,38
155,171,8.55e-05,-1.2680675852619832,32,32,32
156,172,8.6e-05,-1.338751038403116,27,27,27
157,173,8.65e-05,-1.3972120120087328,22,22,22
158,174,8.7e-05,-1.4429167712521007,19,19,19
159,175,8.75e-05,-1.4754480425188559,16,16,16
160,176,8.8e-05,-1.494508823016159,15,15,15
161,177,8.85e-05,-1.4999250923377685,15,15,15
162,178,8.9e-05,-1.491647401229086,15,15,15
163,179,8.95e-05,-1.4697513230471246,17,17,17
164,180,9e-05,-1.43443676379368,19,19,19
165,181,9.05e-05,-1.3860261370209355,23,23,23
166,182,9.1e-05,-1.3249614202721822,28,28,28
