sample,source_sample_index,t_sample_s,vdiff_v,direct_code,sar_code,oracle_code
0,16,8e-06,-0.8894732991665608,61,61,61
1,17,8.5e-06,0.9635183044159727,200,200,200
2,18,9e-06,-1.0337649182118906,50,50,50
3,19,9.5e-06,1.0999362136539412,210,210,210
4,20,1e-05,-1.1617713296023744,40,40,40
5,21,1.05e-05,1.219026499047387,219,219,219
6,22,1.1e-05,-1.2714760100899054,32,32,32
7,23,1.15e-05,1.3189130957452537,227,227,227
8,24,1.2e-05,-1.3611507490620263,25,25,25
9,25,1.25e-05,1.3980224603427538,233,233,233
10,26,1.3e-05,-1.429382873560097,20,20,20
11,27,1.35e-05,1.4551083593807987,237,237,237
12,28,1.4e-05,-1.4750975025385127,16,16,16
13,29,1.45e-05,1.4892715016340492,240,240,240
14,30,1.5e-05,-1.4975744797870436,15,15,15
15,31,1.55e-05,1.4999737049143436,240,240,240
16,32,1.6e-05,-1.4964597187667659,15,15,15
17,33,1.65e-05,1.4870463742154902,239,239,239
18,34,1.7e-05,-1.4717707806411364,17,17,17
19,35,1.75e-05,1.4506931576407878,237,237,237
20,36,1.8e-05,-1.4238965976297182,20,20,20
21,37,1.85e-05,1.3914867382736142,232,232,232
22,38,1.9e-05,-1.3535913460427373,26,26,26
23,39,1.95e-05,1.3103598125296574,226,226,226
24,40,2e-05,-1.2619625655162692,32,32,32
25,41,2.05e-05,1.2085903971116352,218,218,218
26,42,2.1e-05,-1.1504537116094578,41,41,41
27,43,2.15e-05,1.0877816960302216,209,209,209
28,44,2.2e-05,-1.020821416617761,51,51,51
29,45,2.25e-05,0.9498368448523051,199,199,199
30,46,2.3e-05,-0.875107816819467,62,62,62
31,47,2.35e-05,0.7969289300376412,188,188,188
32,48,2.4e-05,-0.7156083820927323,74,74,74
33,49,2.45e-05,0.6314667556585645,175,175,175
34,50,2.5e-05,-0.5448357546926719,86,86,86
35,51,2.55e-05,0.45605689678961364,162,162,162
36,52,2.6e-05,-0.3654801668470743,100,100,100
37,53,2.65e-05,0.27346263735167353,148,148,148
38,54,2.7e-05,-0.18036706072441447,114,114,114
39,55,2.75e-05,0.08656043927443766,134,134,134
40,56,2.8e-05,0.0075874216011364536,128,128,128
41,57,2.85e-05,-0.10170537126772597,120,120,120
42,58,2.9e-05,0.1954223770070149,142,142,142
43,59,2.95e-05,-0.28836898670582967,106,106,106
44,60,3e-05,0.38017878531397975,156,156,156
45,61,3.05e-05,-0.470489839329151,92,92,92
46,62,3.1e-05,0.558946123615012,170,170,170
47,63,3.15e-05,-0.6451989249268841,79,79,79
48,64,3.2e-05,0.7289082166126095,182,182,182
49,65,3.25e-05,-0.8097439990690041,67,67,67
50,66,3.3e-05,0.8873876006695798,194,194,194
51,67,3.35e-05,-0.9615329340350027,55,55,55
52,68,3.4e-05,1.0318877026938085,205,205,205
53,69,3.45e-05,-1.098174553376491,45,45,45
54,70,3.5e-05,1.1601321694002051,215,215,215
55,71,3.55e-05,-1.2175163008341763,36,36,36
56,72,3.6e-05,1.2701007273840865,223,223,223
57,73,3.65e-05,-1.317678150200003,28,28,28
58,74,3.7e-05,1.3600610090919691,230,230,230
59,75,3.75e-05,-1.3970822219316508,22,22,22
60,76,3.8e-05,1.428595843325168,235,235,235
61,77,3.85e-05,-1.4544776399604797,18,18,18
62,78,3.9e-05,1.4746255803611905,239,239,239
63,79,3.95e-05,-1.4889602371160202,15,15,15
64,80,4e-05,1.4974250999983885,240,240,240
65,81,4.05e-05,-1.4999867987415554,15,15,15
